covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
1494.0,26264,12135.0,2932
1788.0,28828,13635.0,2564
1950.0,31421,15469.0,2593
2097.0,34013,16657.0,2592
2264.0,36692,17154.0,2679
2472.0,39436,17814.0,2744
2561.0,42055,18152.0,2619
2546.0,44395,18423.0,2340
2820.0,46591,18669.0,2196
2865.0,48546,18604.0,1955
2881.0,50337,18974.0,1791
2872.0,52249,18621.0,1912
2849.0,54108,18552.0,1859
2847.0,55716,17934.0,1608
2838.0,57493,17783.0,1777
2780.0,59167,16728.0,1674
2868.0,60578,16850.0,1411
2820.0,62053,16928.0,1475
2780.0,63575,16654.0,1522
2701.0,65070,16517.0,1495
2646.0,66380,16018.0,1310
2563.0,67669,15402.0,1289
2414.0,68946,14642.0,1277
2405.0,70026,14202.0,1080
2309.0,71234,14174.0,1208
2194.0,72578,14255.0,1344
2093.0,73874,13565.0,1296
2045.0,75169,13224.0,1295
1991.0,76396,12922.0,1227
1954.0,77477,12623.0,1081
1844.0,78457,12314.0,980
1795.0,79501,12119.0,1044
1724.0,80564,12020.0,1063
1662.0,81523,11754.0,959
1610.0,82563,11227.0,1040
1493.0,83561,10726.0,998
1446.0,84304,10249.0,743
1398.0,85102,10176.0,798
1362.0,85858,9893.0,756
1316.0,86724,10109.0,866
1247.0,87568,9791.0,844
1198.0,88372,9602.0,804
1162.0,89135,9231.0,763
1200.0,89873,9079.0,738
1101.0,90544,8643.0,671
1064.0,91217,8611.0,673
1010.0,91950,8668.0,733
976.0,92702,8518.0,752
921.0,93434,8115.0,732
894.0,94149,7903.0,715
852.0,94787,7761.0,638
815.0,95291,7428.0,504
786.0,95788,7415.0,497
771.0,96286,7448.0,498
756.0,96864,7305.0,578
696.0,97453,6836.0,589
663.0,98023,6528.0,570
630.0,98522,6250.0,499
628.0,98988,5972.0,466
606.0,99434,5933.0,446
584.0,99956,5954.0,522
553.0,100509,5827.0,553
523.0,101000,5600.0,491
494.0,101458,5398.0,458
481.0,101838,5213.0,380
473.0,102144,5004.0,306
448.0,102467,4820.0,323
443.0,102815,4830.0,348
427.0,103212,4665.0,397
384.0,103614,4447.0,402
334.0,103944,4179.0,330
336.0,104242,4136.0,298
339.0,104507,4000.0,265
343.0,104813,3973.0,306
327.0,105178,3920.0,365
327.0,105532,3934.0,354
300.0,105866,3826.0,334
299.0,106178,3681.0,312
283.0,106431,3575.0,253
297.0,106615,3423.0,184
265.0,106830,3373.0,215
296.0,107148,3417.0,318
266.0,107423,3288.0,275
264.0,107685,3223.0,262
236.0,107941,3066.0,256
226.0,108189,2859.0,248
233.0,108398,2819.0,209
236.0,108553,2818.0,155
228.0,108725,3024.0,172
238.0,108914,2665.0,189
220.0,109115,2509.0,201
211.0,109264,2410.0,149
202.0,109410,2294.0,146
186.0,109530,2152.0,120
190.0,109661,2100.0,131
188.0,109811,2099.0,150
178.0,109959,2010.0,148
164.0,110100,1888.0,141
167.0,110236,1801.0,136
162.0,110340,1746.0,104
152.0,110437,1640.0,97
139.0,110509,1611.0,72
138.0,110646,1612.0,137
123.0,110768,1506.0,122
136.0,110884,1489.0,116
118.0,110998,1348.0,114
122.0,111081,1346.0,83
118.0,111129,1321.0,48
119.0,111201,1301.0,72
112.0,111287,1278.0,86
106.0,111366,1188.0,79
97.0,111448,1305.0,82
101.0,111557,1095.0,109
92.0,111650,1018.0,93
