areaType,areaName,areaCode,date,newCasesBySpecimenDateAgeDemographics
nation,England,E92000001,2023-11-11,"[{'age': '00_04', 'cases': 12, 'rollingSum': 137, 'rollingRate': 4.2}, {'age': '00_59', 'cases': 91, 'rollingSum': 1888, 'rollingRate': 4.4}, {'age': '05_09', 'cases': 2, 'rollingSum': 33, 'rollingRate': 0.9}, {'age': '10_14', 'cases': 2, 'rollingSum': 70, 'rollingRate': 2.0}, {'age': '15_19', 'cases': 4, 'rollingSum': 82, 'rollingRate': 2.6}, {'age': '20_24', 'cases': 7, 'rollingSum': 111, 'rollingRate': 3.2}, {'age': '25_29', 'cases': 7, 'rollingSum': 138, 'rollingRate': 3.7}, {'age': '30_34', 'cases': 7, 'rollingSum': 158, 'rollingRate': 4.1}, {'age': '35_39', 'cases': 10, 'rollingSum': 218, 'rollingRate': 5.8}, {'age': '40_44', 'cases': 9, 'rollingSum': 194, 'rollingRate': 5.6}, {'age': '45_49', 'cases': 9, 'rollingSum': 202, 'rollingRate': 5.6}, {'age': '50_54', 'cases': 7, 'rollingSum': 280, 'rollingRate': 7.2}, {'age': '55_59', 'cases': 15, 'rollingSum': 265, 'rollingRate': 7.0}, {'age': '60+', 'cases': 119, 'rollingSum': 1718, 'rollingRate': 12.6}, {'age': '60_64', 'cases': 21, 'rollingSum': 282, 'rollingRate': 8.8}, {'age': '65_69', 'cases': 13, 'rollingSum': 249, 'rollingRate': 8.9}, {'age': '70_74', 'cases': 14, 'rollingSum': 247, 'rollingRate': 8.8}, {'age': '75_79', 'cases': 22, 'rollingSum': 290, 'rollingRate': 14.4}, {'age': '80_84', 'cases': 12, 'rollingSum': 260, 'rollingRate': 17.9}, {'age': '85_89', 'cases': 21, 'rollingSum': 218, 'rollingRate': 24.6}, {'age': '90+', 'cases': 16, 'rollingSum': 172, 'rollingRate': 33.0}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 0, 'rollingRate': None}]"
nation,England,E92000001,2023-11-10,"[{'age': '00_04', 'cases': 7, 'rollingSum': 144, 'rollingRate': 4.4}, {'age': '00_59', 'cases': 48, 'rollingSum': 2086, 'rollingRate': 4.9}, {'age': '05_09', 'cases': 0, 'rollingSum': 38, 'rollingRate': 1.1}, {'age': '10_14', 'cases': 3, 'rollingSum': 73, 'rollingRate': 2.1}, {'age': '15_19', 'cases': 1, 'rollingSum': 85, 'rollingRate': 2.7}, {'age': '20_24', 'cases': 2, 'rollingSum': 115, 'rollingRate': 3.3}, {'age': '25_29', 'cases': 5, 'rollingSum': 153, 'rollingRate': 4.1}, {'age': '30_34', 'cases': 3, 'rollingSum': 177, 'rollingRate': 4.6}, {'age': '35_39', 'cases': 5, 'rollingSum': 238, 'rollingRate': 6.4}, {'age': '40_44', 'cases': 3, 'rollingSum': 222, 'rollingRate': 6.4}, {'age': '45_49', 'cases': 7, 'rollingSum': 236, 'rollingRate': 6.5}, {'age': '50_54', 'cases': 6, 'rollingSum': 311, 'rollingRate': 8.0}, {'age': '55_59', 'cases': 6, 'rollingSum': 294, 'rollingRate': 7.8}, {'age': '60+', 'cases': 102, 'rollingSum': 1891, 'rollingRate': 13.8}, {'age': '60_64', 'cases': 14, 'rollingSum': 302, 'rollingRate': 9.4}, {'age': '65_69', 'cases': 12, 'rollingSum': 286, 'rollingRate': 10.3}, {'age': '70_74', 'cases': 17, 'rollingSum': 281, 'rollingRate': 10.0}, {'age': '75_79', 'cases': 15, 'rollingSum': 326, 'rollingRate': 16.2}, {'age': '80_84', 'cases': 19, 'rollingSum': 291, 'rollingRate': 20.1}, {'age': '85_89', 'cases': 12, 'rollingSum': 227, 'rollingRate': 25.6}, {'age': '90+', 'cases': 13, 'rollingSum': 178, 'rollingRate': 34.2}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 0, 'rollingRate': None}]"
nation,England,E92000001,2023-11-09,"[{'age': '00_04', 'cases': 13, 'rollingSum': 163, 'rollingRate': 5.0}, {'age': '00_59', 'cases': 197, 'rollingSum': 2371, 'rollingRate': 5.5}, {'age': '05_09', 'cases': 5, 'rollingSum': 48, 'rollingRate': 1.4}, {'age': '10_14', 'cases': 10, 'rollingSum': 75, 'rollingRate': 2.2}, {'age': '15_19', 'cases': 6, 'rollingSum': 96, 'rollingRate': 3.1}, {'age': '20_24', 'cases': 7, 'rollingSum': 130, 'rollingRate': 3.7}, {'age': '25_29', 'cases': 17, 'rollingSum': 179, 'rollingRate': 4.7}, {'age': '30_34', 'cases': 10, 'rollingSum': 203, 'rollingRate': 5.3}, {'age': '35_39', 'cases': 25, 'rollingSum': 266, 'rollingRate': 7.1}, {'age': '40_44', 'cases': 21, 'rollingSum': 248, 'rollingRate': 7.1}, {'age': '45_49', 'cases': 18, 'rollingSum': 266, 'rollingRate': 7.3}, {'age': '50_54', 'cases': 36, 'rollingSum': 353, 'rollingRate': 9.1}, {'age': '55_59', 'cases': 29, 'rollingSum': 344, 'rollingRate': 9.1}, {'age': '60+', 'cases': 192, 'rollingSum': 2177, 'rollingRate': 15.9}, {'age': '60_64', 'cases': 39, 'rollingSum': 349, 'rollingRate': 10.9}, {'age': '65_69', 'cases': 31, 'rollingSum': 331, 'rollingRate': 11.9}, {'age': '70_74', 'cases': 29, 'rollingSum': 332, 'rollingRate': 11.8}, {'age': '75_79', 'cases': 30, 'rollingSum': 375, 'rollingRate': 18.7}, {'age': '80_84', 'cases': 27, 'rollingSum': 336, 'rollingRate': 23.2}, {'age': '85_89', 'cases': 22, 'rollingSum': 261, 'rollingRate': 29.5}, {'age': '90+', 'cases': 14, 'rollingSum': 193, 'rollingRate': 37.0}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 1, 'rollingRate': None}]"
nation,England,E92000001,2023-11-08,"[{'age': '00_04', 'cases': 27, 'rollingSum': 187, 'rollingRate': 5.8}, {'age': '00_59', 'cases': 364, 'rollingSum': 2597, 'rollingRate': 6.1}, {'age': '05_09', 'cases': 6, 'rollingSum': 45, 'rollingRate': 1.3}, {'age': '10_14', 'cases': 14, 'rollingSum': 70, 'rollingRate': 2.0}, {'age': '15_19', 'cases': 24, 'rollingSum': 101, 'rollingRate': 3.2}, {'age': '20_24', 'cases': 23, 'rollingSum': 145, 'rollingRate': 4.2}, {'age': '25_29', 'cases': 24, 'rollingSum': 196, 'rollingRate': 5.2}, {'age': '30_34', 'cases': 35, 'rollingSum': 228, 'rollingRate': 6.0}, {'age': '35_39', 'cases': 36, 'rollingSum': 303, 'rollingRate': 8.1}, {'age': '40_44', 'cases': 32, 'rollingSum': 264, 'rollingRate': 7.6}, {'age': '45_49', 'cases': 30, 'rollingSum': 297, 'rollingRate': 8.2}, {'age': '50_54', 'cases': 57, 'rollingSum': 380, 'rollingRate': 9.8}, {'age': '55_59', 'cases': 56, 'rollingSum': 381, 'rollingRate': 10.1}, {'age': '60+', 'cases': 290, 'rollingSum': 2361, 'rollingRate': 17.3}, {'age': '60_64', 'cases': 55, 'rollingSum': 385, 'rollingRate': 12.0}, {'age': '65_69', 'cases': 41, 'rollingSum': 345, 'rollingRate': 12.4}, {'age': '70_74', 'cases': 38, 'rollingSum': 363, 'rollingRate': 12.9}, {'age': '75_79', 'cases': 46, 'rollingSum': 411, 'rollingRate': 20.4}, {'age': '80_84', 'cases': 40, 'rollingSum': 367, 'rollingRate': 25.3}, {'age': '85_89', 'cases': 38, 'rollingSum': 284, 'rollingRate': 32.1}, {'age': '90+', 'cases': 32, 'rollingSum': 206, 'rollingRate': 39.5}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 1, 'rollingRate': None}]"
nation,England,E92000001,2023-11-07,"[{'age': '00_04', 'cases': 29, 'rollingSum': 194, 'rollingRate': 6.0}, {'age': '00_59', 'cases': 397, 'rollingSum': 2663, 'rollingRate': 6.2}, {'age': '05_09', 'cases': 8, 'rollingSum': 41, 'rollingRate': 1.2}, {'age': '10_14', 'cases': 8, 'rollingSum': 65, 'rollingRate': 1.9}, {'age': '15_19', 'cases': 15, 'rollingSum': 96, 'rollingRate': 3.1}, {'age': '20_24', 'cases': 22, 'rollingSum': 148, 'rollingRate': 4.3}, {'age': '25_29', 'cases': 24, 'rollingSum': 204, 'rollingRate': 5.4}, {'age': '30_34', 'cases': 39, 'rollingSum': 224, 'rollingRate': 5.9}, {'age': '35_39', 'cases': 52, 'rollingSum': 324, 'rollingRate': 8.7}, {'age': '40_44', 'cases': 54, 'rollingSum': 278, 'rollingRate': 8.0}, {'age': '45_49', 'cases': 48, 'rollingSum': 315, 'rollingRate': 8.7}, {'age': '50_54', 'cases': 52, 'rollingSum': 383, 'rollingRate': 9.9}, {'age': '55_59', 'cases': 46, 'rollingSum': 391, 'rollingRate': 10.4}, {'age': '60+', 'cases': 373, 'rollingSum': 2493, 'rollingRate': 18.2}, {'age': '60_64', 'cases': 58, 'rollingSum': 393, 'rollingRate': 12.3}, {'age': '65_69', 'cases': 51, 'rollingSum': 366, 'rollingRate': 13.1}, {'age': '70_74', 'cases': 61, 'rollingSum': 393, 'rollingRate': 14.0}, {'age': '75_79', 'cases': 61, 'rollingSum': 420, 'rollingRate': 20.9}, {'age': '80_84', 'cases': 61, 'rollingSum': 402, 'rollingRate': 27.7}, {'age': '85_89', 'cases': 43, 'rollingSum': 305, 'rollingRate': 34.4}, {'age': '90+', 'cases': 38, 'rollingSum': 214, 'rollingRate': 41.1}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 1, 'rollingRate': None}]"
nation,England,E92000001,2023-11-06,"[{'age': '00_04', 'cases': 21, 'rollingSum': 197, 'rollingRate': 6.1}, {'age': '00_59', 'cases': 408, 'rollingSum': 2756, 'rollingRate': 6.4}, {'age': '05_09', 'cases': 6, 'rollingSum': 36, 'rollingRate': 1.0}, {'age': '10_14', 'cases': 18, 'rollingSum': 72, 'rollingRate': 2.1}, {'age': '15_19', 'cases': 16, 'rollingSum': 97, 'rollingRate': 3.1}, {'age': '20_24', 'cases': 27, 'rollingSum': 149, 'rollingRate': 4.3}, {'age': '25_29', 'cases': 32, 'rollingSum': 222, 'rollingRate': 5.9}, {'age': '30_34', 'cases': 33, 'rollingSum': 226, 'rollingRate': 5.9}, {'age': '35_39', 'cases': 48, 'rollingSum': 314, 'rollingRate': 8.4}, {'age': '40_44', 'cases': 33, 'rollingSum': 278, 'rollingRate': 8.0}, {'age': '45_49', 'cases': 43, 'rollingSum': 318, 'rollingRate': 8.7}, {'age': '50_54', 'cases': 65, 'rollingSum': 416, 'rollingRate': 10.7}, {'age': '55_59', 'cases': 66, 'rollingSum': 431, 'rollingRate': 11.5}, {'age': '60+', 'cases': 349, 'rollingSum': 2563, 'rollingRate': 18.8}, {'age': '60_64', 'cases': 48, 'rollingSum': 413, 'rollingRate': 12.9}, {'age': '65_69', 'cases': 56, 'rollingSum': 362, 'rollingRate': 13.0}, {'age': '70_74', 'cases': 49, 'rollingSum': 408, 'rollingRate': 14.5}, {'age': '75_79', 'cases': 59, 'rollingSum': 443, 'rollingRate': 22.0}, {'age': '80_84', 'cases': 51, 'rollingSum': 398, 'rollingRate': 27.5}, {'age': '85_89', 'cases': 50, 'rollingSum': 312, 'rollingRate': 35.2}, {'age': '90+', 'cases': 36, 'rollingSum': 227, 'rollingRate': 43.6}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 2, 'rollingRate': None}]"
nation,England,E92000001,2023-11-05,"[{'age': '00_04', 'cases': 28, 'rollingSum': 210, 'rollingRate': 6.5}, {'age': '00_59', 'cases': 383, 'rollingSum': 2867, 'rollingRate': 6.7}, {'age': '05_09', 'cases': 6, 'rollingSum': 38, 'rollingRate': 1.1}, {'age': '10_14', 'cases': 15, 'rollingSum': 67, 'rollingRate': 2.0}, {'age': '15_19', 'cases': 16, 'rollingSum': 96, 'rollingRate': 3.1}, {'age': '20_24', 'cases': 23, 'rollingSum': 154, 'rollingRate': 4.4}, {'age': '25_29', 'cases': 29, 'rollingSum': 231, 'rollingRate': 6.1}, {'age': '30_34', 'cases': 31, 'rollingSum': 240, 'rollingRate': 6.3}, {'age': '35_39', 'cases': 42, 'rollingSum': 323, 'rollingRate': 8.6}, {'age': '40_44', 'cases': 42, 'rollingSum': 293, 'rollingRate': 8.4}, {'age': '45_49', 'cases': 47, 'rollingSum': 329, 'rollingRate': 9.0}, {'age': '50_54', 'cases': 57, 'rollingSum': 435, 'rollingRate': 11.2}, {'age': '55_59', 'cases': 47, 'rollingSum': 451, 'rollingRate': 12.0}, {'age': '60+', 'cases': 293, 'rollingSum': 2693, 'rollingRate': 19.7}, {'age': '60_64', 'cases': 47, 'rollingSum': 446, 'rollingRate': 14.0}, {'age': '65_69', 'cases': 45, 'rollingSum': 371, 'rollingRate': 13.3}, {'age': '70_74', 'cases': 39, 'rollingSum': 439, 'rollingRate': 15.6}, {'age': '75_79', 'cases': 57, 'rollingSum': 469, 'rollingRate': 23.3}, {'age': '80_84', 'cases': 50, 'rollingSum': 418, 'rollingRate': 28.8}, {'age': '85_89', 'cases': 32, 'rollingSum': 326, 'rollingRate': 36.8}, {'age': '90+', 'cases': 23, 'rollingSum': 224, 'rollingRate': 43.0}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 2, 'rollingRate': None}]"
nation,England,E92000001,2023-11-04,"[{'age': '00_04', 'cases': 19, 'rollingSum': 208, 'rollingRate': 6.4}, {'age': '00_59', 'cases': 289, 'rollingSum': 2914, 'rollingRate': 6.8}, {'age': '05_09', 'cases': 7, 'rollingSum': 42, 'rollingRate': 1.2}, {'age': '10_14', 'cases': 5, 'rollingSum': 61, 'rollingRate': 1.8}, {'age': '15_19', 'cases': 7, 'rollingSum': 90, 'rollingRate': 2.9}, {'age': '20_24', 'cases': 11, 'rollingSum': 156, 'rollingRate': 4.5}, {'age': '25_29', 'cases': 22, 'rollingSum': 243, 'rollingRate': 6.4}, {'age': '30_34', 'cases': 26, 'rollingSum': 240, 'rollingRate': 6.3}, {'age': '35_39', 'cases': 30, 'rollingSum': 324, 'rollingRate': 8.7}, {'age': '40_44', 'cases': 37, 'rollingSum': 292, 'rollingRate': 8.4}, {'age': '45_49', 'cases': 43, 'rollingSum': 334, 'rollingRate': 9.2}, {'age': '50_54', 'cases': 38, 'rollingSum': 445, 'rollingRate': 11.5}, {'age': '55_59', 'cases': 44, 'rollingSum': 479, 'rollingRate': 12.7}, {'age': '60+', 'cases': 292, 'rollingSum': 2814, 'rollingRate': 20.6}, {'age': '60_64', 'cases': 41, 'rollingSum': 475, 'rollingRate': 14.9}, {'age': '65_69', 'cases': 50, 'rollingSum': 385, 'rollingRate': 13.8}, {'age': '70_74', 'cases': 48, 'rollingSum': 463, 'rollingRate': 16.5}, {'age': '75_79', 'cases': 58, 'rollingSum': 483, 'rollingRate': 24.0}, {'age': '80_84', 'cases': 43, 'rollingSum': 434, 'rollingRate': 29.9}, {'age': '85_89', 'cases': 30, 'rollingSum': 338, 'rollingRate': 38.2}, {'age': '90+', 'cases': 22, 'rollingSum': 236, 'rollingRate': 45.3}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 2, 'rollingRate': None}]"
nation,England,E92000001,2023-11-03,"[{'age': '00_04', 'cases': 26, 'rollingSum': 215, 'rollingRate': 6.6}, {'age': '00_59', 'cases': 333, 'rollingSum': 2952, 'rollingRate': 6.9}, {'age': '05_09', 'cases': 10, 'rollingSum': 44, 'rollingRate': 1.2}, {'age': '10_14', 'cases': 5, 'rollingSum': 61, 'rollingRate': 1.8}, {'age': '15_19', 'cases': 12, 'rollingSum': 97, 'rollingRate': 3.1}, {'age': '20_24', 'cases': 17, 'rollingSum': 159, 'rollingRate': 4.6}, {'age': '25_29', 'cases': 31, 'rollingSum': 249, 'rollingRate': 6.6}, {'age': '30_34', 'cases': 29, 'rollingSum': 235, 'rollingRate': 6.1}, {'age': '35_39', 'cases': 33, 'rollingSum': 323, 'rollingRate': 8.6}, {'age': '40_44', 'cases': 29, 'rollingSum': 287, 'rollingRate': 8.3}, {'age': '45_49', 'cases': 37, 'rollingSum': 329, 'rollingRate': 9.0}, {'age': '50_54', 'cases': 48, 'rollingSum': 462, 'rollingRate': 11.9}, {'age': '55_59', 'cases': 56, 'rollingSum': 491, 'rollingRate': 13.1}, {'age': '60+', 'cases': 388, 'rollingSum': 2926, 'rollingRate': 21.4}, {'age': '60_64', 'cases': 61, 'rollingSum': 497, 'rollingRate': 15.5}, {'age': '65_69', 'cases': 57, 'rollingSum': 391, 'rollingRate': 14.0}, {'age': '70_74', 'cases': 68, 'rollingSum': 496, 'rollingRate': 17.6}, {'age': '75_79', 'cases': 64, 'rollingSum': 501, 'rollingRate': 24.9}, {'age': '80_84', 'cases': 64, 'rollingSum': 449, 'rollingRate': 31.0}, {'age': '85_89', 'cases': 46, 'rollingSum': 349, 'rollingRate': 39.4}, {'age': '90+', 'cases': 28, 'rollingSum': 243, 'rollingRate': 46.6}, {'age': 'unassigned', 'cases': 1, 'rollingSum': 2, 'rollingRate': None}]"
nation,England,E92000001,2023-11-02,"[{'age': '00_04', 'cases': 37, 'rollingSum': 230, 'rollingRate': 7.1}, {'age': '00_59', 'cases': 423, 'rollingSum': 3023, 'rollingRate': 7.0}, {'age': '05_09', 'cases': 2, 'rollingSum': 40, 'rollingRate': 1.1}, {'age': '10_14', 'cases': 5, 'rollingSum': 66, 'rollingRate': 1.9}, {'age': '15_19', 'cases': 11, 'rollingSum': 96, 'rollingRate': 3.1}, {'age': '20_24', 'cases': 22, 'rollingSum': 165, 'rollingRate': 4.8}, {'age': '25_29', 'cases': 34, 'rollingSum': 238, 'rollingRate': 6.3}, {'age': '30_34', 'cases': 35, 'rollingSum': 242, 'rollingRate': 6.3}, {'age': '35_39', 'cases': 62, 'rollingSum': 324, 'rollingRate': 8.7}, {'age': '40_44', 'cases': 37, 'rollingSum': 312, 'rollingRate': 9.0}, {'age': '45_49', 'cases': 49, 'rollingSum': 341, 'rollingRate': 9.4}, {'age': '50_54', 'cases': 63, 'rollingSum': 462, 'rollingRate': 11.9}, {'age': '55_59', 'cases': 66, 'rollingSum': 507, 'rollingRate': 13.5}, {'age': '60+', 'cases': 376, 'rollingSum': 3062, 'rollingRate': 22.4}, {'age': '60_64', 'cases': 75, 'rollingSum': 512, 'rollingRate': 16.0}, {'age': '65_69', 'cases': 45, 'rollingSum': 408, 'rollingRate': 14.7}, {'age': '70_74', 'cases': 60, 'rollingSum': 536, 'rollingRate': 19.0}, {'age': '75_79', 'cases': 66, 'rollingSum': 528, 'rollingRate': 26.3}, {'age': '80_84', 'cases': 58, 'rollingSum': 452, 'rollingRate': 31.2}, {'age': '85_89', 'cases': 45, 'rollingSum': 362, 'rollingRate': 40.9}, {'age': '90+', 'cases': 27, 'rollingSum': 264, 'rollingRate': 50.7}, {'age': 'unassigned', 'cases': 0, 'rollingSum': 1, 'rollingRate': None}]"
