areaType,areaName,areaCode,date,covidOccupiedMVBedsWeekly
nation,England,E92000001,2023-05-26,79
nation,England,E92000001,2023-05-19,92
nation,England,E92000001,2023-05-12,102
nation,England,E92000001,2023-05-05,100
nation,England,E92000001,2023-04-28,94
nation,England,E92000001,2023-04-21,112
nation,England,E92000001,2023-04-14,143
nation,England,E92000001,2023-04-07,144
nation,England,E92000001,2023-03-31,186
nation,England,E92000001,2023-03-24,170
nation,England,E92000001,2023-03-17,172
nation,England,E92000001,2023-03-10,180
nation,England,E92000001,2023-03-03,158
nation,England,E92000001,2023-02-24,156
nation,England,E92000001,2023-02-17,134
nation,England,E92000001,2023-02-10,133
nation,England,E92000001,2023-02-03,139
nation,England,E92000001,2023-01-27,131
nation,England,E92000001,2023-01-20,133
nation,England,E92000001,2023-01-13,166
nation,England,E92000001,2023-01-06,209
nation,England,E92000001,2022-12-30,223
nation,England,E92000001,2022-12-23,178
nation,England,E92000001,2022-12-16,156
nation,England,E92000001,2022-12-09,113
nation,England,E92000001,2022-12-02,135
nation,England,E92000001,2022-11-25,129
nation,England,E92000001,2022-11-18,129
nation,England,E92000001,2022-11-11,137
nation,England,E92000001,2022-11-04,161
nation,England,E92000001,2022-10-28,217
nation,England,E92000001,2022-10-21,194
nation,England,E92000001,2022-10-14,224
nation,England,E92000001,2022-10-07,199
nation,England,E92000001,2022-09-30,155
nation,England,E92000001,2022-09-23,153
nation,England,E92000001,2022-09-16,122
nation,England,E92000001,2022-09-09,122
nation,England,E92000001,2022-09-02,143
nation,England,E92000001,2022-08-26,135
nation,England,E92000001,2022-08-19,182
nation,England,E92000001,2022-08-12,196
nation,England,E92000001,2022-08-05,229
nation,England,E92000001,2022-07-29,253
nation,England,E92000001,2022-07-22,292
nation,England,E92000001,2022-07-15,287
nation,England,E92000001,2022-07-08,228
nation,England,E92000001,2022-07-01,219
nation,England,E92000001,2022-06-24,168
nation,England,E92000001,2022-06-17,120
nation,England,E92000001,2022-06-10,117
nation,England,E92000001,2022-06-03,125
nation,England,E92000001,2022-05-27,134
nation,England,E92000001,2022-05-20,171
nation,England,E92000001,2022-05-13,162
nation,England,E92000001,2022-05-06,211
nation,England,E92000001,2022-04-29,259
nation,England,E92000001,2022-04-22,283
nation,England,E92000001,2022-04-15,271
nation,England,E92000001,2022-04-08,315
nation,England,E92000001,2022-04-01,311
nation,England,E92000001,2022-03-25,290
nation,England,E92000001,2022-03-18,240
nation,England,E92000001,2022-03-11,221
nation,England,E92000001,2022-03-04,232
nation,England,E92000001,2022-02-25,246
nation,England,E92000001,2022-02-18,303
nation,England,E92000001,2022-02-11,372
nation,England,E92000001,2022-02-04,425
nation,England,E92000001,2022-01-28,467
nation,England,E92000001,2022-01-21,552
nation,England,E92000001,2022-01-14,637
nation,England,E92000001,2022-01-07,728
nation,England,E92000001,2021-12-31,789
nation,England,E92000001,2021-12-24,742
nation,England,E92000001,2021-12-17,789
nation,England,E92000001,2021-12-10,793
nation,England,E92000001,2021-12-03,783
