areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2023-11-14,355,21003340,,19370997,,1631595
nation,England,E92000001,2023-11-13,606,21002985,198,19370997,177,1631595
nation,England,E92000001,2023-11-12,531,21002379,276,19370799,210,1631418
nation,England,E92000001,2023-11-11,210,21001848,132,19370523,57,1631208
nation,England,E92000001,2023-11-10,150,21001638,80,19370391,32,1631151
nation,England,E92000001,2023-11-09,389,21001488,201,19370311,165,1631119
nation,England,E92000001,2023-11-08,654,21001099,383,19370110,258,1630954
nation,England,E92000001,2023-11-07,770,21000445,462,19369727,301,1630696
nation,England,E92000001,2023-11-06,757,20999675,458,19369265,299,1630395
nation,England,E92000001,2023-11-05,676,20998918,387,19368807,286,1630096
nation,England,E92000001,2023-11-04,581,20998242,367,19368420,212,1629810
nation,England,E92000001,2023-11-03,722,20997661,459,19368053,261,1629598
nation,England,E92000001,2023-11-02,799,20996939,495,19367594,301,1629337
nation,England,E92000001,2023-11-01,852,20996140,524,19367099,328,1629036
nation,England,E92000001,2023-10-31,934,20995288,567,19366575,367,1628708
nation,England,E92000001,2023-10-30,998,20994354,585,19366008,413,1628341
nation,England,E92000001,2023-10-29,844,20993356,526,19365423,318,1627928
nation,England,E92000001,2023-10-28,731,20992512,464,19364897,267,1627610
nation,England,E92000001,2023-10-27,928,20991781,591,19364433,337,1627343
nation,England,E92000001,2023-10-26,1005,20990853,659,19363842,346,1627006
nation,England,E92000001,2023-10-25,1005,20989848,628,19363183,377,1626660
nation,England,E92000001,2023-10-24,1145,20988843,693,19362555,452,1626283
nation,England,E92000001,2023-10-23,1170,20987698,738,19361862,432,1625831
nation,England,E92000001,2023-10-22,984,20986528,617,19361124,367,1625399
nation,England,E92000001,2023-10-21,864,20985544,547,19360507,317,1625032
nation,England,E92000001,2023-10-20,1142,20984680,712,19359960,430,1624715
nation,England,E92000001,2023-10-19,1318,20983538,793,19359248,525,1624285
nation,England,E92000001,2023-10-18,1393,20982220,850,19358455,542,1623760
nation,England,E92000001,2023-10-17,1407,20980827,835,19357605,572,1623218
nation,England,E92000001,2023-10-16,1443,20979420,867,19356770,576,1622646
nation,England,E92000001,2023-10-15,1218,20977977,688,19355903,530,1622070
nation,England,E92000001,2023-10-14,1118,20976759,668,19355215,450,1621540
nation,England,E92000001,2023-10-13,1464,20975641,890,19354547,574,1621090
nation,England,E92000001,2023-10-12,1538,20974177,895,19353657,643,1620516
nation,England,E92000001,2023-10-11,1893,20972639,1071,19352762,822,1619873
nation,England,E92000001,2023-10-10,2026,20970746,1190,19351691,836,1619051
nation,England,E92000001,2023-10-09,2232,20968720,1288,19350501,944,1618215
nation,England,E92000001,2023-10-08,2066,20966488,1178,19349213,888,1617271
nation,England,E92000001,2023-10-07,1664,20964422,971,19348035,693,1616383
nation,England,E92000001,2023-10-06,2112,20962758,1277,19347064,835,1615690
nation,England,E92000001,2023-10-05,2250,20960646,1283,19345787,967,1614855
nation,England,E92000001,2023-10-04,2446,20958396,1351,19344504,1094,1613888
nation,England,E92000001,2023-10-03,2659,20955950,1424,19343153,1235,1612794
