areaCode,areaName,areaType,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
E40000007,East of England,nhsRegion,2023-05-31,5.0,105345,262.0,40
E40000007,East of England,nhsRegion,2023-05-30,3.0,105305,252.0,40
E40000007,East of England,nhsRegion,2023-05-29,4.0,105265,258.0,51
E40000007,East of England,nhsRegion,2023-05-28,6.0,105214,261.0,32
E40000007,East of England,nhsRegion,2023-05-27,8.0,105182,263.0,27
E40000007,East of England,nhsRegion,2023-05-26,7.0,105155,272.0,32
E40000007,East of England,nhsRegion,2023-05-25,6.0,105123,286.0,35
E40000007,East of England,nhsRegion,2023-05-24,7.0,105088,318.0,44
E40000007,East of England,nhsRegion,2023-05-23,7.0,105044,313.0,43
E40000007,East of England,nhsRegion,2023-05-22,9.0,105001,335.0,60
E40000007,East of England,nhsRegion,2023-05-21,7.0,104941,337.0,41
E40000007,East of England,nhsRegion,2023-05-20,7.0,104900,347.0,35
E40000007,East of England,nhsRegion,2023-05-19,7.0,104865,366.0,37
E40000007,East of England,nhsRegion,2023-05-18,10.0,104828,367.0,35
E40000007,East of England,nhsRegion,2023-05-17,8.0,104793,393.0,54
E40000007,East of England,nhsRegion,2023-05-16,5.0,104739,371.0,50
E40000007,East of England,nhsRegion,2023-05-15,6.0,104689,352.0,59
E40000007,East of England,nhsRegion,2023-05-14,7.0,104630,354.0,49
E40000007,East of England,nhsRegion,2023-05-13,9.0,104581,370.0,37
E40000007,East of England,nhsRegion,2023-05-12,10.0,104544,363.0,31
E40000007,East of England,nhsRegion,2023-05-11,10.0,104513,358.0,45
E40000007,East of England,nhsRegion,2023-05-10,10.0,104468,377.0,56
E40000007,East of England,nhsRegion,2023-05-09,9.0,104412,375.0,63
E40000007,East of England,nhsRegion,2023-05-08,5.0,104349,369.0,53
E40000007,East of England,nhsRegion,2023-05-07,6.0,104296,361.0,39
E40000007,East of England,nhsRegion,2023-05-06,7.0,104257,351.0,51
E40000007,East of England,nhsRegion,2023-05-05,2.0,104206,376.0,54
E40000007,East of England,nhsRegion,2023-05-04,4.0,104152,363.0,41
E40000007,East of England,nhsRegion,2023-05-03,5.0,104111,370.0,46
E40000007,East of England,nhsRegion,2023-05-02,5.0,104065,380.0,43
E40000007,East of England,nhsRegion,2023-05-01,6.0,104022,364.0,66
E40000007,East of England,nhsRegion,2023-04-30,5.0,103956,372.0,39
E40000007,East of England,nhsRegion,2023-04-29,7.0,103917,368.0,43
E40000007,East of England,nhsRegion,2023-04-28,6.0,103874,373.0,39
E40000007,East of England,nhsRegion,2023-04-27,6.0,103835,412.0,47
E40000007,East of England,nhsRegion,2023-04-26,6.0,103788,449.0,41
E40000007,East of England,nhsRegion,2023-04-25,6.0,103747,464.0,31
E40000007,East of England,nhsRegion,2023-04-24,6.0,103716,490.0,46
E40000007,East of England,nhsRegion,2023-04-23,7.0,103670,495.0,55
E40000007,East of England,nhsRegion,2023-04-22,5.0,103615,489.0,54
E40000007,East of England,nhsRegion,2023-04-21,6.0,103561,484.0,45
E40000007,East of England,nhsRegion,2023-04-20,8.0,103516,511.0,52
E40000007,East of England,nhsRegion,2023-04-19,7.0,103464,505.0,58
E40000007,East of England,nhsRegion,2023-04-18,7.0,103406,473.0,48
E40000007,East of England,nhsRegion,2023-04-17,7.0,103358,479.0,97
E40000007,East of England,nhsRegion,2023-04-16,9.0,103261,469.0,61
E40000007,East of England,nhsRegion,2023-04-15,8.0,103200,469.0,52
E40000007,East of England,nhsRegion,2023-04-14,9.0,103148,490.0,51
E40000007,East of England,nhsRegion,2023-04-13,8.0,103097,550.0,72
E40000007,East of England,nhsRegion,2023-04-12,11.0,103025,573.0,48
E40000007,East of England,nhsRegion,2023-04-11,11.0,102977,574.0,74
E40000007,East of England,nhsRegion,2023-04-10,12.0,102903,549.0,63
E40000007,East of England,nhsRegion,2023-04-09,12.0,102840,543.0,67
E40000007,East of England,nhsRegion,2023-04-08,11.0,102773,574.0,44
E40000007,East of England,nhsRegion,2023-04-07,11.0,102729,585.0,53
E40000007,East of England,nhsRegion,2023-04-06,10.0,102676,594.0,64
E40000007,East of England,nhsRegion,2023-04-05,13.0,102612,608.0,78
E40000007,East of England,nhsRegion,2023-04-04,16.0,102534,681.0,61
E40000007,East of England,nhsRegion,2023-04-03,15.0,102473,678.0,77
E40000007,East of England,nhsRegion,2023-04-02,14.0,102396,686.0,66
E40000007,East of England,nhsRegion,2023-04-01,11.0,102330,680.0,70
E40000007,East of England,nhsRegion,2023-03-31,13.0,102260,709.0,81
E40000007,East of England,nhsRegion,2023-03-30,13.0,102179,710.0,94
E40000007,East of England,nhsRegion,2023-03-29,11.0,102085,743.0,87
E40000007,East of England,nhsRegion,2023-03-28,11.0,101998,789.0,97
E40000007,East of England,nhsRegion,2023-03-27,14.0,101901,803.0,84
E40000007,East of England,nhsRegion,2023-03-26,12.0,101817,781.0,89
E40000007,East of England,nhsRegion,2023-03-25,11.0,101728,779.0,83
E40000007,East of England,nhsRegion,2023-03-24,12.0,101645,782.0,78
E40000007,East of England,nhsRegion,2023-03-23,10.0,101567,798.0,99
E40000007,East of England,nhsRegion,2023-03-22,13.0,101468,805.0,96
