,Date,MV Beds Occupied,Hospital Cases,New Admissions,New COVID-19 Cases,New COVID-19 Deaths,New Vaccinations,stringency_index,average_temperature_celsius,rainfall_mm,relative_humidity,vaccination_policy
0,2020-04-02,1494.0,12135.0,2932.0,4097.0,892.0,0.0,79.63,8.131944,0.0,71.895232,0.0
1,2020-04-03,1788.0,13635.0,2564.0,4102.0,927.0,0.0,79.63,7.25,0.0,66.98084,0.0
2,2020-04-04,1950.0,15469.0,2593.0,3405.0,1023.0,0.0,79.63,9.319444,0.0,66.45978,0.0
3,2020-04-05,2097.0,16657.0,2592.0,3094.0,1063.0,0.0,79.63,12.291667,0.0,53.62148,0.0
4,2020-04-06,2264.0,17154.0,2679.0,4407.0,1025.0,0.0,79.63,12.395833,0.3048,59.204766,0.0
5,2020-04-07,2472.0,17814.0,2744.0,4605.0,1145.0,0.0,79.63,10.916667,0.0635,57.793909,0.0
6,2020-04-08,2561.0,18152.0,2619.0,4315.0,1286.0,0.0,79.63,13.576389,0.0,57.247078,0.0
7,2020-04-09,2546.0,18423.0,2340.0,4076.0,1177.0,0.0,79.63,10.819444,0.0,76.878103,0.0
8,2020-04-10,2820.0,18669.0,2196.0,3590.0,1163.0,0.0,79.63,13.201389,0.0,67.700036,0.0
9,2020-04-11,2865.0,18604.0,1955.0,3085.0,1203.0,0.0,79.63,15.590278,0.0,59.857387,0.0
10,2020-04-12,2881.0,18974.0,1791.0,2958.0,1208.0,0.0,79.63,12.5625,0.338667,73.287312,0.0
11,2020-04-13,2872.0,18621.0,1912.0,3463.0,1076.0,0.0,79.63,6.4375,1.27,60.506666,0.0
12,2020-04-14,2849.0,18552.0,1859.0,3568.0,1080.0,0.0,79.63,7.284722,0.0,54.240911,0.0
13,2020-04-15,2847.0,17934.0,1608.0,4240.0,1100.0,0.0,79.63,10.770833,0.0,49.7078,0.0
14,2020-04-16,2838.0,17783.0,1777.0,4360.0,1147.0,0.0,79.63,10.722222,0.0,57.564875,0.0
15,2020-04-17,2780.0,16728.0,1674.0,4088.0,1107.0,0.0,79.63,8.5,0.0,73.805367,0.0
16,2020-04-18,2868.0,16850.0,1411.0,4142.0,1030.0,0.0,79.63,7.423611,0.846667,79.262819,0.0
17,2020-04-19,2820.0,16928.0,1475.0,3494.0,967.0,0.0,79.63,8.722222,0.889,65.719469,0.0
18,2020-04-20,2780.0,16654.0,1522.0,3698.0,992.0,0.0,79.63,9.284722,0.0,65.513766,0.0
19,2020-04-21,2701.0,16517.0,1495.0,3996.0,916.0,0.0,79.63,10.458333,0.0,67.495325,0.0
20,2020-04-22,2646.0,16018.0,1310.0,4812.0,939.0,0.0,79.63,11.041667,0.0,68.945743,0.0
21,2020-04-23,2563.0,15402.0,1289.0,4574.0,893.0,0.0,79.63,11.361111,0.0,69.125692,0.0
22,2020-04-24,2414.0,14642.0,1277.0,4352.0,874.0,0.0,79.63,9.881944,0.0,66.75175,0.0
23,2020-04-25,2405.0,14202.0,1080.0,3381.0,771.0,0.0,79.63,9.631944,0.0,71.59527,0.0
24,2020-04-26,2309.0,14174.0,1208.0,3137.0,763.0,0.0,79.63,12.777778,0.0,64.119914,0.0
25,2020-04-27,2194.0,14255.0,1344.0,4056.0,724.0,0.0,79.63,10.604167,0.145143,67.7187,0.0
26,2020-04-28,2093.0,13565.0,1296.0,4113.0,701.0,0.0,79.63,7.638889,2.201333,84.608769,0.0
27,2020-04-29,2045.0,13224.0,1295.0,4737.0,699.0,0.0,79.63,8.118056,7.916333,90.062834,0.0
28,2020-04-30,1991.0,12922.0,1227.0,4314.0,660.0,0.0,79.63,8.555556,1.27,81.705322,0.0
29,2020-05-01,1954.0,12623.0,1081.0,4109.0,661.0,0.0,79.63,9.319444,2.939143,73.283895,0.0
30,2020-05-02,1844.0,12314.0,980.0,2762.0,590.0,0.0,79.63,10.368056,0.0635,67.435369,0.0
31,2020-05-03,1795.0,12119.0,1044.0,2648.0,556.0,0.0,79.63,9.791667,0.338667,80.586314,0.0
32,2020-05-04,1724.0,12020.0,1063.0,2851.0,562.0,0.0,79.63,9.847222,0.036286,80.571134,0.0
33,2020-05-05,1662.0,11754.0,959.0,3148.0,537.0,0.0,79.63,8.4375,0.0,67.546226,0.0
34,2020-05-06,1610.0,11227.0,1040.0,3264.0,524.0,0.0,79.63,9.1875,0.0,63.861323,0.0
35,2020-05-07,1493.0,10726.0,998.0,3205.0,535.0,0.0,79.63,12.756944,0.0,60.980408,0.0
36,2020-05-08,1446.0,10249.0,743.0,2622.0,482.0,0.0,79.63,16.229167,0.0,63.885635,0.0
37,2020-05-09,1398.0,10176.0,798.0,1797.0,463.0,0.0,79.63,16.201389,0.0,64.55464,0.0
