date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,hospitalCases,newAdmissions,population,covidOccupiedMVBeds,cumAdmissions,covidOccupiedMVBeds_lag_1,covidOccupiedMVBeds_lag_2,covidOccupiedMVBeds_lag_3,covidOccupiedMVBeds_lag_5,covidOccupiedMVBeds_lag_7,covidOccupiedMVBeds_lag_14,covidOccupiedMVBeds_lag_21,month,day,day_of_week
2020-04-22,4650.0,640.0,112592.0,21087.0,21009.0,1775,56171302,3318.0,88541,3387.0,3468.0,3548.0,3507.0,3610.0,3271.0,0.0,4,22,2
2020-04-23,4423.0,595.0,117015.0,21682.0,20310.0,1737,56171302,3228.0,90278,3318.0,3387.0,3468.0,3617.0,3609.0,3300.0,1878.0,4,23,3
2020-04-24,4160.0,601.0,121175.0,22283.0,19332.0,1704,56171302,3022.0,91982,3228.0,3318.0,3387.0,3548.0,3507.0,3576.0,2261.0,4,24,4
2020-04-25,3233.0,551.0,124408.0,22834.0,18693.0,1465,56171302,2997.0,93447,3022.0,3228.0,3318.0,3468.0,3617.0,3636.0,2458.0,4,25,5
2020-04-26,2980.0,556.0,127388.0,23390.0,18784.0,1667,56171302,2889.0,95114,2997.0,3022.0,3228.0,3387.0,3548.0,3654.0,2650.0,4,26,6
2020-04-27,3958.0,505.0,131346.0,23895.0,18901.0,1809,56171302,2717.0,96923,2889.0,2997.0,3022.0,3318.0,3468.0,3657.0,2888.0,4,27,0
2020-04-28,3902.0,496.0,135248.0,24391.0,18070.0,1742,56171302,2606.0,98665,2717.0,2889.0,2997.0,3228.0,3387.0,3615.0,3147.0,4,28,1
2020-04-29,4610.0,495.0,139858.0,24886.0,17578.0,1748,56171302,2550.0,100413,2606.0,2717.0,2889.0,3022.0,3318.0,3610.0,3271.0,4,29,2
2020-04-30,4231.0,483.0,144089.0,25369.0,17215.0,1625,56171302,2490.0,102038,2550.0,2606.0,2717.0,2997.0,3228.0,3609.0,3300.0,4,30,3
2020-05-01,4024.0,475.0,148113.0,25844.0,16831.0,1437,56171302,2447.0,103475,2490.0,2550.0,2606.0,2889.0,3022.0,3507.0,3576.0,5,1,4
2020-05-02,2677.0,424.0,150790.0,26268.0,16477.0,1303,56171302,2306.0,104778,2447.0,2490.0,2550.0,2717.0,2997.0,3617.0,3636.0,5,2,5
2020-05-03,2537.0,387.0,153327.0,26655.0,16225.0,1366,56171302,2242.0,106144,2306.0,2447.0,2490.0,2606.0,2889.0,3548.0,3654.0,5,3,6
2020-05-04,2775.0,409.0,156102.0,27064.0,16102.0,1471,56171302,2153.0,107615,2242.0,2306.0,2447.0,2550.0,2717.0,3468.0,3657.0,5,4,0
2020-05-05,3060.0,390.0,159162.0,27454.0,15717.0,1289,56171302,2078.0,108904,2153.0,2242.0,2306.0,2490.0,2606.0,3387.0,3615.0,5,5,1
2020-05-06,3191.0,390.0,162353.0,27844.0,15084.0,1393,56171302,2006.0,110297,2078.0,2153.0,2242.0,2447.0,2550.0,3318.0,3610.0,5,6,2
2020-05-07,3112.0,394.0,165465.0,28238.0,14405.0,1336,56171302,1827.0,111633,2006.0,2078.0,2153.0,2306.0,2490.0,3228.0,3609.0,5,7,3
2020-05-08,2571.0,330.0,168036.0,28568.0,13789.0,1004,56171302,1795.0,112637,1827.0,2006.0,2078.0,2242.0,2447.0,3022.0,3507.0,5,8,4
2020-05-09,1767.0,328.0,169803.0,28896.0,13690.0,1102,56171302,1734.0,113739,1795.0,1827.0,2006.0,2153.0,2306.0,2997.0,3617.0,5,9,5
2020-05-10,1986.0,300.0,171789.0,29196.0,13294.0,1019,56171302,1707.0,114758,1734.0,1795.0,1827.0,2078.0,2242.0,2889.0,3548.0,5,10,6
2020-05-11,3042.0,259.0,174831.0,29455.0,13631.0,1179,56171302,1643.0,115937,1707.0,1734.0,1795.0,2006.0,2153.0,2717.0,3468.0,5,11,0
2020-05-12,2886.0,274.0,177717.0,29729.0,13211.0,1159,56171302,1568.0,117096,1643.0,1707.0,1734.0,1827.0,2078.0,2606.0,3387.0,5,12,1
2020-05-13,2826.0,253.0,180543.0,29982.0,13001.0,1108,56171302,1495.0,118204,1568.0,1643.0,1707.0,1795.0,2006.0,2550.0,3318.0,5,13,2
2020-05-14,2172.0,274.0,182715.0,30256.0,12508.0,1033,56171302,1449.0,119237,1495.0,1568.0,1643.0,1734.0,1827.0,2490.0,3228.0,5,14,3
2020-05-15,2105.0,267.0,184820.0,30523.0,12319.0,1019,56171302,1493.0,120256,1449.0,1495.0,1568.0,1707.0,1795.0,2447.0,3022.0,5,15,4
2020-05-16,1756.0,266.0,186576.0,30789.0,11738.0,909,56171302,1376.0,121165,1493.0,1449.0,1495.0,1643.0,1734.0,2306.0,2997.0,5,16,5
2020-05-17,1570.0,222.0,188146.0,31011.0,11747.0,920,56171302,1329.0,122085,1376.0,1493.0,1449.0,1568.0,1707.0,2242.0,2889.0,5,17,6
2020-05-18,2185.0,253.0,190331.0,31264.0,11824.0,988,56171302,1261.0,123073,1329.0,1376.0,1493.0,1495.0,1643.0,2153.0,2717.0,5,18,0
2020-05-19,2561.0,230.0,192892.0,31494.0,11635.0,1008,56171302,1229.0,124081,1261.0,1329.0,1376.0,1449.0,1568.0,2078.0,2606.0,5,19,1
2020-05-20,2323.0,233.0,195215.0,31727.0,11107.0,987,56171302,1165.0,125068,1229.0,1261.0,1329.0,1493.0,1495.0,2006.0,2550.0,5,20,2
2020-05-21,2242.0,201.0,197457.0,31928.0,10780.0,971,56171302,1129.0,126039,1165.0,1229.0,1261.0,1376.0,1449.0,1827.0,2490.0,5,21,3
2020-05-22,1776.0,194.0,199233.0,32122.0,10580.0,843,56171302,1069.0,126882,1129.0,1165.0,1229.0,1329.0,1493.0,1795.0,2447.0,5,22,4
2020-05-23,1290.0,200.0,200523.0,32322.0,10105.0,714,56171302,1023.0,127596,1069.0,1129.0,1165.0,1261.0,1376.0,1734.0,2306.0,5,23,5
2020-05-24,1189.0,168.0,201712.0,32490.0,10110.0,672,56171302,983.0,128268,1023.0,1069.0,1129.0,1229.0,1329.0,1707.0,2242.0,5,24,6
2020-05-25,1372.0,175.0,203084.0,32665.0,10213.0,657,56171302,955.0,128925,983.0,1023.0,1069.0,1165.0,1261.0,1643.0,2153.0,5,25,0
2020-05-26,1431.0,188.0,204515.0,32853.0,9993.0,781,56171302,936.0,129706,955.0,983.0,1023.0,1129.0,1229.0,1568.0,2078.0,5,26,1
2020-05-27,1597.0,170.0,206112.0,33023.0,9271.0,797,56171302,869.0,130503,936.0,955.0,983.0,1069.0,1165.0,1495.0,2006.0,5,27,2
2020-05-28,1553.0,182.0,207665.0,33205.0,8878.0,758,56171302,830.0,131261,869.0,936.0,955.0,1023.0,1129.0,1449.0,1827.0,5,28,3
2020-05-29,1359.0,162.0,209024.0,33367.0,8513.0,682,56171302,801.0,131943,830.0,869.0,936.0,983.0,1069.0,1493.0,1795.0,5,29,4
2020-05-30,992.0,143.0,210016.0,33510.0,8129.0,657,56171302,795.0,132600,801.0,830.0,869.0,955.0,1023.0,1376.0,1734.0,5,30,5
2020-05-31,977.0,113.0,210993.0,33623.0,8102.0,626,56171302,773.0,133226,795.0,801.0,830.0,936.0,983.0,1329.0,1707.0,5,31,6
2020-06-01,1293.0,121.0,212286.0,33744.0,8143.0,687,56171302,756.0,133913,773.0,795.0,801.0,869.0,955.0,1261.0,1643.0,6,1,0
2020-06-02,1345.0,151.0,213631.0,33895.0,7963.0,749,56171302,720.0,134662,756.0,773.0,795.0,830.0,936.0,1229.0,1568.0,6,2,1
2020-06-03,1220.0,137.0,214851.0,34032.0,7616.0,656,56171302,679.0,135318,720.0,756.0,773.0,801.0,869.0,1165.0,1495.0,6,3,2
2020-06-04,1130.0,121.0,215981.0,34153.0,7363.0,604,56171302,651.0,135922,679.0,720.0,756.0,795.0,830.0,1129.0,1449.0,6,4,3
2020-06-05,1003.0,109.0,216984.0,34262.0,7071.0,519,56171302,637.0,136441,651.0,679.0,720.0,773.0,801.0,1069.0,1493.0,6,5,4
2020-06-06,710.0,99.0,217694.0,34361.0,6809.0,403,56171302,621.0,136844,637.0,651.0,679.0,756.0,795.0,1023.0,1376.0,6,6,5
2020-06-07,660.0,112.0,218354.0,34473.0,6606.0,427,56171302,589.0,137271,621.0,637.0,651.0,720.0,773.0,983.0,1329.0,6,7,6
2020-06-08,977.0,112.0,219331.0,34585.0,6627.0,486,56171302,575.0,137757,589.0,621.0,637.0,679.0,756.0,955.0,1261.0,6,8,0
2020-06-09,1055.0,84.0,220386.0,34669.0,6425.0,561,56171302,559.0,138318,575.0,589.0,621.0,651.0,720.0,936.0,1229.0,6,9,1
2020-06-10,1076.0,98.0,221462.0,34767.0,6165.0,565,56171302,516.0,138883,559.0,575.0,589.0,637.0,679.0,869.0,1165.0,6,10,2
2020-06-11,906.0,72.0,222368.0,34839.0,5745.0,451,56171302,441.0,139334,516.0,559.0,575.0,621.0,651.0,830.0,1129.0,6,11,3
2020-06-12,931.0,73.0,223299.0,34912.0,5763.0,412,56171302,453.0,139746,441.0,516.0,559.0,589.0,637.0,801.0,1069.0,6,12,4
2020-06-13,777.0,52.0,224076.0,34964.0,5563.0,375,56171302,448.0,140121,453.0,441.0,516.0,575.0,621.0,795.0,1023.0,6,13,5
2020-06-14,749.0,74.0,224825.0,35038.0,5537.0,421,56171302,451.0,140542,448.0,453.0,441.0,559.0,589.0,773.0,983.0,6,14,6
2020-06-15,929.0,62.0,225754.0,35100.0,5487.0,492,56171302,440.0,141034,451.0,448.0,453.0,516.0,575.0,756.0,955.0,6,15,0
2020-06-16,982.0,69.0,226736.0,35169.0,5488.0,488,56171302,434.0,141522,440.0,451.0,448.0,441.0,559.0,720.0,936.0,6,16,1
