,areaCode,areaName,areaType,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
191,E40000007,East of England,nhsRegion,2023-05-31,5.0,105345,262.0,40
192,E40000007,East of England,nhsRegion,2023-05-30,3.0,105305,252.0,40
193,E40000007,East of England,nhsRegion,2023-05-29,4.0,105265,258.0,51
194,E40000007,East of England,nhsRegion,2023-05-28,6.0,105214,261.0,32
195,E40000007,East of England,nhsRegion,2023-05-27,8.0,105182,263.0,27
196,E40000007,East of England,nhsRegion,2023-05-26,7.0,105155,272.0,32
197,E40000007,East of England,nhsRegion,2023-05-25,6.0,105123,286.0,35
198,E40000007,East of England,nhsRegion,2023-05-24,7.0,105088,318.0,44
199,E40000007,East of England,nhsRegion,2023-05-23,7.0,105044,313.0,43
200,E40000007,East of England,nhsRegion,2023-05-22,9.0,105001,335.0,60
201,E40000007,East of England,nhsRegion,2023-05-21,7.0,104941,337.0,41
202,E40000007,East of England,nhsRegion,2023-05-20,7.0,104900,347.0,35
203,E40000007,East of England,nhsRegion,2023-05-19,7.0,104865,366.0,37
204,E40000007,East of England,nhsRegion,2023-05-18,10.0,104828,367.0,35
205,E40000007,East of England,nhsRegion,2023-05-17,8.0,104793,393.0,54
206,E40000007,East of England,nhsRegion,2023-05-16,5.0,104739,371.0,50
207,E40000007,East of England,nhsRegion,2023-05-15,6.0,104689,352.0,59
208,E40000007,East of England,nhsRegion,2023-05-14,7.0,104630,354.0,49
209,E40000007,East of England,nhsRegion,2023-05-13,9.0,104581,370.0,37
210,E40000007,East of England,nhsRegion,2023-05-12,10.0,104544,363.0,31
211,E40000007,East of England,nhsRegion,2023-05-11,10.0,104513,358.0,45
212,E40000007,East of England,nhsRegion,2023-05-10,10.0,104468,377.0,56
213,E40000007,East of England,nhsRegion,2023-05-09,9.0,104412,375.0,63
214,E40000007,East of England,nhsRegion,2023-05-08,5.0,104349,369.0,53
215,E40000007,East of England,nhsRegion,2023-05-07,6.0,104296,361.0,39
216,E40000007,East of England,nhsRegion,2023-05-06,7.0,104257,351.0,51
217,E40000007,East of England,nhsRegion,2023-05-05,2.0,104206,376.0,54
218,E40000007,East of England,nhsRegion,2023-05-04,4.0,104152,363.0,41
219,E40000007,East of England,nhsRegion,2023-05-03,5.0,104111,370.0,46
220,E40000007,East of England,nhsRegion,2023-05-02,5.0,104065,380.0,43
221,E40000007,East of England,nhsRegion,2023-05-01,6.0,104022,364.0,66
222,E40000007,East of England,nhsRegion,2023-04-30,5.0,103956,372.0,39
223,E40000007,East of England,nhsRegion,2023-04-29,7.0,103917,368.0,43
224,E40000007,East of England,nhsRegion,2023-04-28,6.0,103874,373.0,39
225,E40000007,East of England,nhsRegion,2023-04-27,6.0,103835,412.0,47
226,E40000007,East of England,nhsRegion,2023-04-26,6.0,103788,449.0,41
227,E40000007,East of England,nhsRegion,2023-04-25,6.0,103747,464.0,31
228,E40000007,East of England,nhsRegion,2023-04-24,6.0,103716,490.0,46
229,E40000007,East of England,nhsRegion,2023-04-23,7.0,103670,495.0,55
230,E40000007,East of England,nhsRegion,2023-04-22,5.0,103615,489.0,54
231,E40000007,East of England,nhsRegion,2023-04-21,6.0,103561,484.0,45
232,E40000007,East of England,nhsRegion,2023-04-20,8.0,103516,511.0,52
233,E40000007,East of England,nhsRegion,2023-04-19,7.0,103464,505.0,58
234,E40000007,East of England,nhsRegion,2023-04-18,7.0,103406,473.0,48
235,E40000007,East of England,nhsRegion,2023-04-17,7.0,103358,479.0,97
236,E40000007,East of England,nhsRegion,2023-04-16,9.0,103261,469.0,61
237,E40000007,East of England,nhsRegion,2023-04-15,8.0,103200,469.0,52
238,E40000007,East of England,nhsRegion,2023-04-14,9.0,103148,490.0,51
239,E40000007,East of England,nhsRegion,2023-04-13,8.0,103097,550.0,72
240,E40000007,East of England,nhsRegion,2023-04-12,11.0,103025,573.0,48
241,E40000007,East of England,nhsRegion,2023-04-11,11.0,102977,574.0,74
242,E40000007,East of England,nhsRegion,2023-04-10,12.0,102903,549.0,63
243,E40000007,East of England,nhsRegion,2023-04-09,12.0,102840,543.0,67
244,E40000007,East of England,nhsRegion,2023-04-08,11.0,102773,574.0,44
245,E40000007,East of England,nhsRegion,2023-04-07,11.0,102729,585.0,53
246,E40000007,East of England,nhsRegion,2023-04-06,10.0,102676,594.0,64
247,E40000007,East of England,nhsRegion,2023-04-05,13.0,102612,608.0,78
248,E40000007,East of England,nhsRegion,2023-04-04,16.0,102534,681.0,61
249,E40000007,East of England,nhsRegion,2023-04-03,15.0,102473,678.0,77
250,E40000007,East of England,nhsRegion,2023-04-02,14.0,102396,686.0,66
251,E40000007,East of England,nhsRegion,2023-04-01,11.0,102330,680.0,70
252,E40000007,East of England,nhsRegion,2023-03-31,13.0,102260,709.0,81
253,E40000007,East of England,nhsRegion,2023-03-30,13.0,102179,710.0,94
254,E40000007,East of England,nhsRegion,2023-03-29,11.0,102085,743.0,87
255,E40000007,East of England,nhsRegion,2023-03-28,11.0,101998,789.0,97
256,E40000007,East of England,nhsRegion,2023-03-27,14.0,101901,803.0,84
257,E40000007,East of England,nhsRegion,2023-03-26,12.0,101817,781.0,89
258,E40000007,East of England,nhsRegion,2023-03-25,11.0,101728,779.0,83
259,E40000007,East of England,nhsRegion,2023-03-24,12.0,101645,782.0,78
260,E40000007,East of England,nhsRegion,2023-03-23,10.0,101567,798.0,99
261,E40000007,East of England,nhsRegion,2023-03-22,13.0,101468,805.0,96
262,E40000007,East of England,nhsRegion,2023-03-21,11.0,101372,803.0,115
263,E40000007,East of England,nhsRegion,2023-03-20,10.0,101257,802.0,114
264,E40000007,East of England,nhsRegion,2023-03-19,12.0,101143,783.0,97
265,E40000007,East of England,nhsRegion,2023-03-18,13.0,101046,779.0,94
266,E40000007,East of England,nhsRegion,2023-03-17,12.0,100952,791.0,100
267,E40000007,East of England,nhsRegion,2023-03-16,13.0,100852,808.0,93
268,E40000007,East of England,nhsRegion,2023-03-15,14.0,100759,821.0,93
269,E40000007,East of England,nhsRegion,2023-03-14,14.0,100666,804.0,78
270,E40000007,East of England,nhsRegion,2023-03-13,16.0,100588,780.0,142
271,E40000007,East of England,nhsRegion,2023-03-12,15.0,100446,792.0,101
272,E40000007,East of England,nhsRegion,2023-03-11,13.0,100345,768.0,70
273,E40000007,East of England,nhsRegion,2023-03-10,14.0,100275,773.0,68
274,E40000007,East of England,nhsRegion,2023-03-09,10.0,100207,708.0,85
275,E40000007,East of England,nhsRegion,2023-03-08,8.0,100122,743.0,89
276,E40000007,East of England,nhsRegion,2023-03-07,8.0,100033,764.0,97
277,E40000007,East of England,nhsRegion,2023-03-06,8.0,99936,773.0,93
278,E40000007,East of England,nhsRegion,2023-03-05,12.0,99843,771.0,90
279,E40000007,East of England,nhsRegion,2023-03-04,13.0,99753,772.0,68
280,E40000007,East of England,nhsRegion,2023-03-03,13.0,99685,751.0,79
281,E40000007,East of England,nhsRegion,2023-03-02,16.0,99606,748.0,105
282,E40000007,East of England,nhsRegion,2023-03-01,13.0,99501,768.0,114
283,E40000007,East of England,nhsRegion,2023-02-28,14.0,99387,769.0,97
284,E40000007,East of England,nhsRegion,2023-02-27,12.0,99290,759.0,104
285,E40000007,East of England,nhsRegion,2023-02-26,13.0,99186,749.0,87
286,E40000007,East of England,nhsRegion,2023-02-25,16.0,99099,743.0,81
287,E40000007,East of England,nhsRegion,2023-02-24,15.0,99018,791.0,59
288,E40000007,East of England,nhsRegion,2023-02-23,17.0,98959,797.0,78
289,E40000007,East of England,nhsRegion,2023-02-22,15.0,98881,793.0,116
290,E40000007,East of England,nhsRegion,2023-02-21,15.0,98765,795.0,100
291,E40000007,East of England,nhsRegion,2023-02-20,16.0,98665,810.0,110
292,E40000007,East of England,nhsRegion,2023-02-19,18.0,98555,819.0,93
293,E40000007,East of England,nhsRegion,2023-02-18,16.0,98462,797.0,74
294,E40000007,East of England,nhsRegion,2023-02-17,18.0,98388,793.0,98
295,E40000007,East of England,nhsRegion,2023-02-16,17.0,98290,792.0,147
296,E40000007,East of England,nhsRegion,2023-02-15,13.0,98143,777.0,156
297,E40000007,East of England,nhsRegion,2023-02-14,16.0,97987,756.0,120
298,E40000007,East of England,nhsRegion,2023-02-13,16.0,97867,812.0,107
