areaType,areaName,areaCode,date,newAdmissionsWeekly,cumAdmissions
nation,England,E92000001,2023-11-10,2302,1093016
nation,England,E92000001,2023-11-09,,1092777
nation,England,E92000001,2023-11-08,,1092427
nation,England,E92000001,2023-11-07,,1092089
nation,England,E92000001,2023-11-06,,1091733
nation,England,E92000001,2023-11-05,,1091372
nation,England,E92000001,2023-11-04,,1091009
nation,England,E92000001,2023-11-03,2507,1090714
nation,England,E92000001,2023-11-02,,1090424
nation,England,E92000001,2023-11-01,,1090045
nation,England,E92000001,2023-10-31,,1089667
nation,England,E92000001,2023-10-30,,1089292
nation,England,E92000001,2023-10-29,,1088890
nation,England,E92000001,2023-10-28,,1088527
nation,England,E92000001,2023-10-27,3062,1088207
nation,England,E92000001,2023-10-26,,1087857
nation,England,E92000001,2023-10-25,,1087411
nation,England,E92000001,2023-10-24,,1086983
nation,England,E92000001,2023-10-23,,1086483
nation,England,E92000001,2023-10-22,,1086024
nation,England,E92000001,2023-10-21,,1085506
nation,England,E92000001,2023-10-20,3378,1085145
nation,England,E92000001,2023-10-19,,1084729
nation,England,E92000001,2023-10-18,,1084222
nation,England,E92000001,2023-10-17,,1083673
nation,England,E92000001,2023-10-16,,1083123
nation,England,E92000001,2023-10-15,,1082673
nation,England,E92000001,2023-10-14,,1082152
nation,England,E92000001,2023-10-13,3969,1081767
nation,England,E92000001,2023-10-12,,1081345
nation,England,E92000001,2023-10-11,,1080822
nation,England,E92000001,2023-10-10,,1080271
nation,England,E92000001,2023-10-09,,1079597
nation,England,E92000001,2023-10-08,,1078952
nation,England,E92000001,2023-10-07,,1078295
nation,England,E92000001,2023-10-06,4312,1077798
nation,England,E92000001,2023-10-05,,1077310
nation,England,E92000001,2023-10-04,,1076627
nation,England,E92000001,2023-10-03,,1076002
nation,England,E92000001,2023-10-02,,1075303
nation,England,E92000001,2023-10-01,,1074620
nation,England,E92000001,2023-09-30,,1073955
nation,England,E92000001,2023-09-29,3830,1073486
nation,England,E92000001,2023-09-28,,1073003
nation,England,E92000001,2023-09-27,,1072441
nation,England,E92000001,2023-09-26,,1071822
nation,England,E92000001,2023-09-25,,1071190
nation,England,E92000001,2023-09-24,,1070584
nation,England,E92000001,2023-09-23,,1070058
nation,England,E92000001,2023-09-22,3060,1069656
nation,England,E92000001,2023-09-21,,1069237
nation,England,E92000001,2023-09-20,,1068801
nation,England,E92000001,2023-09-19,,1068330
nation,England,E92000001,2023-09-18,,1067866
nation,England,E92000001,2023-09-17,,1067406
nation,England,E92000001,2023-09-16,,1066964
nation,England,E92000001,2023-09-15,2766,1066596
nation,England,E92000001,2023-09-14,,1066267
nation,England,E92000001,2023-09-13,,1065923
nation,England,E92000001,2023-09-12,,1065558
nation,England,E92000001,2023-09-11,,1065114
nation,England,E92000001,2023-09-10,,1064669
nation,England,E92000001,2023-09-09,,1064218
nation,England,E92000001,2023-09-08,3287,1063830
nation,England,E92000001,2023-09-07,,1063448
nation,England,E92000001,2023-09-06,,1062973
nation,England,E92000001,2023-09-05,,1062480
nation,England,E92000001,2023-09-04,,1061985
nation,England,E92000001,2023-09-03,,1061441
nation,England,E92000001,2023-09-02,,1060905
nation,England,E92000001,2023-09-01,2535,1060543
nation,England,E92000001,2023-08-31,,1060183
nation,England,E92000001,2023-08-30,,1059821
nation,England,E92000001,2023-08-29,,1059374
nation,England,E92000001,2023-08-28,,1058960
nation,England,E92000001,2023-08-27,,1058547
nation,England,E92000001,2023-08-26,,1058262
nation,England,E92000001,2023-08-25,2282,1058008
nation,England,E92000001,2023-08-24,,1057736
nation,England,E92000001,2023-08-23,,1057386
nation,England,E92000001,2023-08-22,,1057053
nation,England,E92000001,2023-08-21,,1056677
nation,England,E92000001,2023-08-20,,1056296
nation,England,E92000001,2023-08-19,,1055956
nation,England,E92000001,2023-08-18,2254,1055726
nation,England,E92000001,2023-08-17,,1055455
nation,England,E92000001,2023-08-16,,1055148
nation,England,E92000001,2023-08-15,,1054813
nation,England,E92000001,2023-08-14,,1054455
nation,England,E92000001,2023-08-13,,1054094
nation,England,E92000001,2023-08-12,,1053725
nation,England,E92000001,2023-08-11,2147,1053472
nation,England,E92000001,2023-08-10,,1053212
nation,England,E92000001,2023-08-09,,1052899
nation,England,E92000001,2023-08-08,,1052563
nation,England,E92000001,2023-08-07,,1052206
nation,England,E92000001,2023-08-06,,1051845
nation,England,E92000001,2023-08-05,,1051536
nation,England,E92000001,2023-08-04,1804,1051325
nation,England,E92000001,2023-08-03,,1051096
nation,England,E92000001,2023-08-02,,1050819
nation,England,E92000001,2023-08-01,,1050526
nation,England,E92000001,2023-07-31,,1050253
nation,England,E92000001,2023-07-30,,1049995
nation,England,E92000001,2023-07-29,,1049702
nation,England,E92000001,2023-07-28,1437,1049521
nation,England,E92000001,2023-07-27,,1049350
nation,England,E92000001,2023-07-26,,1049097
nation,England,E92000001,2023-07-25,,1048887
nation,England,E92000001,2023-07-24,,1048683
nation,England,E92000001,2023-07-23,,1048435
nation,England,E92000001,2023-07-22,,1048232
nation,England,E92000001,2023-07-21,1027,1048084
nation,England,E92000001,2023-07-20,,1047952
nation,England,E92000001,2023-07-19,,1047783
nation,England,E92000001,2023-07-18,,1047599
nation,England,E92000001,2023-07-17,,1047457
nation,England,E92000001,2023-07-16,,1047314
nation,England,E92000001,2023-07-15,,1047182
nation,England,E92000001,2023-07-14,931,1047057
nation,England,E92000001,2023-07-13,,1046956
nation,England,E92000001,2023-07-12,,1046823
nation,England,E92000001,2023-07-11,,1046684
nation,England,E92000001,2023-07-10,,1046527
nation,England,E92000001,2023-07-09,,1046366
nation,England,E92000001,2023-07-08,,1046238
nation,England,E92000001,2023-07-07,757,1046126
nation,England,E92000001,2023-07-06,,1046026
nation,England,E92000001,2023-07-05,,1045906
nation,England,E92000001,2023-07-04,,1045793
nation,England,E92000001,2023-07-03,,1045651
nation,England,E92000001,2023-07-02,,1045536
nation,England,E92000001,2023-07-01,,1045439
nation,England,E92000001,2023-06-30,721,1045369
nation,England,E92000001,2023-06-29,,1045276
nation,England,E92000001,2023-06-28,,1045170
nation,England,E92000001,2023-06-27,,1045049
nation,England,E92000001,2023-06-26,,1044952
nation,England,E92000001,2023-06-25,,1044845
nation,England,E92000001,2023-06-24,,1044743
nation,England,E92000001,2023-06-23,916,1044648
nation,England,E92000001,2023-06-22,,1044568
nation,England,E92000001,2023-06-21,,1044444
nation,England,E92000001,2023-06-20,,1044319
nation,England,E92000001,2023-06-19,,1044152
nation,England,E92000001,2023-06-18,,1044002
nation,England,E92000001,2023-06-17,,1043856
nation,England,E92000001,2023-06-16,1388,1043732
nation,England,E92000001,2023-06-15,,1043617
nation,England,E92000001,2023-06-14,,1043457
nation,England,E92000001,2023-06-13,,1043245
nation,England,E92000001,2023-06-12,,1042999
nation,England,E92000001,2023-06-11,,1042776
nation,England,E92000001,2023-06-10,,1042524
nation,England,E92000001,2023-06-09,1708,1042344
nation,England,E92000001,2023-06-08,,1042161
nation,England,E92000001,2023-06-07,,1041906
nation,England,E92000001,2023-06-06,,1041634
nation,England,E92000001,2023-06-05,,1041344
nation,England,E92000001,2023-06-04,,1041068
nation,England,E92000001,2023-06-03,,1040813
nation,England,E92000001,2023-06-02,1867,1040636
nation,England,E92000001,2023-06-01,,1040444
nation,England,E92000001,2023-05-31,,1040151
nation,England,E92000001,2023-05-30,,1039861
nation,England,E92000001,2023-05-29,,1039544
nation,England,E92000001,2023-05-28,,1039245
nation,England,E92000001,2023-05-27,,1038988
nation,England,E92000001,2023-05-26,2228,1038769
nation,England,E92000001,2023-05-25,,1038523
nation,England,E92000001,2023-05-24,,1038201
nation,England,E92000001,2023-05-23,,1037861
nation,England,E92000001,2023-05-22,,1037480
nation,England,E92000001,2023-05-21,,1037116
nation,England,E92000001,2023-05-20,,1036788
nation,England,E92000001,2023-05-19,2319,1036541
nation,England,E92000001,2023-05-18,,1036288
nation,England,E92000001,2023-05-17,,1035945
nation,England,E92000001,2023-05-16,,1035595
nation,England,E92000001,2023-05-15,,1035212
nation,England,E92000001,2023-05-14,,1034838
nation,England,E92000001,2023-05-13,,1034493
nation,England,E92000001,2023-05-12,2829,1034222
nation,England,E92000001,2023-05-11,,1033913
nation,England,E92000001,2023-05-10,,1033507
nation,England,E92000001,2023-05-09,,1033048
nation,England,E92000001,2023-05-08,,1032591
nation,England,E92000001,2023-05-07,,1032135
nation,England,E92000001,2023-05-06,,1031775
nation,England,E92000001,2023-05-05,3143,1031393
nation,England,E92000001,2023-05-04,,1030987
nation,England,E92000001,2023-05-03,,1030544
nation,England,E92000001,2023-05-02,,1030094
nation,England,E92000001,2023-05-01,,1029589
nation,England,E92000001,2023-04-30,,1029072
nation,England,E92000001,2023-04-29,,1028644
nation,England,E92000001,2023-04-28,3485,1028250
nation,England,E92000001,2023-04-27,,1027846
nation,England,E92000001,2023-04-26,,1027321
nation,England,E92000001,2023-04-25,,1026782
nation,England,E92000001,2023-04-24,,1026271
nation,England,E92000001,2023-04-23,,1025746
nation,England,E92000001,2023-04-22,,1025176
nation,England,E92000001,2023-04-21,3788,1024765
nation,England,E92000001,2023-04-20,,1024337
nation,England,E92000001,2023-04-19,,1023844
nation,England,E92000001,2023-04-18,,1023278
nation,England,E92000001,2023-04-17,,1022721
nation,England,E92000001,2023-04-16,,1022062
nation,England,E92000001,2023-04-15,,1021486
nation,England,E92000001,2023-04-14,4320,1020977
nation,England,E92000001,2023-04-13,,1020485
nation,England,E92000001,2023-04-12,,1019865
nation,England,E92000001,2023-04-11,,1019237
nation,England,E92000001,2023-04-10,,1018514
nation,England,E92000001,2023-04-09,,1017795
nation,England,E92000001,2023-04-08,,1017183
nation,England,E92000001,2023-04-07,4958,1016657
nation,England,E92000001,2023-04-06,,1016137
nation,England,E92000001,2023-04-05,,1015518
nation,England,E92000001,2023-04-04,,1014744
nation,England,E92000001,2023-04-03,,1013958
nation,England,E92000001,2023-04-02,,1013188
nation,England,E92000001,2023-04-01,,1012417
nation,England,E92000001,2023-03-31,5942,1011699
nation,England,E92000001,2023-03-30,,1011000
nation,England,E92000001,2023-03-29,,1010153
nation,England,E92000001,2023-03-28,,1009132
nation,England,E92000001,2023-03-27,,1008198
nation,England,E92000001,2023-03-26,,1007312
nation,England,E92000001,2023-03-25,,1006487
nation,England,E92000001,2023-03-24,6787,1005757
nation,England,E92000001,2023-03-23,,1004995
nation,England,E92000001,2023-03-22,,1003984
nation,England,E92000001,2023-03-21,,1002956
nation,England,E92000001,2023-03-20,,1001891
nation,England,E92000001,2023-03-19,,1000872
nation,England,E92000001,2023-03-18,,999823
nation,England,E92000001,2023-03-17,7159,998970
nation,England,E92000001,2023-03-16,,998128
nation,England,E92000001,2023-03-15,,997052
nation,England,E92000001,2023-03-14,,996041
nation,England,E92000001,2023-03-13,,994941
nation,England,E92000001,2023-03-12,,993752
nation,England,E92000001,2023-03-11,,992681
nation,England,E92000001,2023-03-10,6584,991811
nation,England,E92000001,2023-03-09,,991028
nation,England,E92000001,2023-03-08,,990050
nation,England,E92000001,2023-03-07,,988928
nation,England,E92000001,2023-03-06,,987883
nation,England,E92000001,2023-03-05,,986844
nation,England,E92000001,2023-03-04,,985970
nation,England,E92000001,2023-03-03,6187,985227
nation,England,E92000001,2023-03-02,,984477
nation,England,E92000001,2023-03-01,,983530
nation,England,E92000001,2023-02-28,,982537
nation,England,E92000001,2023-02-27,,981595
nation,England,E92000001,2023-02-26,,980662
nation,England,E92000001,2023-02-25,,979769
