,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,openstreetmap_id,latitude,longitude,region,epi_week
98,2020-04-08 00:00:00,289.0,46.0,3445.0,452.0,2656980,151164,55.0,-1.866667,North East England,202015
99,2020-04-09 00:00:00,316.0,48.0,3761.0,500.0,2656980,151164,55.0,-1.866667,North East England,202015
100,2020-04-10 00:00:00,245.0,56.0,4006.0,556.0,2656980,151164,55.0,-1.866667,North East England,202015
101,2020-04-11 00:00:00,265.0,50.0,4271.0,606.0,2656980,151164,55.0,-1.866667,North East England,202015
102,2020-04-12 00:00:00,202.0,46.0,4473.0,652.0,2656980,151164,55.0,-1.866667,North East England,202016
103,2020-04-13 00:00:00,233.0,37.0,4706.0,689.0,2656980,151164,55.0,-1.866667,North East England,202016
104,2020-04-14 00:00:00,257.0,51.0,4963.0,740.0,2656980,151164,55.0,-1.866667,North East England,202016
105,2020-04-15 00:00:00,286.0,31.0,5249.0,771.0,2656980,151164,55.0,-1.866667,North East England,202016
106,2020-04-16 00:00:00,295.0,25.0,5544.0,796.0,2656980,151164,55.0,-1.866667,North East England,202016
107,2020-04-17 00:00:00,288.0,37.0,5832.0,833.0,2656980,151164,55.0,-1.866667,North East England,202016
108,2020-04-18 00:00:00,374.0,50.0,6206.0,883.0,2656980,151164,55.0,-1.866667,North East England,202016
109,2020-04-19 00:00:00,276.0,45.0,6482.0,928.0,2656980,151164,55.0,-1.866667,North East England,202017
110,2020-04-20 00:00:00,314.0,43.0,6796.0,971.0,2656980,151164,55.0,-1.866667,North East England,202017
111,2020-04-21 00:00:00,288.0,37.0,7084.0,1008.0,2656980,151164,55.0,-1.866667,North East England,202017
112,2020-04-22 00:00:00,358.0,38.0,7442.0,1046.0,2656980,151164,55.0,-1.866667,North East England,202017
113,2020-04-23 00:00:00,328.0,34.0,7770.0,1080.0,2656980,151164,55.0,-1.866667,North East England,202017
114,2020-04-24 00:00:00,331.0,29.0,8101.0,1109.0,2656980,151164,55.0,-1.866667,North East England,202017
115,2020-04-25 00:00:00,215.0,48.0,8316.0,1157.0,2656980,151164,55.0,-1.866667,North East England,202017
116,2020-04-26 00:00:00,159.0,34.0,8475.0,1191.0,2656980,151164,55.0,-1.866667,North East England,202018
117,2020-04-27 00:00:00,287.0,31.0,8762.0,1222.0,2656980,151164,55.0,-1.866667,North East England,202018
118,2020-04-28 00:00:00,360.0,40.0,9122.0,1262.0,2656980,151164,55.0,-1.866667,North East England,202018
119,2020-04-29 00:00:00,360.0,27.0,9482.0,1289.0,2656980,151164,55.0,-1.866667,North East England,202018
120,2020-04-30 00:00:00,383.0,33.0,9865.0,1322.0,2656980,151164,55.0,-1.866667,North East England,202018
121,2020-05-01 00:00:00,273.0,39.0,10138.0,1361.0,2656980,151164,55.0,-1.866667,North East England,202018
122,2020-05-02 00:00:00,183.0,40.0,10321.0,1401.0,2656980,151164,55.0,-1.866667,North East England,202018
123,2020-05-03 00:00:00,163.0,29.0,10484.0,1430.0,2656980,151164,55.0,-1.866667,North East England,202019
124,2020-05-04 00:00:00,233.0,28.0,10717.0,1458.0,2656980,151164,55.0,-1.866667,North East England,202019
125,2020-05-05 00:00:00,251.0,27.0,10968.0,1485.0,2656980,151164,55.0,-1.866667,North East England,202019
126,2020-05-06 00:00:00,243.0,25.0,11211.0,1510.0,2656980,151164,55.0,-1.866667,North East England,202019
127,2020-05-07 00:00:00,200.0,33.0,11411.0,1543.0,2656980,151164,55.0,-1.866667,North East England,202019
