,region,epi_week,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population
0,East Midlands,202015,2020-04-08 00:00:00,766.0,249.0,4313.0,836.0,4811065
1,East Midlands,202016,2020-04-12 00:00:00,1528.0,374.0,5841.0,1210.0,4811065
2,East Midlands,202017,2020-04-19 00:00:00,1807.0,327.0,7648.0,1537.0,4811065
3,East Midlands,202018,2020-04-26 00:00:00,2000.0,300.0,9648.0,1837.0,4811065
4,East Midlands,202019,2020-05-03 00:00:00,1779.0,254.0,11427.0,2091.0,4811065
5,East Midlands,202020,2020-05-10 00:00:00,1869.0,174.0,13296.0,2265.0,4811065
6,East Midlands,202021,2020-05-17 00:00:00,1723.0,163.0,15019.0,2428.0,4811065
7,East Midlands,202022,2020-05-24 00:00:00,1200.0,123.0,16219.0,2551.0,4811065
8,East Midlands,202023,2020-05-31 00:00:00,1161.0,101.0,17380.0,2652.0,4811065
9,East Midlands,202024,2020-06-07 00:00:00,1137.0,87.0,18517.0,2739.0,4811065
10,East Midlands,202025,2020-06-14 00:00:00,1100.0,65.0,19617.0,2804.0,4811065
11,East Midlands,202026,2020-06-21 00:00:00,985.0,56.0,20602.0,2860.0,4811065
12,East Midlands,202027,2020-06-28 00:00:00,759.0,25.0,21361.0,2885.0,4811065
13,East Midlands,202028,2020-07-05 00:00:00,779.0,20.0,22140.0,2905.0,4811065
14,East Midlands,202029,2020-07-12 00:00:00,593.0,16.0,22733.0,2921.0,4811065
15,East Midlands,202030,2020-07-19 00:00:00,510.0,13.0,23243.0,2934.0,4811065
16,East Midlands,202031,2020-07-26 00:00:00,578.0,8.0,23821.0,2942.0,4811065
17,East Midlands,202032,2020-08-02 00:00:00,659.0,6.0,24480.0,2948.0,4811065
18,East Midlands,202033,2020-08-09 00:00:00,841.0,6.0,25321.0,2954.0,4811065
19,East Midlands,202034,2020-08-16 00:00:00,635.0,3.0,25956.0,2957.0,4811065
20,East Midlands,202035,2020-08-23 00:00:00,544.0,3.0,26500.0,2960.0,4811065
21,East Midlands,202036,2020-08-30 00:00:00,1157.0,8.0,27657.0,2968.0,4811065
22,East Midlands,202037,2020-09-06 00:00:00,1642.0,8.0,29299.0,2976.0,4811065
23,East Midlands,202038,2020-09-13 00:00:00,1554.0,7.0,30853.0,2983.0,4811065
24,East Midlands,202039,2020-09-20 00:00:00,2112.0,14.0,32965.0,2997.0,4811065
