epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202010,2020-03-03 00:00:00,7.0,1.0,4811065,15.0,1.0
202010,2020-03-04 00:00:00,2.0,0.0,4811065,17.0,1.0
202010,2020-03-05 00:00:00,3.0,0.0,4811065,20.0,1.0
202010,2020-03-06 00:00:00,7.0,0.0,4811065,27.0,1.0
202010,2020-03-07 00:00:00,5.0,0.0,4811065,32.0,1.0
202011,2020-03-08 00:00:00,1.0,0.0,4811065,33.0,1.0
202011,2020-03-09 00:00:00,10.0,0.0,4811065,43.0,1.0
202011,2020-03-10 00:00:00,12.0,0.0,4811065,55.0,1.0
202011,2020-03-11 00:00:00,25.0,0.0,4811065,80.0,1.0
202011,2020-03-12 00:00:00,17.0,1.0,4811065,97.0,2.0
202011,2020-03-13 00:00:00,21.0,1.0,4811065,118.0,3.0
202011,2020-03-14 00:00:00,19.0,1.0,4811065,137.0,4.0
202012,2020-03-15 00:00:00,26.0,0.0,4811065,163.0,4.0
202012,2020-03-16 00:00:00,32.0,4.0,4811065,195.0,8.0
202012,2020-03-17 00:00:00,33.0,0.0,4811065,228.0,8.0
202012,2020-03-18 00:00:00,46.0,3.0,4811065,274.0,11.0
202012,2020-03-19 00:00:00,64.0,1.0,4811065,338.0,12.0
202012,2020-03-20 00:00:00,54.0,4.0,4811065,392.0,16.0
202012,2020-03-21 00:00:00,71.0,2.0,4811065,463.0,18.0
202013,2020-03-22 00:00:00,99.0,14.0,4811065,562.0,32.0
202013,2020-03-23 00:00:00,117.0,10.0,4811065,679.0,42.0
202013,2020-03-24 00:00:00,137.0,14.0,4811065,816.0,56.0
202013,2020-03-25 00:00:00,116.0,11.0,4811065,932.0,67.0
202013,2020-03-26 00:00:00,154.0,18.0,4811065,1086.0,85.0
202013,2020-03-27 00:00:00,135.0,21.0,4811065,1221.0,106.0
202013,2020-03-28 00:00:00,157.0,23.0,4811065,1378.0,129.0
202014,2020-03-29 00:00:00,128.0,25.0,4811065,1506.0,154.0
202014,2020-03-30 00:00:00,209.0,24.0,4811065,1715.0,178.0
202014,2020-03-31 00:00:00,278.0,37.0,4811065,1993.0,215.0
202014,2020-04-01 00:00:00,301.0,44.0,4811065,2294.0,259.0
202014,2020-04-02 00:00:00,213.0,46.0,4811065,2507.0,305.0
202014,2020-04-03 00:00:00,254.0,52.0,4811065,2761.0,357.0
202014,2020-04-04 00:00:00,190.0,53.0,4811065,2951.0,410.0
