epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202010,2020-03-02 00:00:00,1.0,1.0,6235410,6.0,1.0
202010,2020-03-03 00:00:00,7.0,0.0,6235410,13.0,1.0
202010,2020-03-04 00:00:00,7.0,0.0,6235410,20.0,1.0
202010,2020-03-05 00:00:00,1.0,0.0,6235410,21.0,1.0
202010,2020-03-06 00:00:00,5.0,0.0,6235410,26.0,1.0
202010,2020-03-07 00:00:00,3.0,0.0,6235410,29.0,1.0
202011,2020-03-08 00:00:00,2.0,0.0,6235410,31.0,1.0
202011,2020-03-09 00:00:00,4.0,1.0,6235410,35.0,2.0
202011,2020-03-10 00:00:00,16.0,0.0,6235410,51.0,2.0
202011,2020-03-11 00:00:00,15.0,1.0,6235410,66.0,3.0
202011,2020-03-12 00:00:00,18.0,0.0,6235410,84.0,3.0
202011,2020-03-13 00:00:00,38.0,1.0,6235410,122.0,4.0
202011,2020-03-14 00:00:00,16.0,0.0,6235410,138.0,4.0
202012,2020-03-15 00:00:00,35.0,2.0,6235410,173.0,6.0
202012,2020-03-16 00:00:00,24.0,2.0,6235410,197.0,8.0
202012,2020-03-17 00:00:00,40.0,2.0,6235410,237.0,10.0
202012,2020-03-18 00:00:00,73.0,3.0,6235410,310.0,13.0
202012,2020-03-19 00:00:00,56.0,5.0,6235410,366.0,18.0
202012,2020-03-20 00:00:00,75.0,2.0,6235410,441.0,20.0
202012,2020-03-21 00:00:00,76.0,9.0,6235410,517.0,29.0
202013,2020-03-22 00:00:00,91.0,13.0,6235410,608.0,42.0
202013,2020-03-23 00:00:00,191.0,13.0,6235410,799.0,55.0
202013,2020-03-24 00:00:00,155.0,23.0,6235410,954.0,78.0
202013,2020-03-25 00:00:00,172.0,22.0,6235410,1126.0,100.0
202013,2020-03-26 00:00:00,216.0,34.0,6235410,1342.0,134.0
202013,2020-03-27 00:00:00,243.0,38.0,6235410,1585.0,172.0
202013,2020-03-28 00:00:00,183.0,36.0,6235410,1768.0,208.0
202014,2020-03-29 00:00:00,210.0,49.0,6235410,1978.0,257.0
202014,2020-03-30 00:00:00,302.0,52.0,6235410,2280.0,309.0
202014,2020-03-31 00:00:00,324.0,71.0,6235410,2604.0,380.0
202014,2020-04-01 00:00:00,334.0,75.0,6235410,2938.0,455.0
202014,2020-04-02 00:00:00,372.0,71.0,6235410,3310.0,526.0
202014,2020-04-03 00:00:00,350.0,85.0,6235410,3660.0,611.0
202014,2020-04-04 00:00:00,268.0,70.0,6235410,3928.0,681.0
202015,2020-04-05 00:00:00,281.0,91.0,6235410,4209.0,772.0
202015,2020-04-06 00:00:00,384.0,77.0,6235410,4593.0,849.0
202015,2020-04-07 00:00:00,386.0,110.0,6235410,4979.0,959.0
202015,2020-04-08 00:00:00,409.0,116.0,6235410,5388.0,1075.0
202015,2020-04-09 00:00:00,323.0,95.0,6235410,5711.0,1170.0
202015,2020-04-10 00:00:00,319.0,71.0,6235410,6030.0,1241.0
202015,2020-04-11 00:00:00,271.0,103.0,6235410,6301.0,1344.0
202016,2020-04-12 00:00:00,259.0,101.0,6235410,6560.0,1445.0
202016,2020-04-13 00:00:00,292.0,86.0,6235410,6852.0,1531.0
202016,2020-04-14 00:00:00,289.0,71.0,6235410,7141.0,1602.0
202016,2020-04-15 00:00:00,296.0,87.0,6235410,7437.0,1689.0
202016,2020-04-16 00:00:00,336.0,86.0,6235410,7773.0,1775.0
202016,2020-04-17 00:00:00,366.0,86.0,6235410,8139.0,1861.0
202016,2020-04-18 00:00:00,328.0,74.0,6235410,8467.0,1935.0
202017,2020-04-19 00:00:00,318.0,75.0,6235410,8785.0,2010.0
202017,2020-04-20 00:00:00,362.0,70.0,6235410,9147.0,2080.0
202017,2020-04-21 00:00:00,406.0,79.0,6235410,9553.0,2159.0
202017,2020-04-22 00:00:00,522.0,77.0,6235410,10075.0,2236.0
202017,2020-04-23 00:00:00,476.0,58.0,6235410,10551.0,2294.0
202017,2020-04-24 00:00:00,424.0,83.0,6235410,10975.0,2377.0
202017,2020-04-25 00:00:00,375.0,59.0,6235410,11350.0,2436.0
202018,2020-04-26 00:00:00,357.0,64.0,6235410,11707.0,2500.0
202018,2020-04-27 00:00:00,513.0,58.0,6235410,12220.0,2558.0
202018,2020-04-28 00:00:00,463.0,68.0,6235410,12683.0,2626.0
202018,2020-04-29 00:00:00,476.0,50.0,6235410,13159.0,2676.0
202018,2020-04-30 00:00:00,425.0,65.0,6235410,13584.0,2741.0
202018,2020-05-01 00:00:00,492.0,72.0,6235410,14076.0,2813.0
202018,2020-05-02 00:00:00,303.0,38.0,6235410,14379.0,2851.0
202019,2020-05-03 00:00:00,317.0,54.0,6235410,14696.0,2905.0
202019,2020-05-04 00:00:00,392.0,36.0,6235410,15088.0,2941.0
202019,2020-05-05 00:00:00,332.0,48.0,6235410,15420.0,2989.0
202019,2020-05-06 00:00:00,388.0,50.0,6235410,15808.0,3039.0
202019,2020-05-07 00:00:00,396.0,48.0,6235410,16204.0,3087.0
202019,2020-05-08 00:00:00,232.0,36.0,6235410,16436.0,3123.0
202019,2020-05-09 00:00:00,203.0,42.0,6235410,16639.0,3165.0
202020,2020-05-10 00:00:00,208.0,34.0,6235410,16847.0,3199.0
202020,2020-05-11 00:00:00,390.0,25.0,6235410,17237.0,3224.0
202020,2020-05-12 00:00:00,316.0,35.0,6235410,17553.0,3259.0
202020,2020-05-13 00:00:00,333.0,34.0,6235410,17886.0,3293.0
202020,2020-05-14 00:00:00,220.0,33.0,6235410,18106.0,3326.0
202020,2020-05-15 00:00:00,212.0,30.0,6235410,18318.0,3356.0
202020,2020-05-16 00:00:00,172.0,35.0,6235410,18490.0,3391.0
202021,2020-05-17 00:00:00,153.0,33.0,6235410,18643.0,3424.0
202021,2020-05-18 00:00:00,283.0,37.0,6235410,18926.0,3461.0
202021,2020-05-19 00:00:00,256.0,21.0,6235410,19182.0,3482.0
202021,2020-05-20 00:00:00,243.0,41.0,6235410,19425.0,3523.0
202021,2020-05-21 00:00:00,245.0,24.0,6235410,19670.0,3547.0
202021,2020-05-22 00:00:00,190.0,24.0,6235410,19860.0,3571.0
202021,2020-05-23 00:00:00,152.0,25.0,6235410,20012.0,3596.0
202022,2020-05-24 00:00:00,103.0,25.0,6235410,20115.0,3621.0
