epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202011,2020-03-09 00:00:00,54.0,2.0,8982256,178.0,2.0
202011,2020-03-10 00:00:00,95.0,1.0,8982256,273.0,3.0
202011,2020-03-11 00:00:00,183.0,3.0,8982256,456.0,6.0
202011,2020-03-12 00:00:00,167.0,6.0,8982256,623.0,12.0
202011,2020-03-13 00:00:00,138.0,6.0,8982256,761.0,18.0
202011,2020-03-14 00:00:00,149.0,11.0,8982256,910.0,29.0
202012,2020-03-15 00:00:00,165.0,8.0,8982256,1075.0,37.0
202012,2020-03-16 00:00:00,237.0,15.0,8982256,1312.0,52.0
202012,2020-03-17 00:00:00,310.0,24.0,8982256,1622.0,76.0
202012,2020-03-18 00:00:00,357.0,26.0,8982256,1979.0,102.0
202012,2020-03-19 00:00:00,332.0,25.0,8982256,2311.0,127.0
202012,2020-03-20 00:00:00,424.0,46.0,8982256,2735.0,173.0
202012,2020-03-21 00:00:00,348.0,46.0,8982256,3083.0,219.0
202013,2020-03-22 00:00:00,439.0,53.0,8982256,3522.0,272.0
202013,2020-03-23 00:00:00,685.0,56.0,8982256,4207.0,328.0
202013,2020-03-24 00:00:00,636.0,87.0,8982256,4843.0,415.0
202013,2020-03-25 00:00:00,752.0,119.0,8982256,5595.0,534.0
202013,2020-03-26 00:00:00,740.0,123.0,8982256,6335.0,657.0
202013,2020-03-27 00:00:00,818.0,128.0,8982256,7153.0,785.0
202013,2020-03-28 00:00:00,577.0,119.0,8982256,7730.0,904.0
202014,2020-03-29 00:00:00,596.0,144.0,8982256,8326.0,1048.0
202014,2020-03-30 00:00:00,848.0,148.0,8982256,9174.0,1196.0
202014,2020-03-31 00:00:00,935.0,181.0,8982256,10109.0,1377.0
202014,2020-04-01 00:00:00,977.0,189.0,8982256,11086.0,1566.0
202014,2020-04-02 00:00:00,1063.0,193.0,8982256,12149.0,1759.0
202014,2020-04-03 00:00:00,985.0,192.0,8982256,13134.0,1951.0
202014,2020-04-04 00:00:00,765.0,225.0,8982256,13899.0,2176.0
202015,2020-04-05 00:00:00,636.0,196.0,8982256,14535.0,2372.0
202015,2020-04-06 00:00:00,858.0,197.0,8982256,15393.0,2569.0
202015,2020-04-07 00:00:00,946.0,221.0,8982256,16339.0,2790.0
202015,2020-04-08 00:00:00,867.0,232.0,8982256,17206.0,3022.0
202015,2020-04-09 00:00:00,791.0,200.0,8982256,17997.0,3222.0
202015,2020-04-10 00:00:00,622.0,174.0,8982256,18619.0,3396.0
202015,2020-04-11 00:00:00,518.0,164.0,8982256,19137.0,3560.0
202016,2020-04-12 00:00:00,502.0,169.0,8982256,19639.0,3729.0
202016,2020-04-13 00:00:00,601.0,170.0,8982256,20240.0,3899.0
202016,2020-04-14 00:00:00,600.0,143.0,8982256,20840.0,4042.0
202016,2020-04-15 00:00:00,657.0,147.0,8982256,21497.0,4189.0
202016,2020-04-16 00:00:00,574.0,138.0,8982256,22071.0,4327.0
202016,2020-04-17 00:00:00,577.0,110.0,8982256,22648.0,4437.0
202016,2020-04-18 00:00:00,401.0,118.0,8982256,23049.0,4555.0
202017,2020-04-19 00:00:00,398.0,116.0,8982256,23447.0,4671.0
202017,2020-04-20 00:00:00,425.0,97.0,8982256,23872.0,4768.0
202017,2020-04-21 00:00:00,463.0,105.0,8982256,24335.0,4873.0
202017,2020-04-22 00:00:00,399.0,110.0,8982256,24734.0,4983.0
202017,2020-04-23 00:00:00,520.0,80.0,8982256,25254.0,5063.0
