epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202012,2020-03-15 00:00:00,10.0,1.0,2656980,39.0,1.0
202012,2020-03-16 00:00:00,7.0,0.0,2656980,46.0,1.0
202012,2020-03-17 00:00:00,16.0,0.0,2656980,62.0,1.0
202012,2020-03-18 00:00:00,13.0,1.0,2656980,75.0,2.0
202012,2020-03-19 00:00:00,19.0,1.0,2656980,94.0,3.0
202012,2020-03-20 00:00:00,26.0,3.0,2656980,120.0,6.0
202012,2020-03-21 00:00:00,23.0,3.0,2656980,143.0,9.0
202013,2020-03-22 00:00:00,20.0,6.0,2656980,163.0,15.0
202013,2020-03-23 00:00:00,59.0,3.0,2656980,222.0,18.0
202013,2020-03-24 00:00:00,76.0,1.0,2656980,298.0,19.0
202013,2020-03-25 00:00:00,76.0,5.0,2656980,374.0,24.0
202013,2020-03-26 00:00:00,97.0,8.0,2656980,471.0,32.0
202013,2020-03-27 00:00:00,101.0,11.0,2656980,572.0,43.0
202013,2020-03-28 00:00:00,111.0,8.0,2656980,683.0,51.0
202014,2020-03-29 00:00:00,107.0,10.0,2656980,790.0,61.0
202014,2020-03-30 00:00:00,175.0,34.0,2656980,965.0,95.0
202014,2020-03-31 00:00:00,206.0,25.0,2656980,1171.0,120.0
202014,2020-04-01 00:00:00,307.0,32.0,2656980,1478.0,152.0
202014,2020-04-02 00:00:00,219.0,32.0,2656980,1697.0,184.0
202014,2020-04-03 00:00:00,259.0,43.0,2656980,1956.0,227.0
202014,2020-04-04 00:00:00,253.0,46.0,2656980,2209.0,273.0
202015,2020-04-05 00:00:00,221.0,46.0,2656980,2430.0,319.0
202015,2020-04-06 00:00:00,376.0,45.0,2656980,2806.0,364.0
202015,2020-04-07 00:00:00,350.0,42.0,2656980,3156.0,406.0
202015,2020-04-08 00:00:00,289.0,46.0,2656980,3445.0,452.0
202015,2020-04-09 00:00:00,316.0,48.0,2656980,3761.0,500.0
202015,2020-04-10 00:00:00,245.0,56.0,2656980,4006.0,556.0
202015,2020-04-11 00:00:00,265.0,50.0,2656980,4271.0,606.0
202016,2020-04-12 00:00:00,202.0,46.0,2656980,4473.0,652.0
202016,2020-04-13 00:00:00,233.0,37.0,2656980,4706.0,689.0
202016,2020-04-14 00:00:00,257.0,51.0,2656980,4963.0,740.0
202016,2020-04-15 00:00:00,286.0,31.0,2656980,5249.0,771.0
202016,2020-04-16 00:00:00,295.0,25.0,2656980,5544.0,796.0
202016,2020-04-17 00:00:00,288.0,37.0,2656980,5832.0,833.0
202016,2020-04-18 00:00:00,374.0,50.0,2656980,6206.0,883.0
202017,2020-04-19 00:00:00,276.0,45.0,2656980,6482.0,928.0
202017,2020-04-20 00:00:00,314.0,43.0,2656980,6796.0,971.0
202017,2020-04-21 00:00:00,288.0,37.0,2656980,7084.0,1008.0
202017,2020-04-22 00:00:00,358.0,38.0,2656980,7442.0,1046.0
202017,2020-04-23 00:00:00,328.0,34.0,2656980,7770.0,1080.0
202017,2020-04-24 00:00:00,331.0,29.0,2656980,8101.0,1109.0
202017,2020-04-25 00:00:00,215.0,48.0,2656980,8316.0,1157.0
202018,2020-04-26 00:00:00,159.0,34.0,2656980,8475.0,1191.0
202018,2020-04-27 00:00:00,287.0,31.0,2656980,8762.0,1222.0
202018,2020-04-28 00:00:00,360.0,40.0,2656980,9122.0,1262.0
202018,2020-04-29 00:00:00,360.0,27.0,2656980,9482.0,1289.0
202018,2020-04-30 00:00:00,383.0,33.0,2656980,9865.0,1322.0
202018,2020-05-01 00:00:00,273.0,39.0,2656980,10138.0,1361.0
202018,2020-05-02 00:00:00,183.0,40.0,2656980,10321.0,1401.0
202019,2020-05-03 00:00:00,163.0,29.0,2656980,10484.0,1430.0
202019,2020-05-04 00:00:00,233.0,28.0,2656980,10717.0,1458.0
202019,2020-05-05 00:00:00,251.0,27.0,2656980,10968.0,1485.0
202019,2020-05-06 00:00:00,243.0,25.0,2656980,11211.0,1510.0
202019,2020-05-07 00:00:00,200.0,33.0,2656980,11411.0,1543.0
202019,2020-05-08 00:00:00,158.0,27.0,2656980,11569.0,1570.0
202019,2020-05-09 00:00:00,150.0,25.0,2656980,11719.0,1595.0
202020,2020-05-10 00:00:00,150.0,18.0,2656980,11869.0,1613.0
202020,2020-05-11 00:00:00,227.0,25.0,2656980,12096.0,1638.0
202020,2020-05-12 00:00:00,219.0,18.0,2656980,12315.0,1656.0
