epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202011,2020-03-08 00:00:00,5.0,1.0,7300075,49.0,1.0
202011,2020-03-09 00:00:00,7.0,0.0,7300075,56.0,1.0
202011,2020-03-10 00:00:00,15.0,0.0,7300075,71.0,1.0
202011,2020-03-11 00:00:00,17.0,1.0,7300075,88.0,2.0
202011,2020-03-12 00:00:00,40.0,0.0,7300075,128.0,2.0
202011,2020-03-13 00:00:00,42.0,3.0,7300075,170.0,5.0
202011,2020-03-14 00:00:00,25.0,2.0,7300075,195.0,7.0
202012,2020-03-15 00:00:00,23.0,4.0,7300075,218.0,11.0
202012,2020-03-16 00:00:00,55.0,2.0,7300075,273.0,13.0
202012,2020-03-17 00:00:00,55.0,4.0,7300075,328.0,17.0
202012,2020-03-18 00:00:00,84.0,7.0,7300075,412.0,24.0
202012,2020-03-19 00:00:00,98.0,10.0,7300075,510.0,34.0
202012,2020-03-20 00:00:00,83.0,9.0,7300075,593.0,43.0
202012,2020-03-21 00:00:00,113.0,13.0,7300075,706.0,56.0
202013,2020-03-22 00:00:00,117.0,12.0,7300075,823.0,68.0
202013,2020-03-23 00:00:00,175.0,21.0,7300075,998.0,89.0
202013,2020-03-24 00:00:00,249.0,22.0,7300075,1247.0,111.0
202013,2020-03-25 00:00:00,254.0,23.0,7300075,1501.0,134.0
202013,2020-03-26 00:00:00,357.0,31.0,7300075,1858.0,165.0
202013,2020-03-27 00:00:00,332.0,41.0,7300075,2190.0,206.0
202013,2020-03-28 00:00:00,322.0,38.0,7300075,2512.0,244.0
202014,2020-03-29 00:00:00,359.0,49.0,7300075,2871.0,293.0
202014,2020-03-30 00:00:00,503.0,72.0,7300075,3374.0,365.0
202014,2020-03-31 00:00:00,556.0,62.0,7300075,3930.0,427.0
202014,2020-04-01 00:00:00,621.0,97.0,7300075,4551.0,524.0
202014,2020-04-02 00:00:00,679.0,113.0,7300075,5230.0,637.0
202014,2020-04-03 00:00:00,683.0,112.0,7300075,5913.0,749.0
202014,2020-04-04 00:00:00,606.0,101.0,7300075,6519.0,850.0
202015,2020-04-05 00:00:00,625.0,120.0,7300075,7144.0,970.0
202015,2020-04-06 00:00:00,876.0,108.0,7300075,8020.0,1078.0
202015,2020-04-07 00:00:00,791.0,160.0,7300075,8811.0,1238.0
202015,2020-04-08 00:00:00,853.0,137.0,7300075,9664.0,1375.0
202015,2020-04-09 00:00:00,805.0,132.0,7300075,10469.0,1507.0
