epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202010,2020-03-03 00:00:00,9.0,1.0,9175033,26.0,1.0
202010,2020-03-04 00:00:00,7.0,0.0,9175033,33.0,1.0
202010,2020-03-05 00:00:00,4.0,2.0,9175033,37.0,3.0
202010,2020-03-06 00:00:00,16.0,0.0,9175033,53.0,3.0
202010,2020-03-07 00:00:00,5.0,0.0,9175033,58.0,3.0
202011,2020-03-08 00:00:00,9.0,1.0,9175033,67.0,4.0
202011,2020-03-09 00:00:00,23.0,1.0,9175033,90.0,5.0
202011,2020-03-10 00:00:00,34.0,1.0,9175033,124.0,6.0
202011,2020-03-11 00:00:00,49.0,1.0,9175033,173.0,7.0
202011,2020-03-12 00:00:00,86.0,0.0,9175033,259.0,7.0
202011,2020-03-13 00:00:00,55.0,2.0,9175033,314.0,9.0
202011,2020-03-14 00:00:00,41.0,3.0,9175033,355.0,12.0
202012,2020-03-15 00:00:00,53.0,8.0,9175033,408.0,20.0
202012,2020-03-16 00:00:00,78.0,8.0,9175033,486.0,28.0
202012,2020-03-17 00:00:00,89.0,8.0,9175033,575.0,36.0
202012,2020-03-18 00:00:00,123.0,13.0,9175033,698.0,49.0
202012,2020-03-19 00:00:00,126.0,8.0,9175033,824.0,57.0
202012,2020-03-20 00:00:00,125.0,15.0,9175033,949.0,72.0
202012,2020-03-21 00:00:00,130.0,14.0,9175033,1079.0,86.0
202013,2020-03-22 00:00:00,169.0,27.0,9175033,1248.0,113.0
202013,2020-03-23 00:00:00,280.0,26.0,9175033,1528.0,139.0
202013,2020-03-24 00:00:00,235.0,30.0,9175033,1763.0,169.0
202013,2020-03-25 00:00:00,303.0,39.0,9175033,2066.0,208.0
202013,2020-03-26 00:00:00,320.0,45.0,9175033,2386.0,253.0
202013,2020-03-27 00:00:00,326.0,46.0,9175033,2712.0,299.0
202013,2020-03-28 00:00:00,337.0,42.0,9175033,3049.0,341.0
202014,2020-03-29 00:00:00,294.0,60.0,9175033,3343.0,401.0
202014,2020-03-30 00:00:00,473.0,73.0,9175033,3816.0,474.0
202014,2020-03-31 00:00:00,470.0,70.0,9175033,4286.0,544.0
202014,2020-04-01 00:00:00,539.0,83.0,9175033,4825.0,627.0
202014,2020-04-02 00:00:00,477.0,81.0,9175033,5302.0,708.0
202014,2020-04-03 00:00:00,511.0,83.0,9175033,5813.0,791.0
202014,2020-04-04 00:00:00,456.0,114.0,9175033,6269.0,905.0
202015,2020-04-05 00:00:00,422.0,103.0,9175033,6691.0,1008.0
202015,2020-04-06 00:00:00,587.0,102.0,9175033,7278.0,1110.0
202015,2020-04-07 00:00:00,702.0,118.0,9175033,7980.0,1228.0
202015,2020-04-08 00:00:00,558.0,111.0,9175033,8538.0,1339.0
202015,2020-04-09 00:00:00,522.0,128.0,9175033,9060.0,1467.0
202015,2020-04-10 00:00:00,574.0,110.0,9175033,9634.0,1577.0
202015,2020-04-11 00:00:00,381.0,110.0,9175033,10015.0,1687.0
202016,2020-04-12 00:00:00,474.0,116.0,9175033,10489.0,1803.0
202016,2020-04-13 00:00:00,578.0,102.0,9175033,11067.0,1905.0
202016,2020-04-14 00:00:00,549.0,97.0,9175033,11616.0,2002.0
202016,2020-04-15 00:00:00,711.0,88.0,9175033,12327.0,2090.0
202016,2020-04-16 00:00:00,656.0,89.0,9175033,12983.0,2179.0
202016,2020-04-17 00:00:00,699.0,108.0,9175033,13682.0,2287.0
202016,2020-04-18 00:00:00,519.0,78.0,9175033,14201.0,2365.0
202017,2020-04-19 00:00:00,414.0,110.0,9175033,14615.0,2475.0
202017,2020-04-20 00:00:00,485.0,115.0,9175033,15100.0,2590.0
202017,2020-04-21 00:00:00,631.0,90.0,9175033,15731.0,2680.0
202017,2020-04-22 00:00:00,694.0,84.0,9175033,16425.0,2764.0
202017,2020-04-23 00:00:00,680.0,88.0,9175033,17105.0,2852.0
202017,2020-04-24 00:00:00,657.0,93.0,9175033,17762.0,2945.0
202017,2020-04-25 00:00:00,516.0,91.0,9175033,18278.0,3036.0
202018,2020-04-26 00:00:00,498.0,77.0,9175033,18776.0,3113.0
202018,2020-04-27 00:00:00,554.0,61.0,9175033,19330.0,3174.0
202018,2020-04-28 00:00:00,660.0,68.0,9175033,19990.0,3242.0
202018,2020-04-29 00:00:00,693.0,69.0,9175033,20683.0,3311.0
202018,2020-04-30 00:00:00,647.0,56.0,9175033,21330.0,3367.0
202018,2020-05-01 00:00:00,524.0,75.0,9175033,21854.0,3442.0
202018,2020-05-02 00:00:00,421.0,56.0,9175033,22275.0,3498.0
202019,2020-05-03 00:00:00,365.0,32.0,9175033,22640.0,3530.0
202019,2020-05-04 00:00:00,490.0,60.0,9175033,23130.0,3590.0
202019,2020-05-05 00:00:00,474.0,51.0,9175033,23604.0,3641.0
202019,2020-05-06 00:00:00,447.0,42.0,9175033,24051.0,3683.0
202019,2020-05-07 00:00:00,419.0,47.0,9175033,24470.0,3730.0
202019,2020-05-08 00:00:00,352.0,43.0,9175033,24822.0,3773.0
202019,2020-05-09 00:00:00,248.0,55.0,9175033,25070.0,3828.0
202020,2020-05-10 00:00:00,311.0,32.0,9175033,25381.0,3860.0
202020,2020-05-11 00:00:00,481.0,39.0,9175033,25862.0,3899.0
202020,2020-05-12 00:00:00,415.0,44.0,9175033,26277.0,3943.0
202020,2020-05-13 00:00:00,490.0,38.0,9175033,26767.0,3981.0
202020,2020-05-14 00:00:00,294.0,49.0,9175033,27061.0,4030.0
202020,2020-05-15 00:00:00,263.0,38.0,9175033,27324.0,4068.0
202020,2020-05-16 00:00:00,192.0,33.0,9175033,27516.0,4101.0
202021,2020-05-17 00:00:00,222.0,30.0,9175033,27738.0,4131.0
202021,2020-05-18 00:00:00,359.0,32.0,9175033,28097.0,4163.0
202021,2020-05-19 00:00:00,385.0,29.0,9175033,28482.0,4192.0
202021,2020-05-20 00:00:00,341.0,40.0,9175033,28823.0,4232.0
202021,2020-05-21 00:00:00,306.0,18.0,9175033,29129.0,4250.0
202021,2020-05-22 00:00:00,247.0,38.0,9175033,29376.0,4288.0
202021,2020-05-23 00:00:00,122.0,32.0,9175033,29498.0,4320.0
202022,2020-05-24 00:00:00,150.0,26.0,9175033,29648.0,4346.0
202022,2020-05-25 00:00:00,187.0,16.0,9175033,29835.0,4362.0
202022,2020-05-26 00:00:00,181.0,29.0,9175033,30016.0,4391.0
202022,2020-05-27 00:00:00,203.0,25.0,9175033,30219.0,4416.0
202022,2020-05-28 00:00:00,200.0,22.0,9175033,30419.0,4438.0
202022,2020-05-29 00:00:00,164.0,24.0,9175033,30583.0,4462.0
202022,2020-05-30 00:00:00,133.0,23.0,9175033,30716.0,4485.0
202023,2020-05-31 00:00:00,137.0,19.0,9175033,30853.0,4504.0
202023,2020-06-01 00:00:00,185.0,19.0,9175033,31038.0,4523.0
202023,2020-06-02 00:00:00,221.0,26.0,9175033,31259.0,4549.0
202023,2020-06-03 00:00:00,138.0,21.0,9175033,31397.0,4570.0
202023,2020-06-04 00:00:00,157.0,19.0,9175033,31554.0,4589.0
202023,2020-06-05 00:00:00,141.0,16.0,9175033,31695.0,4605.0
202023,2020-06-06 00:00:00,85.0,11.0,9175033,31780.0,4616.0
202024,2020-06-07 00:00:00,62.0,15.0,9175033,31842.0,4631.0
202024,2020-06-08 00:00:00,122.0,12.0,9175033,31964.0,4643.0
202024,2020-06-09 00:00:00,114.0,17.0,9175033,32078.0,4660.0
202024,2020-06-10 00:00:00,124.0,15.0,9175033,32202.0,4675.0
202024,2020-06-11 00:00:00,94.0,9.0,9175033,32296.0,4684.0
202024,2020-06-12 00:00:00,83.0,8.0,9175033,32379.0,4692.0
