epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202011,2020-03-11 00:00:00,14.0,1.0,5616381,80.0,1.0
202011,2020-03-12 00:00:00,18.0,0.0,5616381,98.0,1.0
202011,2020-03-13 00:00:00,29.0,0.0,5616381,127.0,1.0
202011,2020-03-14 00:00:00,10.0,1.0,5616381,137.0,2.0
202012,2020-03-15 00:00:00,17.0,1.0,5616381,154.0,3.0
202012,2020-03-16 00:00:00,18.0,0.0,5616381,172.0,3.0
202012,2020-03-17 00:00:00,21.0,2.0,5616381,193.0,5.0
202012,2020-03-18 00:00:00,43.0,3.0,5616381,236.0,8.0
202012,2020-03-19 00:00:00,21.0,4.0,5616381,257.0,12.0
202012,2020-03-20 00:00:00,43.0,2.0,5616381,300.0,14.0
202012,2020-03-21 00:00:00,42.0,8.0,5616381,342.0,22.0
202013,2020-03-22 00:00:00,44.0,6.0,5616381,386.0,28.0
202013,2020-03-23 00:00:00,63.0,9.0,5616381,449.0,37.0
202013,2020-03-24 00:00:00,68.0,6.0,5616381,517.0,43.0
202013,2020-03-25 00:00:00,104.0,10.0,5616381,621.0,53.0
202013,2020-03-26 00:00:00,118.0,11.0,5616381,739.0,64.0
202013,2020-03-27 00:00:00,128.0,13.0,5616381,867.0,77.0
202013,2020-03-28 00:00:00,102.0,21.0,5616381,969.0,98.0
202014,2020-03-29 00:00:00,101.0,23.0,5616381,1070.0,121.0
202014,2020-03-30 00:00:00,163.0,26.0,5616381,1233.0,147.0
202014,2020-03-31 00:00:00,140.0,25.0,5616381,1373.0,172.0
202014,2020-04-01 00:00:00,183.0,24.0,5616381,1556.0,196.0
202014,2020-04-02 00:00:00,183.0,29.0,5616381,1739.0,225.0
202014,2020-04-03 00:00:00,191.0,32.0,5616381,1930.0,257.0
202014,2020-04-04 00:00:00,174.0,41.0,5616381,2104.0,298.0
202015,2020-04-05 00:00:00,153.0,38.0,5616381,2257.0,336.0
202015,2020-04-06 00:00:00,186.0,41.0,5616381,2443.0,377.0
202015,2020-04-07 00:00:00,213.0,44.0,5616381,2656.0,421.0
202015,2020-04-08 00:00:00,237.0,51.0,5616381,2893.0,472.0
202015,2020-04-09 00:00:00,246.0,31.0,5616381,3139.0,503.0
202015,2020-04-10 00:00:00,234.0,63.0,5616381,3373.0,566.0
202015,2020-04-11 00:00:00,173.0,43.0,5616381,3546.0,609.0
202016,2020-04-12 00:00:00,179.0,37.0,5616381,3725.0,646.0
202016,2020-04-13 00:00:00,193.0,45.0,5616381,3918.0,691.0
202016,2020-04-14 00:00:00,185.0,34.0,5616381,4103.0,725.0
202016,2020-04-15 00:00:00,212.0,41.0,5616381,4315.0,766.0
202016,2020-04-16 00:00:00,262.0,39.0,5616381,4577.0,805.0
202016,2020-04-17 00:00:00,240.0,48.0,5616381,4817.0,853.0
202016,2020-04-18 00:00:00,170.0,40.0,5616381,4987.0,893.0
202017,2020-04-19 00:00:00,198.0,48.0,5616381,5185.0,941.0
202017,2020-04-20 00:00:00,181.0,40.0,5616381,5366.0,981.0
202017,2020-04-21 00:00:00,225.0,43.0,5616381,5591.0,1024.0
202017,2020-04-22 00:00:00,287.0,30.0,5616381,5878.0,1054.0
202017,2020-04-23 00:00:00,282.0,34.0,5616381,6160.0,1088.0
202017,2020-04-24 00:00:00,250.0,37.0,5616381,6410.0,1125.0
202017,2020-04-25 00:00:00,200.0,26.0,5616381,6610.0,1151.0
202018,2020-04-26 00:00:00,251.0,36.0,5616381,6861.0,1187.0
202018,2020-04-27 00:00:00,321.0,32.0,5616381,7182.0,1219.0
202018,2020-04-28 00:00:00,274.0,29.0,5616381,7456.0,1248.0
202018,2020-04-29 00:00:00,347.0,32.0,5616381,7803.0,1280.0
202018,2020-04-30 00:00:00,246.0,37.0,5616381,8049.0,1317.0
202018,2020-05-01 00:00:00,269.0,12.0,5616381,8318.0,1329.0
202018,2020-05-02 00:00:00,208.0,23.0,5616381,8526.0,1352.0
