epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202011,2020-03-08 00:00:00,4.0,1.0,5907872,30.0,1.0
202011,2020-03-09 00:00:00,8.0,1.0,5907872,38.0,2.0
202011,2020-03-10 00:00:00,17.0,1.0,5907872,55.0,3.0
202011,2020-03-11 00:00:00,29.0,1.0,5907872,84.0,4.0
202011,2020-03-12 00:00:00,46.0,4.0,5907872,130.0,8.0
202011,2020-03-13 00:00:00,39.0,3.0,5907872,169.0,11.0
202011,2020-03-14 00:00:00,31.0,2.0,5907872,200.0,13.0
202012,2020-03-15 00:00:00,44.0,4.0,5907872,244.0,17.0
202012,2020-03-16 00:00:00,56.0,9.0,5907872,300.0,26.0
202012,2020-03-17 00:00:00,68.0,9.0,5907872,368.0,35.0
202012,2020-03-18 00:00:00,98.0,9.0,5907872,466.0,44.0
202012,2020-03-19 00:00:00,123.0,10.0,5907872,589.0,54.0
202012,2020-03-20 00:00:00,152.0,19.0,5907872,741.0,73.0
202012,2020-03-21 00:00:00,124.0,15.0,5907872,865.0,88.0
202013,2020-03-22 00:00:00,109.0,20.0,5907872,974.0,108.0
202013,2020-03-23 00:00:00,239.0,27.0,5907872,1213.0,135.0
202013,2020-03-24 00:00:00,251.0,25.0,5907872,1464.0,160.0
202013,2020-03-25 00:00:00,240.0,39.0,5907872,1704.0,199.0
202013,2020-03-26 00:00:00,312.0,51.0,5907872,2016.0,250.0
202013,2020-03-27 00:00:00,278.0,54.0,5907872,2294.0,304.0
202013,2020-03-28 00:00:00,323.0,71.0,5907872,2617.0,375.0
202014,2020-03-29 00:00:00,364.0,70.0,5907872,2981.0,445.0
202014,2020-03-30 00:00:00,429.0,75.0,5907872,3410.0,520.0
202014,2020-03-31 00:00:00,413.0,93.0,5907872,3823.0,613.0
202014,2020-04-01 00:00:00,411.0,108.0,5907872,4234.0,721.0
202014,2020-04-02 00:00:00,449.0,119.0,5907872,4683.0,840.0
202014,2020-04-03 00:00:00,372.0,86.0,5907872,5055.0,926.0
202014,2020-04-04 00:00:00,347.0,107.0,5907872,5402.0,1033.0
202015,2020-04-05 00:00:00,290.0,117.0,5907872,5692.0,1150.0
202015,2020-04-06 00:00:00,361.0,100.0,5907872,6053.0,1250.0
202015,2020-04-07 00:00:00,401.0,99.0,5907872,6454.0,1349.0
202015,2020-04-08 00:00:00,375.0,135.0,5907872,6829.0,1484.0
202015,2020-04-09 00:00:00,351.0,98.0,5907872,7180.0,1582.0
202015,2020-04-10 00:00:00,361.0,104.0,5907872,7541.0,1686.0
202015,2020-04-11 00:00:00,254.0,110.0,5907872,7795.0,1796.0
202016,2020-04-12 00:00:00,245.0,107.0,5907872,8040.0,1903.0
202016,2020-04-13 00:00:00,290.0,96.0,5907872,8330.0,1999.0
202016,2020-04-14 00:00:00,330.0,82.0,5907872,8660.0,2081.0
202016,2020-04-15 00:00:00,394.0,108.0,5907872,9054.0,2189.0
202016,2020-04-16 00:00:00,514.0,89.0,5907872,9568.0,2278.0
202016,2020-04-17 00:00:00,451.0,98.0,5907872,10019.0,2376.0
202016,2020-04-18 00:00:00,552.0,97.0,5907872,10571.0,2473.0
202017,2020-04-19 00:00:00,344.0,79.0,5907872,10915.0,2552.0
202017,2020-04-20 00:00:00,408.0,76.0,5907872,11323.0,2628.0
202017,2020-04-21 00:00:00,496.0,79.0,5907872,11819.0,2707.0
202017,2020-04-22 00:00:00,579.0,68.0,5907872,12398.0,2775.0
202017,2020-04-23 00:00:00,551.0,85.0,5907872,12949.0,2860.0
202017,2020-04-24 00:00:00,484.0,67.0,5907872,13433.0,2927.0
202017,2020-04-25 00:00:00,386.0,74.0,5907872,13819.0,3001.0
202018,2020-04-26 00:00:00,315.0,79.0,5907872,14134.0,3080.0
202018,2020-04-27 00:00:00,420.0,68.0,5907872,14554.0,3148.0
202018,2020-04-28 00:00:00,378.0,50.0,5907872,14932.0,3198.0
202018,2020-04-29 00:00:00,447.0,57.0,5907872,15379.0,3255.0
202018,2020-04-30 00:00:00,455.0,56.0,5907872,15834.0,3311.0
202018,2020-05-01 00:00:00,470.0,66.0,5907872,16304.0,3377.0
202018,2020-05-02 00:00:00,323.0,48.0,5907872,16627.0,3425.0
202019,2020-05-03 00:00:00,298.0,46.0,5907872,16925.0,3471.0
202019,2020-05-04 00:00:00,243.0,47.0,5907872,17168.0,3518.0
202019,2020-05-05 00:00:00,323.0,47.0,5907872,17491.0,3565.0
202019,2020-05-06 00:00:00,317.0,46.0,5907872,17808.0,3611.0
202019,2020-05-07 00:00:00,369.0,43.0,5907872,18177.0,3654.0
202019,2020-05-08 00:00:00,341.0,35.0,5907872,18518.0,3689.0
202019,2020-05-09 00:00:00,165.0,37.0,5907872,18683.0,3726.0
202020,2020-05-10 00:00:00,219.0,34.0,5907872,18902.0,3760.0
202020,2020-05-11 00:00:00,253.0,25.0,5907872,19155.0,3785.0
202020,2020-05-12 00:00:00,314.0,31.0,5907872,19469.0,3816.0
202020,2020-05-13 00:00:00,244.0,37.0,5907872,19713.0,3853.0
202020,2020-05-14 00:00:00,260.0,31.0,5907872,19973.0,3884.0
202020,2020-05-15 00:00:00,269.0,32.0,5907872,20242.0,3916.0
202020,2020-05-16 00:00:00,181.0,40.0,5907872,20423.0,3956.0
202021,2020-05-17 00:00:00,176.0,31.0,5907872,20599.0,3987.0
202021,2020-05-18 00:00:00,221.0,33.0,5907872,20820.0,4020.0
202021,2020-05-19 00:00:00,293.0,27.0,5907872,21113.0,4047.0
202021,2020-05-20 00:00:00,259.0,25.0,5907872,21372.0,4072.0
202021,2020-05-21 00:00:00,228.0,25.0,5907872,21600.0,4097.0
202021,2020-05-22 00:00:00,197.0,24.0,5907872,21797.0,4121.0
202021,2020-05-23 00:00:00,150.0,20.0,5907872,21947.0,4141.0
202022,2020-05-24 00:00:00,137.0,15.0,5907872,22084.0,4156.0
202022,2020-05-25 00:00:00,141.0,20.0,5907872,22225.0,4176.0
202022,2020-05-26 00:00:00,151.0,25.0,5907872,22376.0,4201.0
202022,2020-05-27 00:00:00,194.0,20.0,5907872,22570.0,4221.0
202022,2020-05-28 00:00:00,155.0,16.0,5907872,22725.0,4237.0
202022,2020-05-29 00:00:00,156.0,16.0,5907872,22881.0,4253.0
202022,2020-05-30 00:00:00,114.0,9.0,5907872,22995.0,4262.0
202023,2020-05-31 00:00:00,78.0,13.0,5907872,23073.0,4275.0
202023,2020-06-01 00:00:00,123.0,6.0,5907872,23196.0,4281.0
202023,2020-06-02 00:00:00,126.0,19.0,5907872,23322.0,4300.0
202023,2020-06-03 00:00:00,127.0,11.0,5907872,23449.0,4311.0
202023,2020-06-04 00:00:00,136.0,8.0,5907872,23585.0,4319.0
202023,2020-06-05 00:00:00,101.0,16.0,5907872,23686.0,4335.0
202023,2020-06-06 00:00:00,78.0,8.0,5907872,23764.0,4343.0
202024,2020-06-07 00:00:00,65.0,10.0,5907872,23829.0,4353.0
202024,2020-06-08 00:00:00,118.0,13.0,5907872,23947.0,4366.0
202024,2020-06-09 00:00:00,102.0,9.0,5907872,24049.0,4375.0
202024,2020-06-10 00:00:00,92.0,6.0,5907872,24141.0,4381.0
202024,2020-06-11 00:00:00,92.0,2.0,5907872,24233.0,4383.0
202024,2020-06-12 00:00:00,79.0,7.0,5907872,24312.0,4390.0
202024,2020-06-13 00:00:00,85.0,4.0,5907872,24397.0,4394.0
202025,2020-06-14 00:00:00,76.0,11.0,5907872,24473.0,4405.0
202025,2020-06-15 00:00:00,103.0,9.0,5907872,24576.0,4414.0
202025,2020-06-16 00:00:00,106.0,10.0,5907872,24682.0,4424.0
