epi_week,date,new_confirmed,new_deceased,population,cumulative_confirmed,cumulative_deceased
202011,2020-03-12 00:00:00,14.0,1.0,5486230,77.0,1.0
202011,2020-03-13 00:00:00,12.0,0.0,5486230,89.0,1.0
202011,2020-03-14 00:00:00,12.0,0.0,5486230,101.0,1.0
202012,2020-03-15 00:00:00,9.0,2.0,5486230,110.0,3.0
202012,2020-03-16 00:00:00,27.0,2.0,5486230,137.0,5.0
202012,2020-03-17 00:00:00,29.0,2.0,5486230,166.0,7.0
202012,2020-03-18 00:00:00,46.0,2.0,5486230,212.0,9.0
202012,2020-03-19 00:00:00,54.0,1.0,5486230,266.0,10.0
202012,2020-03-20 00:00:00,60.0,2.0,5486230,326.0,12.0
202012,2020-03-21 00:00:00,77.0,2.0,5486230,403.0,14.0
202013,2020-03-22 00:00:00,92.0,2.0,5486230,495.0,16.0
202013,2020-03-23 00:00:00,137.0,6.0,5486230,632.0,22.0
202013,2020-03-24 00:00:00,151.0,7.0,5486230,783.0,29.0
202013,2020-03-25 00:00:00,146.0,9.0,5486230,929.0,38.0
202013,2020-03-26 00:00:00,177.0,15.0,5486230,1106.0,53.0
202013,2020-03-27 00:00:00,154.0,19.0,5486230,1260.0,72.0
202013,2020-03-28 00:00:00,205.0,23.0,5486230,1465.0,95.0
202014,2020-03-29 00:00:00,229.0,27.0,5486230,1694.0,122.0
202014,2020-03-30 00:00:00,282.0,30.0,5486230,1976.0,152.0
202014,2020-03-31 00:00:00,317.0,36.0,5486230,2293.0,188.0
202014,2020-04-01 00:00:00,316.0,42.0,5486230,2609.0,230.0
202014,2020-04-02 00:00:00,240.0,41.0,5486230,2849.0,271.0
202014,2020-04-03 00:00:00,273.0,52.0,5486230,3122.0,323.0
202014,2020-04-04 00:00:00,201.0,71.0,5486230,3323.0,394.0
202015,2020-04-05 00:00:00,218.0,52.0,5486230,3541.0,446.0
202015,2020-04-06 00:00:00,323.0,57.0,5486230,3864.0,503.0
202015,2020-04-07 00:00:00,341.0,59.0,5486230,4205.0,562.0
202015,2020-04-08 00:00:00,318.0,76.0,5486230,4523.0,638.0
202015,2020-04-09 00:00:00,305.0,70.0,5486230,4828.0,708.0
202015,2020-04-10 00:00:00,297.0,72.0,5486230,5125.0,780.0
202015,2020-04-11 00:00:00,259.0,58.0,5486230,5384.0,838.0
202016,2020-04-12 00:00:00,269.0,62.0,5486230,5653.0,900.0
202016,2020-04-13 00:00:00,326.0,63.0,5486230,5979.0,963.0
202016,2020-04-14 00:00:00,316.0,63.0,5486230,6295.0,1026.0
202016,2020-04-15 00:00:00,470.0,81.0,5486230,6765.0,1107.0
202016,2020-04-16 00:00:00,369.0,83.0,5486230,7134.0,1190.0
202016,2020-04-17 00:00:00,351.0,71.0,5486230,7485.0,1261.0
202016,2020-04-18 00:00:00,359.0,63.0,5486230,7844.0,1324.0
202017,2020-04-19 00:00:00,420.0,65.0,5486230,8264.0,1389.0
202017,2020-04-20 00:00:00,398.0,72.0,5486230,8662.0,1461.0
202017,2020-04-21 00:00:00,342.0,65.0,5486230,9004.0,1526.0
202017,2020-04-22 00:00:00,557.0,68.0,5486230,9561.0,1594.0
202017,2020-04-23 00:00:00,449.0,53.0,5486230,10010.0,1647.0
202017,2020-04-24 00:00:00,590.0,71.0,5486230,10600.0,1718.0
202017,2020-04-25 00:00:00,410.0,62.0,5486230,11010.0,1780.0
202018,2020-04-26 00:00:00,420.0,63.0,5486230,11430.0,1843.0
202018,2020-04-27 00:00:00,506.0,67.0,5486230,11936.0,1910.0
202018,2020-04-28 00:00:00,474.0,58.0,5486230,12410.0,1968.0
202018,2020-04-29 00:00:00,682.0,72.0,5486230,13092.0,2040.0
202018,2020-04-30 00:00:00,577.0,58.0,5486230,13669.0,2098.0
202018,2020-05-01 00:00:00,616.0,56.0,5486230,14285.0,2154.0
202018,2020-05-02 00:00:00,380.0,56.0,5486230,14665.0,2210.0
