step,valid_MAE,epoch,valid_loss,train_MAE,train_loss
13,0.013513335026800632,0,0.00018261343939229846,,
13,,0,,0.016992667689919472,
27,0.004956795368343592,1,2.4573788323323242e-05,,
27,,1,,0.007308341562747955,
41,0.0014350924175232649,2,2.06230242838501e-06,,
41,,2,,0.0032871237490326166,
49,,3,,,5.242894076218363e-06
55,0.002085431944578886,3,4.3521008592506405e-06,,
55,,3,,0.0017904099076986313,
69,0.0002384460240136832,4,6.233243254882836e-08,,
69,,4,,0.0011119017144665122,
83,0.0007745472248643637,5,6.126772973402694e-07,,
83,,5,,0.0007215010118670762,
97,0.00043086340883746743,6,2.1259351967728435e-07,,
97,,6,,0.0005655659479089081,
99,,7,,,4.0793833022689796e-07
111,0.0007346374331973493,7,5.871397092960251e-07,,
111,,7,,0.0004872041172347963,
