valid_MAE,step,epoch,valid_loss,train_MAE,train_loss
0.024701224640011787,13,0,0.0006101616891101003,,
,13,0,,0.08683063089847565,
0.014943146146833897,27,1,0.00022330139472614974,,
,27,1,,0.014794282615184784,
0.004824744071811438,41,2,2.3281274479813874e-05,,
,41,2,,0.00938660278916359,
,49,3,,,3.243436003685929e-05
0.004492833279073238,55,3,2.0189130736980587e-05,,
,55,3,,0.003510868875309825,
0.0008339413907378912,69,4,6.994611112531857e-07,,
,69,4,,0.002368259709328413,
0.00012393007637001574,83,5,2.000962950887697e-08,,
,83,5,,0.0011416020570322871,
6.513637345051393e-05,97,6,5.5954396671609175e-09,,
,97,6,,0.0007414362044073641,
,99,7,,,8.713508350410848e-07
0.00017890465096570551,111,7,3.849517682397163e-08,,
,111,7,,0.0006659231730736792,
0.000364561885362491,125,8,1.4061139097520936e-07,,
,125,8,,0.0006092455587349832,
0.0005472670891322196,139,9,3.089593576532934e-07,,
,139,9,,0.0005814072210341692,
