epoch,valid_MAE,step,valid_loss,train_MAE,train_loss
0,0.024701224640011787,13,0.0006101616891101003,,
0,,13,,0.08683063089847565,
1,0.014943146146833897,27,0.00022330139472614974,,
1,,27,,0.014794282615184784,
2,0.004824744071811438,41,2.3281274479813874e-05,,
2,,41,,0.00938660278916359,
3,,49,,,3.243436003685929e-05
3,0.004492833279073238,55,2.0189130736980587e-05,,
3,,55,,0.003510868875309825,
4,0.0008339413907378912,69,6.994611112531857e-07,,
4,,69,,0.002368259709328413,
5,0.00012393007637001574,83,2.000962950887697e-08,,
5,,83,,0.0011416020570322871,
6,6.513637345051393e-05,97,5.5954396671609175e-09,,
6,,97,,0.0007414362044073641,
7,,99,,,8.713508350410848e-07
7,0.00017890465096570551,111,3.849517682397163e-08,,
7,,111,,0.0006659231730736792,
8,0.000364561885362491,125,1.4061139097520936e-07,,
8,,125,,0.0006092455587349832,
9,0.0005472670891322196,139,3.089593576532934e-07,,
9,,139,,0.0005814072210341692,
