epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.060512952506542206,0.003664441639557481
0,26,0.07255130261182785,,,
1,49,,0.000891935545951128,,
1,53,,,0.04853183403611183,0.002740700263530016
1,53,0.03960975259542465,,,
2,80,,,0.05150279402732849,0.0028593072202056646
2,80,0.03105880320072174,,,
3,99,,0.0013690140331164002,,
3,107,,,0.038682371377944946,0.001656293636187911
3,107,0.028112858533859253,,,
4,134,,,0.040575187653303146,0.001774150994606316
4,134,0.02505221962928772,,,
5,149,,0.000806820229627192,,
5,161,,,0.03770637512207031,0.001518114935606718
5,161,0.02143406681716442,,,
6,188,,,0.032261550426483154,0.0010867116507142782
6,188,0.0185516569763422,,,
7,199,,0.00018226323300041258,,
7,215,,,0.011003362946212292,0.0001254473318113014
7,215,0.01182042621076107,,,
8,242,,,0.004258432891219854,2.1645553715643473e-05
8,242,0.009747899137437344,,,
9,249,,0.00010791386011987925,,
9,269,,,0.0013430421240627766,2.6254570002492983e-06
9,269,0.007810668554157019,,,
10,296,,,0.004746892023831606,2.445006430207286e-05
10,296,0.006723569240421057,,,
11,299,,0.00013921358913648874,,
11,323,,,0.008164889179170132,6.899469008203596e-05
11,323,0.007090124301612377,,,
12,349,,4.675644595408812e-05,,
12,350,,,0.003380563110113144,1.3362973732000683e-05
12,350,0.005188134498894215,,,
13,377,,,0.002569228410720825,8.200755473808385e-06
13,377,0.005459960550069809,,,
14,399,,3.409903001738712e-05,,
14,404,,,0.0015358912060037255,3.248139591960353e-06
14,404,0.005849975161254406,,,
15,431,,,0.0024046627804636955,7.1163112806971185e-06
15,431,0.003916306421160698,,,
16,449,,8.458033335045911e-06,,
16,458,,,0.0010300218127667904,1.8527730389905628e-06
16,458,0.0038851655554026365,,,
17,485,,,0.001293838256970048,2.664860630829935e-06
17,485,0.0035443580709397793,,,
18,499,,5.996636173222214e-05,,
18,512,,,0.0016076237661764026,4.451916538528167e-06
18,512,0.005772528704255819,,,
19,539,,,0.0041223810985684395,1.9090834030066617e-05
19,539,0.005852279718965292,,,
20,549,,3.60188314516563e-05,,
20,566,,,0.0017000562511384487,4.2070164454344194e-06
20,566,0.004709251224994659,,,
21,593,,,0.005614025052636862,3.315864523756318e-05
21,593,0.006387964356690645,,,
22,599,,0.00012380933912936598,,
22,620,,,0.0025818152353167534,7.817033292667475e-06
22,620,0.007575332187116146,,,
23,647,,,0.0037007227074354887,1.5077576790645253e-05
23,647,0.0030822171829640865,,,
24,649,,2.442946788505651e-05,,
24,674,,,0.0013558255741372705,2.730101186898537e-06
24,674,0.0034447384532541037,,,
25,699,,1.7345784726785496e-05,,
25,701,,,0.0013188468292355537,2.577430223027477e-06
25,701,0.0030735181644558907,,,
26,728,,,0.0017883013933897018,4.2311485231039114e-06
26,728,0.002535570878535509,,,
