epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.011273350566625595,0.00012709743168670684
0,26,0.04294821247458458,,,
1,49,,2.982239948323695e-06,,
1,53,,,0.00487894844263792,2.3812697691028006e-05
1,53,0.0064460705034434795,,,
2,80,,,0.0005996041581965983,3.703227946516563e-07
2,80,0.0018082333263009787,,,
3,99,,4.1424198116146727e-07,,
3,107,,,0.0004887139075435698,2.677082591162616e-07
3,107,0.0006528940284624696,,,
4,134,,,0.0004007855604868382,2.0177741077986866e-07
4,134,0.0004569854645524174,,,
5,149,,2.9311107141438697e-07,,
5,161,,,0.0004531550221145153,2.529681069063372e-07
5,161,0.0004506753757596016,,,
6,188,,,0.0006066071800887585,4.221772655910172e-07
6,188,0.00044486200204119086,,,
7,199,,4.2587910797919903e-07,,
7,215,,,0.0005835927440784872,3.964038342019194e-07
7,215,0.0004602838889695704,,,
