date,susceptible,active_cases,recovered,cumulative_deceased
2020-05-01,56023188.0,122269.05,-0.6839851,25844.016
2020-05-02,56016550.0,133462.03,-12950.24,25898.91
2020-05-03,56022210.0,125631.68,-32049.6,25356.723
2020-05-04,56016640.0,103677.96,-4823.0967,26416.135
2020-05-05,56016264.0,93329.23,4943.948,26793.025
2020-05-06,56017180.0,91323.67,7060.7563,26967.691
2020-05-07,56017388.0,93530.28,4868.8306,27151.895
2020-05-08,56016212.0,97814.77,341.72443,27389.299
2020-05-09,56013720.0,102882.734,-4847.6323,27673.47
2020-05-10,56010310.0,107815.27,-9478.157,27988.941
2020-05-11,56006444.0,111964.945,-12761.789,28322.139
2020-05-12,56002460.0,114934.51,-14267.913,28662.879
2020-05-13,55998590.0,116540.266,-13833.446,29003.713
2020-05-14,55994970.0,116763.84,-11495.377,29339.467
2020-05-15,55991644.0,115698.4,-7415.0605,29666.633
2020-05-16,55988620.0,113502.59,-1832.4728,29982.99
2020-05-17,55985892.0,110365.31,4984.484,30287.275
2020-05-18,55983420.0,106482.195,12760.814,30578.92
2020-05-19,55981180.0,102039.17,21236.146,30857.762
2020-05-20,55979136.0,97204.0,30179.389,31123.918
2020-05-21,55977260.0,92123.984,39382.305,31377.688
2020-05-22,55975530.0,86922.21,48675.176,31619.404
2020-05-23,55973930.0,81699.79,57915.125,31849.518
2020-05-24,55972424.0,76538.56,66988.86,32068.408
2020-05-25,55971012.0,71501.5,75806.336,32276.531
2020-05-26,55969680.0,66636.52,84300.84,32474.287
2020-05-27,55968416.0,61979.37,92422.52,32662.1
2020-05-28,55967212.0,57552.617,100140.15,32840.41
2020-05-29,55966060.0,53372.562,107432.984,33009.574
2020-05-30,55964948.0,49446.816,114290.086,33170.094
2020-05-31,55963880.0,45778.25,120712.27,33322.28
2020-06-01,55962850.0,42364.51,126701.97,33466.59
2020-06-02,55961844.0,39200.887,132269.42,33603.4
2020-06-03,55960870.0,36279.01,137431.16,33733.13
2020-06-04,55959920.0,33589.723,142201.05,33856.13
