date,susceptible,cumulative_confirmed,cumulative_recovered,cumulative_deceased
2020-05-01,56022380.0,146313.2,23059.062,35749.195
2020-05-02,56012184.0,93351.81,26203.06,37955.953
2020-05-03,56003544.0,91929.33,26864.12,35557.26
2020-05-04,55998750.0,96533.09,26318.96,34968.594
2020-05-05,55995836.0,101397.73,25913.264,34947.99
2020-05-06,55994420.0,104904.15,25674.898,34949.086
2020-05-07,55994010.0,106972.78,25497.44,34889.68
2020-05-08,55994060.0,108021.31,25346.598,34794.043
2020-05-09,55994190.0,108447.92,25225.225,34682.617
2020-05-10,55994212.0,108513.18,25139.68,34563.8
2020-05-11,55994020.0,108364.17,25091.75,34440.473
2020-05-12,55993612.0,108077.72,25079.307,34313.72
2020-05-13,55993012.0,107692.59,25098.475,34184.637
2020-05-14,55992216.0,107228.86,25144.967,34054.35
2020-05-15,55991270.0,106697.46,25214.729,33924.105
2020-05-16,55990210.0,106105.43,25304.098,33795.066
2020-05-17,55989028.0,105458.94,25409.953,33668.336
2020-05-18,55987780.0,104763.45,25529.576,33544.824
2020-05-19,55986456.0,104024.73,25660.742,33425.273
2020-05-20,55985080.0,103248.47,25801.533,33310.27
2020-05-21,55983676.0,102440.65,25950.293,33200.29
2020-05-22,55982240.0,101606.97,26105.643,33095.54
2020-05-23,55980790.0,100752.914,26266.408,32996.277
2020-05-24,55979330.0,99883.87,26431.559,32902.598
2020-05-25,55977870.0,99004.586,26600.209,32814.562
2020-05-26,55976420.0,98119.625,26771.557,32732.13
2020-05-27,55974976.0,97232.836,26945.008,32655.19
2020-05-28,55973548.0,96347.945,27119.918,32583.7
2020-05-29,55972144.0,95467.914,27295.834,32517.494
2020-05-30,55970764.0,94595.555,27472.29,32456.432
2020-05-31,55969400.0,93733.2,27648.883,32400.334
2020-06-01,55968068.0,92882.87,27825.285,32349.031
2020-06-02,55966764.0,92046.17,28001.195,32302.342
2020-06-03,55965496.0,91224.39,28176.377,32260.02
2020-06-04,55964252.0,90418.72,28350.574,32221.947
2020-06-05,55963040.0,89630.05,28523.58,32187.873
2020-06-06,55961870.0,88858.945,28695.242,32157.625
2020-06-07,55960732.0,88106.0,28865.383,32131.014
2020-06-08,55959620.0,87371.49,29033.898,32107.84
2020-06-09,55958544.0,86655.64,29200.674,32087.92
2020-06-10,55957500.0,85958.516,29365.562,32071.105
2020-06-11,55956490.0,85280.17,29528.54,32057.184
2020-06-12,55955508.0,84620.46,29689.506,32046.021
2020-06-13,55954556.0,83979.27,29848.393,32037.406
2020-06-14,55953640.0,83356.35,30005.166,32031.238
2020-06-15,55952756.0,82751.4,30159.799,32027.348
2020-06-16,55951900.0,82164.13,30312.23,32025.592
2020-06-17,55951068.0,81594.234,30462.436,32025.834
2020-06-18,55950270.0,81041.24,30610.424,32027.943
2020-06-19,55949504.0,80504.96,30756.184,32031.76
2020-06-20,55948748.0,79984.87,30899.652,32037.227
2020-06-21,55948030.0,79480.6,31040.873,32044.217
2020-06-22,55947336.0,78991.63,31179.885,32052.57
2020-06-23,55946668.0,78517.664,31316.639,32062.242
2020-06-24,55946020.0,78058.28,31451.111,32073.123
2020-06-25,55945396.0,77613.01,31583.395,32085.11
2020-06-26,55944800.0,77181.51,31713.451,32098.125
2020-06-27,55944212.0,76763.23,31841.328,32112.094
2020-06-28,55943656.0,76357.89,31967.008,32126.895
2020-06-29,55943110.0,75965.08,32090.523,32142.5
2020-06-30,55942590.0,75584.44,32211.918,32158.818
2020-07-01,55942090.0,75215.484,32331.19,32175.805
2020-07-02,55941604.0,74857.875,32448.371,32193.38
2020-07-03,55941132.0,74511.29,32563.47,32211.502
2020-07-04,55940680.0,74175.36,32676.533,32230.1
2020-07-05,55940250.0,73849.72,32787.582,32249.12
2020-07-06,55939824.0,73534.055,32896.64,32268.537
2020-07-07,55939416.0,73228.086,33003.73,32288.29
2020-07-08,55939028.0,72931.39,33108.867,32308.31
2020-07-09,55938656.0,72643.8,33212.094,32328.6
2020-07-10,55938290.0,72364.88,33313.4,32349.11
2020-07-11,55937940.0,72094.45,33412.883,32369.793
2020-07-12,55937590.0,71832.14,33510.535,32390.623
2020-07-13,55937264.0,71577.81,33606.348,32411.576
2020-07-14,55936948.0,71331.03,33700.375,32432.605
2020-07-15,55936644.0,71091.7,33792.668,32453.693
2020-07-16,55936350.0,70859.52,33883.246,32474.826
2020-07-17,55936064.0,70634.33,33972.09,32495.973
2020-07-18,55935784.0,70415.71,34059.266,32517.107
2020-07-19,55935520.0,70203.66,34144.766,32538.188
2020-07-20,55935264.0,69997.805,34228.664,32559.22
2020-07-21,55935016.0,69798.01,34310.957,32580.205
2020-07-22,55934776.0,69604.15,34391.68,32601.094
2020-07-23,55934536.0,69415.92,34470.832,32621.873
2020-07-24,55934320.0,69233.2,34548.504,32642.543
2020-07-25,55934096.0,69055.81,34624.617,32663.066
2020-07-26,55933890.0,68883.6,34699.293,32683.465
2020-07-27,55933690.0,68716.266,34772.51,32703.717
2020-07-28,55933490.0,68553.836,34844.285,32723.766
2020-07-29,55933296.0,68396.06,34914.64,32743.688
2020-07-30,55933116.0,68242.805,34983.625,32763.404
2020-07-31,55932936.0,68093.914,35051.297,32782.94
2020-08-01,55932764.0,67949.305,35117.566,32802.273
2020-08-02,55932596.0,67808.74,35182.523,32821.414
2020-08-03,55932430.0,67672.24,35246.227,32840.312
2020-08-04,55932280.0,67539.555,35308.63,32859.035
2020-08-05,55932124.0,67410.62,35369.773,32877.52
2020-08-06,55931980.0,67285.27,35429.71,32895.793
2020-08-07,55931840.0,67163.48,35488.434,32913.824
2020-08-08,55931704.0,67045.07,35545.96,32931.6
2020-08-09,55931572.0,66929.93,35602.344,32949.168
2020-08-10,55931436.0,66818.05,35657.574,32966.508
2020-08-11,55931310.0,66709.23,35711.664,32983.605
2020-08-12,55931190.0,66603.414,35764.684,33000.445
2020-08-13,55931070.0,66500.52,35816.55,33017.04
2020-08-14,55930956.0,66400.46,35867.395,33033.406
2020-08-15,55930852.0,66303.19,35917.184,33049.53
2020-08-16,55930748.0,66208.516,35965.965,33065.414
2020-08-17,55930640.0,66116.41,36013.71,33081.03
2020-08-18,55930544.0,66026.85,36060.473,33096.42
2020-08-19,55930440.0,65939.7,36106.297,33111.566
2020-08-20,55930348.0,65854.94,36151.074,33126.45
2020-08-21,55930256.0,65772.43,36195.0,33141.12
2020-08-22,55930164.0,65692.164,36237.973,33155.527
2020-08-23,55930076.0,65614.02,36280.047,33169.7
2020-08-24,55929996.0,65538.0,36321.18,33183.645
2020-08-25,55929908.0,65464.062,36361.516,33197.33
2020-08-26,55929828.0,65392.016,36400.953,33210.78
2020-08-27,55929760.0,65321.94,36439.586,33223.996
2020-08-28,55929684.0,65253.72,36477.355,33236.984
2020-08-29,55929612.0,65187.285,36514.348,33249.75
2020-08-30,55929536.0,65122.64,36550.543,33262.3
2020-08-31,55929470.0,65059.67,36585.95,33274.605
