date,susceptible,exposed,active_cases,recovered,cumulative_deceased
2020-04-08,5613477.5,-5.3594775,2417.668,9.770671,472.18652
2020-04-09,5613337.5,1326.7764,2515.0762,33.19269,486.77567
2020-04-10,5613159.0,2161.304,2619.1707,-163.66658,493.53262
2020-04-11,5613157.5,2194.3105,2706.0007,-111.38827,538.4784
2020-04-12,5613067.5,2319.5623,2746.6296,-58.38606,557.89325
2020-04-13,5612934.0,2495.7468,2811.0342,-3.7804801,575.9599
2020-04-14,5612779.5,2731.6772,2925.2207,23.380665,605.36346
2020-04-15,5612610.5,2983.7288,3069.2234,30.898726,643.04285
2020-04-16,5612429.0,3221.6086,3223.865,24.71536,684.08405
2020-04-17,5612236.5,3435.7944,3380.6963,10.532624,725.6972
2020-04-18,5612035.0,3628.5247,3538.597,-5.7192783,766.93036
2020-04-19,5611827.0,3806.494,3699.6614,-19.157501,807.75
2020-04-20,5611615.0,3977.2402,3866.7747,-26.77105,848.40765
2020-04-21,5611399.5,4147.793,4042.3682,-27.673414,889.1031
2020-04-22,5611181.0,4324.18,4227.658,-22.655972,929.834
2020-04-23,5610959.5,4510.9727,4422.017,-13.438179,970.34424
2020-04-24,5610733.5,4710.294,4622.078,-0.831851,1010.1547
2020-04-25,5610499.0,4920.115,4820.6836,17.675611,1048.6666
2020-04-26,5610254.0,5132.015,5005.8193,50.98982,1085.3533
2020-04-27,5609995.5,5329.341,5160.177,116.785286,1119.9763
2020-04-28,5609724.0,5487.495,5262.611,240.69994,1152.7346
2020-04-29,5609443.0,5578.502,5292.801,449.68283,1184.1807
2020-04-30,5609160.0,5580.094,5239.0293,759.33307,1214.9025
2020-05-01,5608886.0,5486.302,5106.0664,1160.885,1245.1859
2020-05-02,5608627.5,5313.1567,4917.5063,1617.7649,1274.9377
2020-05-03,5608387.5,5095.015,4709.29,2077.231,1303.9285
2020-05-04,5608164.5,4872.635,4517.0737,2491.2617,1332.0525
2020-05-05,5607951.5,4680.1636,4365.1606,2832.8416,1359.367
2020-05-06,5607744.0,4537.1196,4262.2793,3099.2717,1385.9166
2020-05-07,5607539.5,4447.3706,4204.05,3305.243,1411.5834
2020-05-08,5607339.0,4402.978,4178.5615,3472.3455,1436.0729
2020-05-09,5607145.5,4389.7036,4171.633,3621.327,1459.0365
2020-05-10,5606959.5,4391.834,4170.256,3768.085,1480.2063
2020-05-11,5606784.0,4395.3984,4164.2505,3922.899,1499.4866
2020-05-12,5606618.5,4389.8213,4146.665,4091.1443,1516.9679
2020-05-13,5606462.0,4368.268,4113.4883,4274.6465,1532.8809
2020-05-14,5606314.0,4327.3423,4063.138,4472.819,1547.5288
2020-05-15,5606173.0,4266.3354,3995.795,4683.699,1561.2225
2020-05-16,5606036.5,4186.439,3912.8745,4904.625,1574.2324
2020-05-17,5605905.5,4090.0283,3816.5117,5132.6484,1586.7665
2020-05-18,5605779.0,3980.0605,3709.2036,5364.8413,1598.96
2020-05-19,5605656.5,3859.6445,3593.4802,5598.587,1610.8923
2020-05-20,5605538.0,3731.754,3471.787,5831.5234,1622.5919
2020-05-21,5605423.5,3599.0618,3346.2998,6061.638,1634.056
2020-05-22,5605313.5,3463.8254,3218.8782,6287.427,1645.2671
2020-05-23,5605209.0,3327.9214,3091.0974,6507.608,1656.1924
2020-05-24,5605109.0,3192.8162,2964.1853,6721.249,1666.8036
2020-05-25,5605013.5,3059.6274,2839.1096,6927.7886,1677.0769
2020-05-26,5604924.0,2929.18,2716.5989,7126.7583,1686.9878
2020-05-27,5604839.0,2802.0452,2597.1655,7317.978,1696.524
2020-05-28,5604759.0,2678.5896,2481.1582,7501.384,1705.6758
2020-05-29,5604683.5,2559.0352,2368.8008,7677.051,1714.4397
2020-05-30,5604612.5,2443.4668,2260.185,7845.1445,1722.8223
2020-05-31,5604546.0,2331.9106,2155.3706,8005.8604,1730.8219
2020-06-01,5604483.5,2224.3018,2054.3213,8159.4443,1738.4493
2020-06-02,5604425.0,2120.5535,1956.9744,8306.187,1745.7137
2020-06-03,5604370.0,2020.5503,1863.2561,8446.3955,1752.623
2020-06-04,5604319.0,1924.1516,1773.0461,8580.348,1759.1885
2020-06-05,5604270.5,1831.2125,1686.226,8708.349,1765.4215
2020-06-06,5604225.5,1741.5917,1602.6798,8830.684,1771.3309
2020-06-07,5604183.5,1655.1707,1522.3027,8947.598,1776.9265
2020-06-08,5604144.0,1571.8035,1444.9563,9059.377,1782.2196
2020-06-09,5604107.0,1491.3815,1370.5543,9166.2295,1787.2163
2020-06-10,5604072.5,1413.7904,1298.9761,9268.398,1791.9271
2020-06-11,5604039.5,1338.9415,1230.1416,9366.059,1796.3595
2020-06-12,5604009.0,1266.7498,1163.9551,9459.415,1800.5225
2020-06-13,5603980.5,1197.146,1100.3492,9548.644,1804.4225
2020-06-14,5603953.5,1130.0665,1039.2562,9633.874,1808.066
2020-06-15,5603928.5,1065.4674,980.6074,9715.281,1811.463
2020-06-16,5603905.0,1003.3049,924.3606,9792.941,1814.6173
2020-06-17,5603882.5,943.55237,870.4639,9867.015,1817.5382
2020-06-18,5603861.5,886.1803,818.877,9937.593,1820.2328
2020-06-19,5603841.5,831.1881,769.578,10004.761,1822.7087
2020-06-20,5603823.0,778.5598,722.53265,10068.638,1824.9739
2020-06-21,5603805.0,728.28687,677.7248,10129.322,1827.0355
2020-06-22,5603788.0,680.384,635.1301,10186.873,1828.903
2020-06-23,5603772.0,634.85114,594.73865,10241.373,1830.5854
2020-06-24,5603757.0,591.697,556.5273,10292.918,1832.0925
2020-06-25,5603742.0,550.9411,520.51355,10341.563,1833.4316
2020-06-26,5603728.0,512.59784,486.6831,10387.394,1834.6135
2020-06-27,5603714.0,476.66965,455.01474,10430.499,1835.6488
2020-06-28,5603701.0,443.18652,425.5259,10470.953,1836.5475
2020-06-29,5603688.0,412.14883,398.19855,10508.826,1837.3213
2020-06-30,5603675.0,383.56845,373.0283,10544.216,1837.9794
2020-07-01,5603662.5,357.46338,350.0214,10577.198,1838.5344
2020-07-02,5603650.0,333.83652,329.166,10607.8545,1838.9976
2020-07-03,5603637.5,312.6778,310.4484,10636.308,1839.3796
2020-07-04,5603625.0,293.99838,293.86484,10662.616,1839.691
2020-07-05,5603612.5,277.78455,279.39917,10686.897,1839.9451
2020-07-06,5603600.0,264.021,267.03333,10709.255,1840.152
2020-07-07,5603587.0,252.68643,256.75232,10729.756,1840.3209
2020-07-08,5603574.0,243.75171,248.5163,10748.587,1840.4648
2020-07-09,5603560.5,237.18309,242.31343,10765.784,1840.5933
2020-07-10,5603547.0,232.92633,238.09077,10781.499,1840.7142
2020-07-11,5603532.5,230.94249,235.82901,10795.849,1840.8392
2020-07-12,5603517.5,231.16112,235.45901,10808.921,1840.9747
2020-07-13,5603502.5,233.51353,236.94836,10820.879,1841.1289
2020-07-14,5603486.5,237.91971,240.23106,10831.8125,1841.3082
2020-07-15,5603470.0,244.29547,245.25352,10841.864,1841.5197
2020-07-16,5603453.0,252.52982,251.92918,10851.159,1841.7677
2020-07-17,5603435.0,262.51584,260.1839,10859.841,1842.057
2020-07-18,5603416.0,274.1467,269.95786,10867.989,1842.3906
2020-07-19,5603396.5,287.29205,281.14642,10875.782,1842.77
2020-07-20,5603376.5,301.81277,293.6649,10883.327,1843.1969
2020-07-21,5603355.0,317.58197,307.4161,10890.73,1843.6708
2020-07-22,5603333.0,334.43384,322.29288,10898.148,1844.1915
2020-07-23,5603310.0,352.21838,338.1906,10905.662,1844.7548
2020-07-24,5603286.0,370.77725,355.00305,10913.471,1845.3596
2020-07-25,5603261.0,389.93988,372.61438,10921.6,1846.0004
2020-07-26,5603235.0,409.54715,390.914,10930.215,1846.671
2020-07-27,5603208.0,429.40732,409.77798,10939.446,1847.3672
