date,susceptible,exposed,active_cases,recovered,cumulative_deceased
2020-05-01,6221338.5,5.7040467,11255.908,24.35237,2814.158
2020-05-02,6220566.5,6897.2144,11504.0,1221.9509,2802.905
2020-05-03,6222003.5,9310.359,11591.686,-2363.8323,2842.6924
2020-05-04,6221165.5,9295.368,11566.316,179.91927,2855.6702
2020-05-05,6220008.0,9924.149,11582.3955,-614.2166,2924.508
2020-05-06,6219814.5,10373.642,11802.171,-1630.0973,2971.08
2020-05-07,6220141.5,11011.086,12005.496,-1371.2654,2992.1055
2020-05-08,6220385.5,11788.311,12119.777,-278.41907,3006.8613
2020-05-09,6220320.0,12550.941,12281.902,818.0421,3025.029
2020-05-10,6219963.0,13262.286,12631.693,1443.4441,3049.957
2020-05-11,6219420.0,13938.69,13183.311,1509.0387,3082.3152
2020-05-12,6218804.5,14577.691,13839.573,1142.9033,3121.0117
2020-05-13,6218213.5,15142.784,14464.32,548.434,3163.7449
2020-05-14,6217702.5,15582.754,14941.577,-77.33408,3208.0017
2020-05-15,6217296.0,15853.287,15202.255,-582.78064,3251.735
2020-05-16,6216988.5,15928.498,15223.562,-870.16583,3293.6375
2020-05-17,6216764.0,15803.566,15016.847,-891.62646,3333.088
2020-05-18,6216600.0,15490.749,14613.39,-639.6811,3369.9543
2020-05-19,6216476.0,15013.969,14053.279,-132.45,3404.3906
2020-05-20,6216375.0,14403.432,13377.689,594.6499,3436.677
2020-05-21,6216283.5,13691.105,12624.866,1499.1549,3467.1213
2020-05-22,6216192.0,12908.196,11827.72,2535.421,3495.9966
2020-05-23,6216095.5,12083.137,11013.601,3660.0005,3523.547
2020-05-24,6215990.0,11239.843,10203.517,4834.3423,3549.9407
2020-05-25,6215875.5,10398.562,9413.785,6024.699,3575.305
2020-05-26,6215752.5,9575.677,8656.257,7202.176,3599.7349
2020-05-27,6215621.0,8783.495,7939.0376,8344.35,3623.2812
2020-05-28,6215483.5,8030.9146,7267.1724,9433.992,3645.9802
2020-05-29,6215342.0,7324.1216,6643.407,10458.521,3667.845
2020-05-30,6215198.0,6667.011,6068.7236,11409.036,3688.9023
2020-05-31,6215052.5,6061.28,5542.855,12281.145,3709.1472
2020-06-01,6214908.0,5507.4307,5064.345,13071.803,3728.5886
2020-06-02,6214765.0,5004.2925,4630.9463,13781.629,3747.2256
2020-06-03,6214624.5,4550.545,4240.4126,14412.202,3765.0657
2020-06-04,6214488.0,4143.5566,3889.7312,14966.724,3782.131
2020-06-05,6214355.5,3780.528,3575.9473,15449.589,3798.415
2020-06-06,6214227.0,3458.4895,3296.059,15865.349,3813.9402
2020-06-07,6214102.5,3174.192,3047.2334,16219.587,3828.715
2020-06-08,6213982.5,2924.3738,2826.4006,16517.611,3842.7686
2020-06-09,6213867.5,2705.829,2630.8875,16765.508,3856.122
2020-06-10,6213757.0,2515.7065,2458.1204,16967.828,3868.7832
2020-06-11,6213650.0,2350.5925,2305.6558,17130.887,3880.7947
2020-06-12,6213547.5,2208.2449,2171.4165,17258.69,3892.1777
2020-06-13,6213448.5,2085.7449,2053.2295,17356.545,3902.956
2020-06-14,6213352.5,1980.7281,1949.1593,17429.438,3913.1594
2020-06-15,6213260.5,1891.0793,1857.7012,17480.709,3922.8132
2020-06-16,6213170.5,1814.7638,1777.2285,17514.021,3931.945
2020-06-17,6213083.0,1750.0049,1706.4355,17533.125,3940.578
2020-06-18,6212998.5,1695.115,1643.898,17540.996,3948.7507
2020-06-19,6212915.0,1648.681,1588.7909,17540.172,3956.4846
2020-06-20,6212834.0,1609.434,1540.0948,17532.92,3963.7974
2020-06-21,6212754.0,1576.3037,1496.9777,17521.436,3970.7295
2020-06-22,6212676.0,1548.0381,1458.5646,17507.799,3977.2954
2020-06-23,6212598.5,1524.0575,1424.3326,17493.27,3983.5195
2020-06-24,6212522.5,1503.368,1393.7319,17479.062,3989.4197
2020-06-25,6212447.0,1485.3689,1366.0295,17466.846,3995.0303
2020-06-26,6212373.5,1469.5144,1341.0878,17456.96,4000.357
2020-06-27,6212299.5,1455.2251,1318.3378,17450.623,4005.424
