date,susceptible,active_cases,recovered,cumulative_deceased
2020-04-23,56053920.0,95235.97,-747.23,21680.387
2020-04-24,56052388.0,88814.18,-12723.971,21635.701
2020-04-25,56043930.0,106443.4,14041.643,22292.543
2020-04-26,56043720.0,104757.74,27184.816,22428.197
2020-04-27,56047230.0,109021.49,-6292.1123,22942.814
2020-04-28,56046656.0,102356.52,-30151.09,23293.76
2020-04-29,56046452.0,95657.484,-35073.336,23584.188
2020-04-30,56046300.0,96007.45,-28363.639,23935.812
2020-05-01,56043812.0,103146.805,-17497.44,24354.012
2020-05-02,56038412.0,113653.83,-6826.728,24801.414
2020-05-03,56031024.0,124203.484,1852.946,25248.432
2020-05-04,56022996.0,132695.14,8266.174,25682.512
2020-05-05,56015384.0,138218.33,12826.607,26101.43
2020-05-06,56008852.0,140666.08,16179.025,26507.193
2020-05-07,56003710.0,140356.45,18915.826,26902.078
2020-05-08,55999948.0,137809.86,21492.781,27287.822
2020-05-09,55997440.0,133565.78,24207.44,27664.998
2020-05-10,55995976.0,128130.83,27234.229,28033.664
2020-05-11,55995284.0,121937.43,30636.87,28393.43
2020-05-12,55995140.0,115332.79,34422.38,28743.73
2020-05-13,55995316.0,108589.984,38550.8,29083.912
2020-05-14,55995636.0,101909.22,42968.13,29413.484
2020-05-15,55995964.0,95433.57,47602.004,29731.855
2020-05-16,55996190.0,89265.42,52393.566,30038.848
2020-05-17,55996240.0,83465.87,57287.727,30334.174
2020-05-18,55996060.0,78073.49,62226.17,30617.838
2020-05-19,55995630.0,73097.47,67167.32,30889.75
2020-05-20,55994936.0,68541.555,72074.44,31150.074
2020-05-21,55993984.0,64394.586,76917.305,31398.967
2020-05-22,55992776.0,60636.062,81680.24,31636.71
2020-05-23,55991324.0,57246.836,86334.64,31863.51
2020-05-24,55989664.0,54195.07,90879.414,32079.805
2020-05-25,55987810.0,51458.973,95302.68,32285.812
2020-05-26,55985780.0,49010.168,99595.266,32481.994
2020-05-27,55983596.0,46822.875,103759.33,32668.75
2020-05-28,55981300.0,44868.953,107791.625,32846.48
2020-05-29,55978892.0,43125.617,111694.86,33015.555
2020-05-30,55976404.0,41568.66,115468.49,33176.426
2020-05-31,55973840.0,40178.816,119114.14,33329.426
2020-06-01,55971250.0,38934.004,122644.22,33475.03
2020-06-02,55968612.0,37817.773,126047.4,33613.527
2020-06-03,55965972.0,36812.086,129338.8,33745.336
2020-06-04,55963320.0,35904.56,132518.95,33870.855
2020-06-05,55960690.0,35075.62,135594.88,33990.42
2020-06-06,55958070.0,34320.875,138568.2,34104.29
2020-06-07,55955500.0,33622.637,141443.25,34212.836
2020-06-08,55952970.0,32974.383,144229.19,34316.34
2020-06-09,55950480.0,32364.781,146925.48,34415.125
2020-06-10,55948052.0,31787.78,149539.17,34509.348
2020-06-11,55945696.0,31234.1,152071.84,34599.453
2020-06-12,55943404.0,30697.688,154525.14,34685.47
2020-06-13,55941190.0,30175.844,156904.98,34767.77
2020-06-14,55939060.0,29659.756,159218.4,34846.48
2020-06-15,55937010.0,29146.428,161460.02,34921.875
2020-06-16,55935044.0,28632.926,163644.38,34994.08
2020-06-17,55933184.0,28114.664,165767.72,35063.3
2020-06-18,55931410.0,27590.0,167833.83,35129.656
2020-06-19,55929724.0,27054.469,169842.69,35193.36
2020-06-20,55928144.0,26508.307,171797.0,35254.508
2020-06-21,55926664.0,25949.281,173702.17,35313.184
2020-06-22,55925280.0,25374.277,175556.6,35369.637
2020-06-23,55924000.0,24784.178,177365.1,35423.84
2020-06-24,55922820.0,24176.455,179130.4,35476.008
2020-06-25,55921732.0,23553.11,180846.58,35526.137
2020-06-26,55920760.0,22909.555,182526.03,35574.41
2020-06-27,55919884.0,22251.729,184157.42,35620.816
2020-06-28,55919100.0,21575.281,185753.7,35665.57
2020-06-29,55918412.0,20881.682,187307.33,35708.492
2020-06-30,55917824.0,20170.812,188824.23,35749.953
2020-07-01,55917320.0,19446.082,190300.64,35789.766
2020-07-02,55916930.0,18704.256,191745.19,35828.164
2020-07-03,55916612.0,17949.098,193148.14,35865.082
2020-07-04,55916388.0,17179.725,194519.25,35900.598
2020-07-05,55916250.0,16399.66,195857.4,35934.777
2020-07-06,55916188.0,15606.673,197152.36,35967.62
2020-07-07,55916210.0,14806.754,198417.08,35999.203
2020-07-08,55916304.0,13998.084,199645.08,36029.527
2020-07-09,55916468.0,13182.6,200838.52,36058.69
2020-07-10,55916710.0,12361.241,202000.08,36086.61
2020-07-11,55917004.0,11538.767,203122.23,36113.355
2020-07-12,55917376.0,10714.647,204215.77,36139.023
2020-07-13,55917796.0,9887.826,205272.58,36163.574
2020-07-14,55918264.0,9067.29,206292.12,36187.055
2020-07-15,55918790.0,8249.573,207280.36,36209.402
2020-07-16,55919360.0,7436.4385,208231.86,36230.777
2020-07-17,55919972.0,6633.348,209148.81,36251.082
2020-07-18,55920616.0,5840.126,210031.2,36270.383
