date,susceptible,exposed,active_cases,recovered,cumulative_deceased
2020-05-01,8954095.0,-12.285504,22690.895,-32.613026,5506.8027
2020-05-02,8950943.0,13936.139,22516.533,1638.3779,5508.523
2020-05-03,8957262.0,17855.506,23400.936,-4881.1787,5544.736
2020-05-04,8954641.0,18558.42,22969.748,-88.820175,5554.491
2020-05-05,8953184.0,20188.898,22702.023,-738.0193,5605.81
2020-05-06,8952502.0,20357.217,22463.371,-2605.6707,5652.6675
2020-05-07,8952561.0,20724.777,22298.982,-2747.8872,5677.5405
2020-05-08,8953032.0,21812.207,22316.959,-1328.99,5691.2705
2020-05-09,8953473.0,23263.232,22658.863,455.01736,5703.9834
2020-05-10,8953626.0,24730.37,23374.713,1731.0531,5720.188
2020-05-11,8953428.0,26026.422,24350.469,2202.1267,5740.975
2020-05-12,8952950.0,27055.14,25364.123,1963.9021,5765.6294
2020-05-13,8952328.0,27752.994,26182.432,1289.0292,5792.5273
2020-05-14,8951698.0,28077.957,26633.283,482.49738,5819.873
2020-05-15,8951157.0,28012.16,26631.693,-200.26688,5846.1963
2020-05-16,8950750.0,27564.312,26170.951,-581.1811,5870.586
2020-05-17,8950486.0,26766.146,25298.9,-563.8287,5892.65
2020-05-18,8950349.0,25666.031,24092.588,-118.471924,5912.3647
2020-05-19,8950310.0,24322.27,22638.29,733.77386,5929.924
2020-05-20,8950342.0,22795.611,21019.184,1942.5503,5945.613
2020-05-21,8950415.0,21144.688,19308.053,3439.974,5959.7373
2020-05-22,8950508.0,19423.41,17566.006,5152.379,5972.5723
2020-05-23,8950607.0,17678.752,15840.429,7007.7954,5984.349
2020-05-24,8950699.0,15949.311,14168.069,8941.502,5995.2573
2020-05-25,8950778.0,14267.09,12574.704,10896.002,6005.4326
2020-05-26,8950841.0,12656.367,11077.944,12824.01,6014.9854
2020-05-27,8950885.0,11134.958,9688.847,14687.618,6023.9854
2020-05-28,8950911.0,9715.43,8413.412,16457.713,6032.5005
2020-05-29,8950920.0,8405.173,7253.1157,18112.879,6040.5693
2020-05-30,8950914.0,7208.506,6206.711,19639.74,6048.2173
2020-05-31,8950895.0,6125.716,5270.7056,21028.275,6055.47
2020-06-01,8950862.0,5155.2163,4440.2534,22276.36,6062.3545
2020-06-02,8950821.0,4293.549,3709.2034,23382.719,6068.879
2020-06-03,8950770.0,3535.3157,3070.6147,24351.766,6075.0547
2020-06-04,8950712.0,2874.8308,2517.7395,25187.97,6080.9
2020-06-05,8950647.0,2304.9243,2042.904,25899.613,6086.4224
2020-06-06,8950579.0,1819.337,1639.6505,26493.465,6091.6323
2020-06-07,8950505.0,1410.5281,1300.8252,26979.633,6096.546
2020-06-08,8950429.0,1071.4286,1019.8478,27367.771,6101.174
2020-06-09,8950349.0,795.02026,790.283,27666.697,6105.5225
2020-06-10,8950267.0,574.6899,606.61285,27886.236,6109.6143
2020-06-11,8950183.0,404.02667,462.9524,28035.742,6113.446
2020-06-12,8950097.0,277.10895,354.65485,28123.945,6117.04
2020-06-13,8950011.0,188.33574,276.79834,28159.016,6120.4033
2020-06-14,8949923.0,132.22404,225.30925,28149.275,6123.5483
2020-06-15,8949834.0,104.859886,196.57257,28100.723,6126.488
2020-06-16,8949745.0,100.962776,186.4918,28022.174,6129.235
2020-06-17,8949654.0,117.428505,192.69771,27917.738,6131.8027
2020-06-18,8949564.0,150.29248,212.20961,27793.648,6134.195
2020-06-19,8949473.0,196.87227,242.67354,27655.107,6136.433
2020-06-20,8949383.0,253.97934,281.55212,27506.117,6138.522
2020-06-21,8949292.0,319.1843,327.2786,27350.936,6140.4756
2020-06-22,8949201.0,390.69888,378.20975,27192.14,6142.2983
2020-06-23,8949111.0,466.1443,432.83237,27033.303,6144.0024
2020-06-24,8949021.0,544.44086,490.16052,26876.916,6145.6045
2020-06-25,8948931.0,623.9015,548.70386,26725.045,6147.1035
2020-06-26,8948842.0,703.3453,607.97327,26579.54,6148.5156
2020-06-27,8948754.0,782.02985,667.0363,26441.773,6149.848
2020-06-28,8948666.0,858.6731,725.3045,26313.21,6151.1055
2020-06-29,8948579.0,932.9882,782.4034,26194.346,6152.3
2020-06-30,8948493.0,1004.3172,837.62976,26086.361,6153.4272
2020-07-01,8948407.0,1072.0696,891.0983,25989.535,6154.514
2020-07-02,8948323.0,1136.2961,942.19,25904.816,6155.5522
