date,susceptible,exposed,active_cases,recovered,cumulative_deceased
2020-04-08,5481380.5,2.145234,3887.4368,-6.9128056,638.9604
2020-04-08,4069519.5,2151.2017,3452.7095,9.704498,545.6059
2020-04-09,4527972.5,2593.2021,3638.5867,188.97246,579.45905
2020-04-09,4134297.2,3383.0427,3697.5361,-753.1704,551.1992
2020-04-10,4206506.0,3301.627,3675.4763,-105.79038,580.1386
2020-04-10,4179434.2,3484.5134,3728.8118,-172.70575,607.2224
2020-04-11,4125910.5,3670.9531,3771.5847,-186.59921,632.75507
2020-04-11,4088976.5,3847.8118,3816.2217,-64.44178,656.4051
2020-04-12,4070791.0,4028.4355,3873.521,77.86706,681.1604
2020-04-12,4064809.2,4211.7754,3949.4336,155.67072,708.05505
2020-04-13,4064788.2,4386.416,4045.6155,139.04755,736.2411
2020-04-13,4066462.0,4539.4673,4160.4497,40.444023,764.21466
2020-04-14,4067592.5,4663.131,4289.8545,-97.52755,790.84424
2020-04-14,4067761.5,4758.9077,4427.7124,-213.77036,816.0128
2020-04-15,4067897.0,4839.41,4566.4336,-246.23218,840.9094
2020-04-15,4069277.2,4926.6504,4698.3228,-159.44264,867.8426
2020-04-16,4071890.5,5044.7085,4818.705,21.09275,899.1056
2020-04-16,4073223.2,5205.4404,4929.64,193.25786,934.4628
2020-04-17,4069586.8,5389.2485,5035.651,231.54169,968.4873
2020-04-17,4060858.5,5534.826,5118.3267,133.46434,993.28735
2020-04-18,4053451.8,5567.7397,5112.2607,115.85348,1009.13544
2020-04-18,4054738.8,5461.6294,4952.31,423.2118,1027.2952
2020-04-19,4063895.8,5235.5317,4649.5327,1043.4827,1055.6133
2020-04-19,4072694.0,4900.2925,4271.087,1764.1422,1091.1399
2020-04-20,4075336.5,4480.2246,3879.9229,2399.8042,1127.6417
2020-04-20,4072505.5,4040.9302,3520.047,2878.1267,1161.445
2020-04-21,4067705.8,3655.9653,3222.3552,3209.7605,1191.5134
2020-04-21,4063697.2,3369.9326,3004.3193,3439.4104,1218.1018
2020-04-22,4061582.0,3191.7773,2868.2822,3613.3655,1241.9822
2020-04-22,4061268.5,3106.855,2804.4087,3765.135,1264.1486
2020-04-23,4062116.0,3091.1868,2796.7178,3912.9167,1285.5895
2020-04-23,4063418.8,3120.9905,2828.335,4063.465,1307.1418
2020-04-24,4064637.2,3177.0686,2884.6096,4216.892,1329.3762
2020-04-24,4065453.8,3245.6274,2954.278,4370.6963,1352.5886
2020-04-25,4065751.5,3317.6345,3029.3804,4522.1196,1376.8442
2020-04-25,4065548.2,3387.6565,3104.6362,4669.323,1402.0486
2020-04-26,4064937.0,3452.6548,3176.7292,4811.6353,1428.0111
2020-04-26,4064042.8,3511.2173,3243.746,4949.1855,1454.5011
2020-04-27,4062982.8,3562.8743,3304.6125,5082.8447,1481.2777
2020-04-27,4061868.5,3607.7207,3358.854,5213.8022,1508.1239
2020-04-28,4060785.5,3646.158,3406.314,5343.3887,1534.8519
2020-04-28,4059794.8,3678.6833,3447.0308,5472.7944,1561.3016
2020-04-29,4058941.2,3705.9104,3481.1604,5603.235,1587.3583
2020-04-29,4058246.2,3728.3982,3508.9314,5735.5854,1612.9337
2020-04-30,4057721.0,3746.7043,3530.5942,5870.633,1637.968
2020-04-30,4057363.5,3761.3376,3546.4236,6008.935,1662.4321
2020-05-01,4057165.0,3772.7834,3556.7063,6150.8394,1686.3087
2020-05-01,4057109.2,3781.4707,3561.7234,6296.6025,1709.5989
2020-05-02,4057180.0,3787.7847,3561.7563,6446.284,1732.3182
2020-05-02,4057354.5,3792.1108,3557.1104,6599.837,1754.4879
2020-05-03,4057613.5,3794.7473,3548.0488,6757.175,1776.1377
2020-05-03,4057931.8,3796.0195,3534.8792,6918.0093,1797.2944
2020-05-04,4058295.2,3796.194,3517.8616,7082.157,1818.0005
2020-05-04,4058682.8,3795.5244,3497.2725,7249.2573,1838.2844
2020-05-05,4059075.0,3794.2341,3473.387,7418.9663,1858.1813
2020-05-05,4059460.2,3792.5498,3446.4756,7590.9478,1877.7269
2020-05-06,4059822.2,3790.6523,3416.791,7764.7886,1896.9479
2020-05-06,4060150.8,3788.7124,3384.5833,7940.1294,1915.8739
2020-05-07,4060437.8,3786.895,3350.094,8116.6064,1934.5311
2020-05-07,4060674.0,3785.341,3313.5671,8293.797,1952.941
2020-05-08,4060855.8,3784.1587,3275.2175,8471.393,1971.1183
2020-05-08,4060978.0,3783.4783,3235.2754,8649.012,1989.0844
2020-05-09,4061037.8,3783.3884,3193.9329,8826.351,2006.8514
2020-05-09,4061036.5,3783.9702,3151.3948,9003.096,2024.4302
2020-05-10,4060973.8,3785.287,3107.8438,9178.97,2041.8217
2020-05-10,4060851.2,3787.4143,3063.453,9353.718,2059.039
2020-05-11,4060669.2,3790.3838,3018.397,9527.037,2076.08
2020-05-11,4060434.2,3794.247,2972.8188,9698.805,2092.9478
2020-05-12,4060147.8,3799.0269,2926.8696,9868.762,2109.6392
2020-05-12,4059817.5,3804.7356,2880.6772,10036.764,2126.1523
2020-05-13,4059446.8,3811.4011,2834.3655,10202.667,2142.485
2020-05-13,4059037.5,3819.022,2788.0684,10366.29,2158.6296
2020-05-14,4058600.0,3827.5981,2741.861,10527.589,2174.583
2020-05-14,4058137.8,3837.123,2695.8523,10686.431,2190.339
2020-05-15,4057654.5,3847.5918,2650.1436,10842.7295,2205.8882
2020-05-15,4057157.8,3858.9841,2604.7917,10996.451,2221.2275
2020-05-16,4056652.2,3871.2932,2559.8796,11147.554,2236.3486
2020-05-16,4056141.5,3884.4753,2515.4717,11295.951,2251.2437
2020-05-17,4055631.8,3898.5364,2471.6177,11441.689,2265.907
2020-05-17,4055127.8,3913.4292,2428.3677,11584.751,2280.3352
2020-05-18,4054630.5,3929.1382,2385.778,11725.072,2294.5178
2020-05-18,4054146.5,3945.6375,2343.8726,11862.741,2308.4534
2020-05-19,4053678.0,3962.8875,2302.693,11997.729,2322.1338
2020-05-19,4053228.0,3980.8706,2262.2625,12130.082,2335.5571
2020-05-20,4052798.8,3999.5503,2222.6045,12259.809,2348.7197
2020-05-20,4052393.0,4018.8953,2183.7332,12386.969,2361.6199
2020-05-21,4052012.5,4038.8875,2145.6694,12511.607,2374.2537
