date,susceptible,exposed,active_cases,recovered,cumulative_deceased
2020-04-08,7290417.5,2.4567106,8289.2,-0.60266095,1374.9744
2020-04-09,7289491.0,5151.676,8433.279,92.26983,1397.6699
2020-04-10,7289722.5,7113.495,9151.909,-1038.1165,1465.3252
2020-04-11,7289508.5,7197.7534,9145.625,-209.35538,1579.1301
2020-04-12,7289274.0,7733.0376,9268.214,-382.00308,1676.7479
2020-04-13,7288687.5,8396.854,9443.873,-319.67825,1733.7012
2020-04-14,7288241.0,9190.535,9826.623,-71.73861,1815.6919
2020-04-15,7287782.0,10018.338,10319.994,95.926704,1937.9055
2020-04-16,7287187.0,10794.204,10811.127,115.460785,2085.7986
2020-04-17,7286506.0,11490.34,11267.216,26.21737,2240.816
2020-04-18,7285827.5,12113.598,11708.738,-111.352646,2389.1255
2020-04-19,7285193.5,12683.133,12172.151,-243.98575,2523.4287
2020-04-20,7284591.5,13221.848,12688.505,-333.54507,2642.4275
2020-04-21,7283975.5,13755.263,13274.681,-361.41516,2749.6128
2020-04-22,7283292.0,14311.456,13930.461,-330.13965,2851.5737
2020-04-23,7282516.5,14918.522,14637.929,-257.18033,2955.9053
2020-04-24,7281664.0,15596.216,15360.144,-160.69392,3068.552
2020-04-25,7280796.5,16338.735,16038.684,-41.722916,3191.2214
2020-04-26,7279989.5,17090.04,16593.412,129.22018,3320.0005
2020-04-27,7279288.0,17728.094,16932.857,414.11905,3446.4639
2020-04-28,7278681.5,18091.469,16982.305,890.19135,3561.4233
2020-04-29,7278115.0,18060.525,16721.262,1612.3698,3659.6487
2020-04-30,7277539.5,17635.117,16201.799,2580.226,3742.4814
2020-05-01,7276933.5,16931.977,15527.326,3737.1304,3816.3455
2020-05-02,7276301.5,16109.906,14807.176,4997.8223,3888.385
2020-05-03,7275660.0,15298.106,14121.804,6277.8975,3962.903
2020-05-04,7275023.0,14569.621,13513.366,7512.6074,4040.7415
2020-05-05,7274400.5,13949.935,12993.947,8662.64,4120.5815
2020-05-06,7273800.0,13436.205,12558.18,9711.143,4200.4707
2020-05-07,7273221.5,13013.08,12193.176,10657.249,4278.6987
2020-05-08,7272666.0,12661.934,11884.336,11509.647,4354.1157
2020-05-09,7272131.0,12365.621,11618.425,12280.793,4426.0757
2020-05-10,7271615.0,12109.579,11384.183,12984.699,4494.3657
