date,susceptible,exposed,active_cases,recovered,cumulative_deceased
2020-04-08,9166490.0,-5.872226,7194.252,5.462165,1338.6903
2020-04-09,9165954.0,4130.6475,7338.369,193.96829,1397.3387
2020-04-10,9165865.0,6317.6294,7638.773,-743.3855,1401.7301
2020-04-11,9165776.0,6246.82,7837.683,-168.9579,1512.1555
2020-04-12,9165652.0,6624.195,7924.5845,-182.7285,1582.7794
2020-04-13,9165231.0,7177.5933,8026.642,-188.27068,1631.1349
2020-04-14,9164726.0,7863.9683,8316.87,-119.81624,1697.295
2020-04-15,9164233.0,8584.673,8744.477,-39.69352,1782.4895
2020-04-16,9163748.0,9261.631,9222.911,9.886317,1877.2239
2020-04-17,9163251.0,9869.777,9704.518,23.003798,1975.4135
2020-04-18,9162733.0,10416.328,10174.326,11.19991,2074.7712
2020-04-19,9162191.0,10919.824,10633.481,-11.72893,2174.7095
2020-04-20,9161621.0,11400.653,11089.623,-36.99161,2274.9443
2020-04-21,9161025.0,11877.861,11552.283,-62.15836,2374.8328
2020-04-22,9160403.0,12368.717,12030.383,-89.29918,2473.2842
2020-04-23,9159764.0,12887.143,12529.425,-119.86605,2569.0647
2020-04-24,9159122.0,13439.227,13046.842,-146.7449,2661.3545
2020-04-25,9158499.0,14014.745,13565.063,-145.7062,2750.2366
2020-04-26,9157909.0,14577.077,14044.09,-68.54552,2836.7505
2020-04-27,9157355.0,15058.098,14418.1455,156.50137,2922.2852
2020-04-28,9156815.0,15366.655,14604.182,609.7242,3007.4756
2020-04-29,9156258.0,15417.013,14528.638,1345.7163,3091.519
2020-04-30,9155662.0,15168.437,14166.1045,2352.2312,3172.495
2020-05-01,9155036.0,14652.589,13565.908,3535.356,3248.471
2020-05-02,9154414.0,13964.777,12838.574,4756.758,3318.394
2020-05-03,9153831.0,13223.639,12107.619,5898.251,3382.2341
2020-05-04,9153306.0,12527.97,11463.712,6900.9717,3440.6548
2020-05-05,9152830.0,11935.187,10948.037,7760.1494,3494.6191
2020-05-06,9152391.0,11462.773,10561.268,8499.849,3545.106
2020-05-07,9151972.0,11101.211,10281.408,9151.479,3592.9805
2020-05-08,9151561.0,10827.794,10078.786,9743.056,3638.9146
2020-05-09,9151153.0,10616.657,9925.05,10296.043,3683.435
2020-05-10,9150746.0,10444.14,9796.859,10825.87,3726.916
2020-05-11,9150340.0,10291.293,9677.049,11342.842,3769.6226
2020-05-12,9149939.0,10144.045,9553.818,11853.533,3811.7102
2020-05-13,9149543.0,9992.818,9419.82,12361.822,3853.264
2020-05-14,9149156.0,9831.639,9270.991,12869.449,3894.2947
2020-05-15,9148780.0,9657.225,9105.66,13377.026,3934.7742
2020-05-16,9148417.0,9468.26,8923.707,13884.145,3974.646
2020-05-17,9148067.0,9264.806,8726.117,14389.883,4013.8225
2020-05-18,9147732.0,9047.772,8514.492,14892.994,4052.218
2020-05-19,9147411.0,8818.631,8290.788,15392.0625,4089.7334
2020-05-20,9147104.0,8579.152,8057.1113,15885.631,4126.282
2020-05-21,9146813.0,8331.288,7815.608,16372.402,4161.789
2020-05-22,9146537.0,8076.8857,7568.279,16851.166,4196.181
2020-05-23,9146274.0,7817.9287,7317.1636,17320.805,4229.411
2020-05-24,9146025.0,7556.1484,7064.02,17780.246,4261.4272
2020-05-25,9145790.0,7293.1733,6810.4653,18228.85,4292.2095
2020-05-26,9145567.0,7030.4795,6557.9507,18665.857,4321.7324
2020-05-27,9145356.0,6769.399,6307.7285,19090.838,4350.0
2020-05-28,9145157.0,6511.093,6060.905,19503.418,4377.02
2020-05-29,9144968.0,6256.5425,5818.402,19903.281,4402.7993
2020-05-30,9144788.0,6006.711,5581.0825,20290.285,4427.3716
2020-05-31,9144618.0,5762.2188,5349.5034,20664.465,4450.7656
2020-06-01,9144458.0,5523.7563,5124.273,21025.807,4473.0166
2020-06-02,9144305.0,5291.819,4905.8184,21374.352,4494.1646
2020-06-03,9144159.0,5066.748,4694.4014,21710.37,4514.2593
2020-06-04,9144020.0,4848.9375,4490.3496,22033.93,4533.3433
2020-06-05,9143887.0,4638.5044,4293.74,22345.443,4551.4634
2020-06-06,9143760.0,4435.7144,4104.7446,22645.088,4568.6753
2020-06-07,9143639.0,4240.617,3923.4006,22933.158,4585.0234
2020-06-08,9143523.0,4053.2625,3749.6702,23210.064,4600.56
2020-06-09,9143410.0,3873.5984,3583.492,23476.102,4615.328
2020-06-10,9143302.0,3701.6367,3424.8538,23731.572,4629.375
2020-06-11,9143197.0,3537.2378,3273.5486,23976.977,4642.7505
2020-06-12,9143096.0,3380.3574,3129.516,24212.56,4655.497
2020-06-13,9142998.0,3230.786,2992.5464,24438.719,4667.648
2020-06-14,9142902.0,3088.3853,2862.481,24655.84,4679.246
2020-06-15,9142809.0,2953.0557,2739.1665,24864.203,4690.337
2020-06-16,9142719.0,2824.5232,2622.3677,25064.24,4700.949
2020-06-17,9142630.0,2702.614,2511.8662,25256.291,4711.1157
2020-06-18,9142543.0,2587.162,2407.5112,25440.6,4720.8667
2020-06-19,9142458.0,2477.922,2309.0525,25617.547,4730.229
2020-06-20,9142375.0,2374.6863,2216.2827,25787.432,4739.233
2020-06-21,9142293.0,2277.253,2128.993,25950.588,4747.9033
2020-06-22,9142212.0,2185.3833,2046.9496,26107.248,4756.257
2020-06-23,9142133.0,2098.8887,1969.9672,26257.814,4764.3276
2020-06-24,9142054.0,2017.5485,1897.8143,26402.428,4772.124
2020-06-25,9141976.0,1941.1696,1830.332,26541.428,4779.6694
2020-06-26,9141900.0,1869.4944,1767.2645,26675.01,4786.9775
2020-06-27,9141824.0,1802.3835,1708.4497,26803.46,4794.065
2020-06-28,9141750.0,1739.5856,1653.6956,26926.94,4800.9404
2020-06-29,9141676.0,1680.9308,1602.8021,27045.707,4807.6216
2020-06-30,9141603.0,1626.2393,1555.5968,27159.979,4814.124
2020-07-01,9141531.0,1575.3145,1511.9072,27269.988,4820.453
2020-07-02,9141460.0,1527.9584,1471.545,27375.838,4826.6177
2020-07-03,9141389.0,1484.0515,1434.4025,27477.76,4832.6294
2020-07-04,9141318.0,1443.3726,1400.2324,27575.938,4838.495
2020-07-05,9141249.0,1405.7888,1368.943,27670.52,4844.2227
2020-07-06,9141180.0,1371.1727,1340.4166,27761.66,4849.8223
2020-07-07,9141112.0,1339.3098,1314.4437,27849.467,4855.2876
2020-07-08,9141045.0,1310.0966,1290.9236,27934.135,4860.6353
2020-07-09,9140978.0,1283.3865,1269.7129,28015.828,4865.871
2020-07-10,9140912.0,1259.0612,1250.7085,28094.56,4870.994
2020-07-11,9140846.0,1236.9736,1233.7639,28170.59,4876.012
2020-07-12,9140781.0,1217.0099,1218.7842,28243.95,4880.927
2020-07-13,9140717.0,1199.066,1205.6674,28314.748,4885.742
2020-07-14,9140653.0,1183.0026,1194.284,28383.12,4890.4634
2020-07-15,9140591.0,1168.7112,1184.5258,28449.197,4895.0894
2020-07-16,9140529.0,1156.0981,1176.3058,28513.02,4899.624
2020-07-17,9140467.0,1145.1212,1169.5829,28574.629,4904.073
2020-07-18,9140407.0,1135.567,1164.1738,28634.262,4908.434
2020-07-19,9140347.0,1127.4482,1160.0702,28691.916,4912.714
2020-07-20,9140287.0,1120.6681,1157.1802,28747.627,4916.9136
2020-07-21,9140229.0,1115.1123,1155.4122,28801.557,4921.0317
2020-07-22,9140171.0,1110.7137,1154.6964,28853.67,4925.0703
2020-07-23,9140113.0,1107.4022,1154.9816,28904.172,4929.035
2020-07-24,9140057.0,1105.1119,1156.17,28953.02,4932.9243
2020-07-25,9140001.0,1103.7522,1158.203,29000.297,4936.7363
2020-07-26,9139946.0,1103.2865,1161.0366,29046.135,4940.4795
2020-07-27,9139892.0,1103.6947,1164.6617,29090.494,4944.1577
2020-07-28,9139838.0,1104.8134,1168.9193,29133.46,4947.757
2020-07-29,9139785.0,1106.7048,1173.8573,29175.064,4951.292
2020-07-30,9139733.0,1109.2126,1179.3505,29215.46,4954.759
2020-07-31,9139682.0,1112.3597,1185.4012,29254.566,4958.1606
2020-08-01,9139631.0,1116.0687,1191.9559,29292.502,4961.4946
2020-08-02,9139582.0,1120.2947,1198.9529,29329.285,4964.7646
2020-08-03,9139532.0,1125.0264,1206.389,29364.963,4967.973
2020-08-04,9139483.0,1130.2323,1214.243,29399.55,4971.121
2020-08-05,9139436.0,1135.7966,1222.3916,29433.14,4974.2036
2020-08-06,9139389.0,1141.8047,1230.911,29465.686,4977.23
2020-08-07,9139343.0,1148.087,1239.6735,29497.334,4980.193
2020-08-08,9139297.0,1154.6981,1248.7101,29528.008,4983.0957
2020-08-09,9139253.0,1161.6157,1257.9907,29557.814,4985.947
2020-08-10,9139208.0,1168.7847,1267.463,29586.75,4988.7393
2020-08-11,9139165.0,1176.2047,1277.149,29614.867,4991.476
2020-08-12,9139122.0,1183.809,1286.967,29642.098,4994.1562
2020-08-13,9139080.0,1191.5746,1296.8995,29668.662,4996.786
2020-08-14,9139039.0,1199.5138,1306.9724,29694.412,4999.3584
2020-08-15,9138999.0,1207.6174,1317.142,29719.459,5001.8833
2020-08-16,9138959.0,1215.8387,1327.4016,29743.787,5004.3545
2020-08-17,9138920.0,1224.14,1337.7108,29767.44,5006.773
2020-08-18,9138882.0,1232.5532,1348.0814,29790.43,5009.145
2020-08-19,9138843.0,1241.0111,1358.4563,29812.762,5011.4624
2020-08-20,9138807.0,1249.5593,1368.8783,29834.502,5013.7393
2020-08-21,9138770.0,1258.1221,1379.2893,29855.652,5015.9634
2020-08-22,9138734.0,1266.7307,1389.7239,29876.152,5018.1416
2020-08-23,9138699.0,1275.3387,1400.0886,29896.172,5020.2734
2020-08-24,9138664.0,1283.9628,1410.4458,29915.635,5022.3623
2020-08-25,9138631.0,1292.6143,1420.8088,29934.533,5024.4087
2020-08-26,9138597.0,1301.2394,1431.0945,29952.959,5026.4106
2020-08-27,9138565.0,1309.8613,1441.3491,29970.832,5028.3696
2020-08-28,9138533.0,1318.4172,1451.5085,29988.291,5030.2847
2020-08-29,9138502.0,1326.9331,1461.6025,30005.246,5032.1587
2020-08-30,9138471.0,1335.4062,1471.624,30021.79,5033.994
2020-08-31,9138441.0,1343.8301,1481.5675,30037.86,5035.79
